geo_id,residences_roof_surface_available_for_pv,buildings_roof_surface_available_for_pv
GM0197,0.21792971,0.108964855
GM0200,1.30746858,0.65373429
GM0202,1.360296701,0.680148351
GM0203,0.400799095,0.200399548
GM1945,0.283681527,0.141840763
GM1859,0.356306484,0.178153242
GM0209,0.201861918,0.100930959
GM1876,0.294082634,0.147041317
GM0213,0.169616656,0.084808328
GM0214,0.19246619,0.096233095
GM0216,0.222591014,0.111295507
GM0221,0.096498149,0.048249075
GM0222,0.468470273,0.234235137
GM0225,0.14592626,0.07296313
GM0226,0.195189854,0.097594927
GM0228,0.877550039,0.43877502
GM0230,0.169525258,0.084762629
GM0232,0.260356723,0.130178362
GM0233,0.200125353,0.100062677
GM0243,0.35259572,0.17629786
GM0244,0.096589548,0.048294774
GM0246,0.142855283,0.071427641
GM0252,0.130205781,0.065102891
GM1705,0.359121546,0.179560773
GM0262,0.272658912,0.136329456
GM0263,0.179688731,0.089844365
GM1955,0.283791205,0.141895602
GM1740,0.15766178,0.07883089
GM0267,0.304703098,0.152351549
GM0268,1.452736773,0.726368387
GM0302,0.193965119,0.096982559
GM0269,0.168209125,0.084104562
GM1586,0.233741587,0.116870793
GM1509,0.315634314,0.157817157
GM1734,0.356196806,0.178098403
GM0273,0.176489796,0.088244898
GM0274,0.269862129,0.134931065
GM0275,0.385480768,0.192740384
GM0277,0.012101113,0.006050556
GM0279,0.071674416,0.035837208
GM0281,0.327241877,0.163620939
GM0285,0.191844682,0.095922341
GM0289,0.314062266,0.157031133
GM1960,0.378571069,0.189285535
GM0668,0.146529488,0.073264744
GM0293,0.121778873,0.060889437
GM0296,0.326163379,0.16308169
GM0294,0.23750719,0.118753595
GM0297,0.205024293,0.102512147
GM0299,0.359816172,0.179908086
GM0301,0.401621678,0.200810839
