geo_id,transport_road_mixer_diesel_transport_truck_using_diesel_mix_parent_share,transport_final_demand_for_road_electricity_transport_truck_using_electricity_parent_share,transport_road_mixer_gasoline_transport_truck_using_gasoline_mix_parent_share,transport_final_demand_for_road_hydrogen_transport_truck_using_hydrogen_parent_share,transport_road_mixer_compressed_network_gas_transport_truck_using_compressed_natural_gas_parent_share,transport_road_mixer_compressed_network_gas_transport_vans_using_compressed_natural_gas_parent_share,transport_final_demand_for_road_hydrogen_transport_vans_using_hydrogen_parent_share,transport_final_demand_for_road_electricity_transport_vans_using_electricity_parent_share,transport_road_mixer_diesel_transport_vans_using_diesel_mix_parent_share,transport_final_demand_for_road_lpg_transport_van_using_lpg_parent_share,transport_road_mixer_gasoline_transport_vans_using_gasoline_mix_parent_share,transport_final_demand_for_road_lpg_transport_car_using_lpg_parent_share
BEGM11002,0.261247681,0,0.009640478,0,0.068380936,0.178810986,0,0.019323152,0.108380842,0.197557186,2.37277E-05,0.802442814
BEGM35013,0.017213981,0.000418312,0.000103993,0,0.05925612,0.154950281,0,0.021648207,0.007141368,0.197557186,2.55954E-07,0.802442814
BEGM13040,0.428322757,0,0.954544044,0,0.148993894,0.389607783,0,0,0.177693371,0.197557186,0.00234938,0.802442814
