geo_id,input_industry_chemical_other_naphtha_demand,input_industry_chemical_other_naphtha_non_energetic_demand,input_industry_refinery_transformation_crude_oil_naphtha_demand,input_percentage_of_diesel_industry_final_demand_crude_oil_non_energetic,input_percentage_of_biodiesel_industry_final_demand_crude_oil_non_energetic,input_percentage_of_kerosene_industry_final_demand_crude_oil_non_energetic,input_percentage_of_bio_kerosene_industry_final_demand_crude_oil_non_energetic,input_percentage_of_lpg_industry_final_demand_crude_oil_non_energetic,input_percentage_of_bio_oil_industry_final_demand_crude_oil_non_energetic,input_percentage_of_crude_oil_industry_final_demand_crude_oil_non_energetic
GM1680,0,0,0,0,0,0,0,0,0,1
GM0358,0,0,0,0,0,0,0,0,0,1
GM0197,0,0,0,0,0,0,0,0,0,1
GM0059,0,0,0,0,0,0,0,0,0,1
GM0482,0,0,0,0,0,0,0,0,0,1
GM0613,0,0,0,0,0,0,0,0,0,1
GM0361,0,0,0,0,0,0,0,0,0,1
GM0141,0,0,0,0,0,0,0,0,0,1
GM0034,0,0,0,0,0,0,0,0,0,1
GM0484,0,0,0,0,0,0,0,0,0,1
GM1723,0,0,0,0,0,0,0,0,0,1
GM1959,0,0,0,0,0,0,0,0,0,1
GM0060,0,0,0,0,0,0,0,0,0,1
GM0307,0,0,0,0,0,0,0,0,0,1
GM0362,0,0,0,0,0,0,0,0,0,1
GM0363,0,0,0,0,0,0,0,0,0,1
GM0200,0,0,0,0,0,0,0,0,0,1
GM0202,0,0,0,0,0,0,0,0,0,1
GM0106,0,0,0,0,0,0,0,0,0,1
GM0743,0,0,0,0,0,0,0,0,0,1
GM0744,0,0,0,0,0,0,0,0,0,1
GM0308,0,0,0,0,0,0,0,0,0,1
GM0489,0,0,0,0,0,0,0,0,0,1
GM0203,0,0,0,0,0,0,0,0,0,1
GM0888,0,0,0,0,0,0,0,0,0,1
GM1954,0,0,0,0,0,0,0,0,0,1
GM0370,0,0,0,0,0,0,0,0,0,1
GM0889,0,0,0,0,0,0,0,0,0,1
GM1945,0,0,0,0,0,0,0,0,0,1
GM1724,0,0,0,0,0,0,0,0,0,1
GM0893,0,0,0,0,0,0,0,0,0,1
GM0373,0,0,0,0,0,0,0,0,0,1
GM0748,0,0,0,0,0,0,0,0,0,1
GM1859,0,0,0,0,0,0,0,0,0,1
GM1721,0,0,0,0,0,0,0,0,0,1
GM0753,0,0,0,0,0,0,0,0,0,1
GM0209,0,0,0,0,0,0,0,0,0,1
GM0375,0,0,0,0,0,0,0,0,0,1
GM0310,0,0,0,0,0,0,0,0,0,1
GM1728,0,0,0,0,0,0,0,0,0,1
GM0376,0,0,0,0,0,0,0,0,0,1
GM0377,0,0,0,0,0,0,0,0,0,1
GM1901,0,0,0,0,0,0,0,0,0,1
GM0755,0,0,0,0,0,0,0,0,0,1
GM1681,0,0,0,0,0,0,0,0,0,1
GM0147,0,0,0,0,0,0,0,0,0,1
GM0654,0,0,0,0,0,0,0,0,0,1
GM0756,0,0,0,0,0,0,0,0,0,1
GM0757,0,0,0,0,0,0,0,0,0,1
GM0758,0,0,0,0,0,0,0,0,0,1
GM0501,0,0,0,0,0,0,0,0,0,1
GM1876,0,0,0,0,0,0,0,0,0,1
GM0213,0,0,0,0,0,0,0,0,0,1
GM0899,0,0,0,0,0,0,0,0,0,1
GM0312,0,0,0,0,0,0,0,0,0,1
GM0313,0,0,0,0,0,0,0,0,0,1
GM0214,0,0,0,0,0,0,0,0,0,1
GM0502,0,0,0,0,0,0,0,0,0,1
GM0383,0,0,0,0,0,0,0,0,0,1
GM0109,0,0,0,0,0,0,0,0,0,1
GM1706,0,0,0,0,0,0,0,0,0,1
GM1684,0,0,0,0,0,0,0,0,0,1
GM0216,0,0,0,0,0,0,0,0,0,1
GM0148,0,0,0,0,0,0,0,0,0,1
GM1891,0,0,0,0,0,0,0,0,0,1
GM0503,0,0,0,0,0,0,0,0,0,1
GM0762,0,0,0,0,0,0,0,0,0,1
GM0150,0,0,0,0,0,0,0,0,0,1
GM0384,0,0,0,0,0,0,0,0,0,1
GM1774,0,0,0,0,0,0,0,0,0,1
GM0221,0,0,0,0,0,0,0,0,0,1
GM0222,0,0,0,0,0,0,0,0,0,1
GM0766,0,0,0,0,0,0,0,0,0,1
GM0505,0,0,0,0,0,0,0,0,0,1
GM0498,0,0,0,0,0,0,0,0,0,1
GM1719,0,0,0,0,0,0,0,0,0,1
GM0303,0,0,0,0,0,0,0,0,0,1
GM0225,0,0,0,0,0,0,0,0,0,1
GM0226,0,0,0,0,0,0,0,0,0,1
GM1711,0,0,0,0,0,0,0,0,0,1
GM0385,0,0,0,0,0,0,0,0,0,1
GM0228,0,0,0,0,0,0,0,0,0,1
GM0317,0,0,0,0,0,0,0,0,0,1
GM0770,0,0,0,0,0,0,0,0,0,1
GM1903,0,0,0,0,0,0,0,0,0,1
GM0772,0,0,0,0,0,0,0,0,0,1
GM0230,0,0,0,0,0,0,0,0,0,1
GM0114,0,0,0,0,0,0,0,0,0,1
GM0388,0,0,0,0,0,0,0,0,0,1
GM0153,0,0,0,0,0,0,0,0,0,1
GM0232,0,0,0,0,0,0,0,0,0,1
GM0233,0,0,0,0,0,0,0,0,0,1
GM0777,0,0,0,0,0,0,0,0,0,1
GM1940,0,0,0,0,0,0,0,0,0,1
GM0779,0,0,0,0,0,0,0,0,0,1
GM1771,0,0,0,0,0,0,0,0,0,1
GM1652,0,0,0,0,0,0,0,0,0,1
GM0907,0,0,0,0,0,0,0,0,0,1
GM0784,0,0,0,0,0,0,0,0,0,1
GM1924,0,0,0,0,0,0,0,0,0,1
GM0664,0,0,0,0,0,0,0,0,0,1
GM0785,0,0,0,0,0,0,0,0,0,1
GM1942,0,0,0,0,0,0,0,0,0,1
GM0512,0,0,0,0,0,0,0,0,0,1
GM0513,0,0,0,0,0,0,0,0,0,1
GM0786,0,0,0,0,0,0,0,0,0,1
GM0518,0,0,0,0,0,0,0,0,0,1
GM0014,0,0,0,0,0,0,0,0,0,1
GM1729,0,0,0,0,0,0,0,0,0,1
GM0158,0,0,0,0,0,0,0,0,0,1
GM0392,0,0,0,0,0,0,0,0,0,1
GM0394,0,0,0,0,0,0,0,0,0,1
GM1655,0,0,0,0,0,0,0,0,0,1
GM0160,0,0,0,0,0,0,0,0,0,1
GM0243,0,0,0,0,0,0,0,0,0,1
GM0523,0,0,0,0,0,0,0,0,0,1
GM0072,0,0,0,0,0,0,0,0,0,1
GM0244,0,0,0,0,0,0,0,0,0,1
GM0396,0,0,0,0,0,0,0,0,0,1
GM0397,0,0,0,0,0,0,0,0,0,1
GM0246,0,0,0,0,0,0,0,0,0,1
GM0074,0,0,0,0,0,0,0,0,0,1
GM0398,0,0,0,0,0,0,0,0,0,1
GM0917,0,0,0,0,0,0,0,0,0,1
GM1658,0,0,0,0,0,0,0,0,0,1
GM0399,0,0,0,0,0,0,0,0,0,1
GM0400,0,0,0,0,0,0,0,0,0,1
GM0163,0,0,0,0,0,0,0,0,0,1
GM0530,0,0,0,0,0,0,0,0,0,1
GM0794,0,0,0,0,0,0,0,0,0,1
GM0531,0,0,0,0,0,0,0,0,0,1
GM0164,0,0,0,0,0,0,0,0,0,1
GM0796,0,0,0,0,0,0,0,0,0,1
GM0252,0,0,0,0,0,0,0,0,0,1
GM0797,0,0,0,0,0,0,0,0,0,1
GM0534,0,0,0,0,0,0,0,0,0,1
GM0798,0,0,0,0,0,0,0,0,0,1
GM0402,0,0,0,0,0,0,0,0,0,1
GM1963,0,0,0,0,0,0,0,0,0,1
GM1735,0,0,0,0,0,0,0,0,0,1
GM1966,0,0,0,0,0,0,0,0,0,1
GM1911,0,0,0,0,0,0,0,0,0,1
GM0118,0,0,0,0,0,0,0,0,0,1
GM0405,0,0,0,0,0,0,0,0,0,1
GM1507,0,0,0,0,0,0,0,0,0,1
GM0321,0,0,0,0,0,0,0,0,0,1
GM0406,0,0,0,0,0,0,0,0,0,1
GM0677,0,0,0,0,0,0,0,0,0,1
GM0353,0,0,0,0,0,0,0,0,0,1
GM1884,0,0,0,0,0,0,0,0,0,1
GM0166,0,0,0,0,0,0,0,0,0,1
GM0678,0,0,0,0,0,0,0,0,0,1
GM0537,0,0,0,0,0,0,0,0,0,1
GM0928,0,0,0,0,0,0,0,0,0,1
GM1598,0,0,0,0,0,0,0,0,0,1
GM0542,0,0,0,0,0,0,0,0,0,1
GM1931,0,0,0,0,0,0,0,0,0,1
GM1659,0,0,0,0,0,0,0,0,0,1
GM1685,0,0,0,0,0,0,0,0,0,1
GM0882,0,0,0,0,0,0,0,0,0,1
GM0415,0,0,0,0,0,0,0,0,0,1
GM0416,0,0,0,0,0,0,0,0,0,1
GM1621,0,0,0,0,0,0,0,0,0,1
GM0417,0,0,0,0,0,0,0,0,0,1
GM0080,0,0,0,0,0,0,0,0,0,1
GM0546,0,0,0,0,0,0,0,0,0,1
GM0547,0,0,0,0,0,0,0,0,0,1
GM1916,0,0,0,0,0,0,0,0,0,1
GM0995,0,0,0,0,0,0,0,0,0,1
GM1640,0,0,0,0,0,0,0,0,0,1
GM0327,0,0,0,0,0,0,0,0,0,1
GM1705,0,0,0,0,0,0,0,0,0,1
GM0553,0,0,0,0,0,0,0,0,0,1
GM0262,0,0,0,0,0,0,0,0,0,1
GM0809,0,0,0,0,0,0,0,0,0,1
GM0331,0,0,0,0,0,0,0,0,0,1
