geo_id,total_land_area
GM0938,26.96
GM0944,17.38
GM0946,99.86
GM0951,33.1
GM0957,60.84
GM0962,24.06
GM0965,16.03
GM0971,21.1
GM0981,23.89
GM0983,124.45
GM0984,163.32
GM0986,31.51
GM0988,104.42
GM0994,36.73
GM0995,230.56
GM1507,188.71
GM1509,136.32
GM1525,28.44
GM1581,132.01
GM1586,109.64
GM1598,80.32
GM1621,54.18
GM1640,162.77
GM1641,45.71
GM1651,189.31
GM1652,122.22
GM1655,74.48
GM1658,104.01
GM1659,55.36
GM1663,170.4
GM1667,77.92
GM1669,88.22
GM1674,106.47
GM1676,229.97
GM1680,276.25
GM1681,274.51
GM1684,51.15
GM1685,70.36
GM1690,224.68
GM1695,85.88
GM1696,47.61
GM1699,200.16
GM1700,106.28
GM1701,278.5
GM1702,99.27
GM1705,62.21
GM1706,76.36
GM1708,289.51
GM1709,159.17
GM1711,103.11
GM1714,279.36
GM1719,95.46
GM1721,89.73
GM1722,97.84
GM1723,93.03
GM1724,101.01
GM1728,75.37
GM1729,73.18
GM1730,143.32
GM1731,340.75
GM1734,109.19
GM1735,212.61
GM1740,59.99
GM1742,94.12
GM1771,31.01
GM1773,113.99
GM1774,175.71
GM1783,81.24
GM1842,47.35
GM1859,258.5
GM1876,283.51
GM1883,79.01
GM1884,63.27
GM1891,84.91
GM1892,59.64
GM1894,159.37
GM1895,226.73
GM1896,82.67
GM1900,455.36
GM1901,75.68
GM1903,77.43
GM1904,96.25
GM1911,357.61
GM1916,32.63
GM1924,261.92
GM1926,37.32
GM1927,118.28
GM1930,83.23
GM1931,149.66
GM1940,351.66
GM1942,41.6
GM1945,86.49
GM1948,184.1
GM1949,305
GM1950,267.01
GM1952,280
GM1955,105.7
GM1960,216.25
BEGM11002,204.26
BU00090000,1.71
BU00090001,0.7
BU00090002,0.7
BU00090003,0.53
BU00090005,1.27
BU00090009,25.76
BU00090100,0.81
BU00090101,0.16
BU00090102,0.38
BU00090104,0.47
BU00090106,0.28
BU00090109,12.54
BU00140000,0.37
BU00140001,0.55
BU00140002,0.27
BU00140003,0.1
BU00140004,0.19
BU00140005,0.43
BU00140007,0.24
BU00140008,0.13
BU00140100,0.22
BU00140101,0.4
BU00140102,0.16
BU00140103,0.55
BU00140104,0.22
BU00140105,0.06
BU00140106,0.33
BU00140107,0.21
BU00140108,1.29
BU00140109,0.25
BU00140200,0.26
BU00140201,0.25
BU00140202,0.36
BU00140203,0.25
BU00140300,0.55
BU00140301,0.69
BU00140302,0.53
BU00140400,0.38
BU00140401,0.35
BU00140402,0.23
BU00140403,0.27
BU00140404,0.27
BU00140500,0.11
BU00140501,0.44
BU00140502,1.25
BU00140503,0.06
BU00140504,0.07
BU00140505,0.91
BU00140506,1.08
BU00140507,0.98
BU00140508,1.3
BU00140509,0.86
BU00140510,1.91
BU00140511,0.45
BU00140600,0.6
BU00140601,0.73
BU00140602,0.26
BU00140603,0.65
BU00140604,0.59
BU00140605,0.59
BU00140606,0.92
BU00140700,1.09
BU00140701,0.98
BU00140702,0.33
BU00140703,0.37
BU00140704,0.89
BU00140705,0.13
BU00140800,1.31
BU00140801,2.3
BU00140802,1.3
BU00140803,1.07
BU00140804,1.55
BU00140805,3.16
BU00140806,1.51
BU00140807,0.36
BU00140808,0.37
BU00140809,0.66
BU00140810,0.35
BU00140811,0.31
BU00140812,0.09
BU00140900,0.86
BU00140901,1.02
BU00140902,0.5
BU00140903,0.19
BU00140904,0.84
BU00140905,2
BU00140906,0.9
BU00140907,0.7
BU00141000,0.82
BU00141001,0.55
BU00141002,0.66
BU00141003,1.87
BU00141004,0.9
BU00141005,0.16
BU00141100,1.18
BU00141101,0.93
BU00141102,0.49
BU00141103,0.16
BU00141104,0.49
BU00141105,0.17
BU00141106,6.86
BU00141107,0.23
BU00141200,0.59
BU00141201,0.61
BU00141202,0.53
BU00141203,0.85
BU00141204,1
BU00141205,0.07
BU00141206,0.06
BU00141207,0.98
BU00141208,0.23
BU00141209,2.2
BU00141210,0.19
BU00141211,0.22
BU00141300,3.1
BU00141301,3.27
BU00141302,0.2
BU00141400,16.18
BU00141401,7.84
BU00141402,5.78
BU00170000,4.46
BU00170001,1.31
BU00170002,1.56
BU00170003,2.02
BU00170004,2
BU00170005,2.51
BU00170100,0.74
BU00170101,0.63
BU00170102,0.24
BU00170103,0.72
BU00170106,3.58
BU00170107,6.09
BU00170108,3.24
BU00170109,16.32
PV20,2299.16
PV21,3193.32
PV22,2634.25
PV23,3322.31
PV24,1412.54
PV25,4927.59
PV26,1380.28
PV27,2662.3
PV28,2813.58
PV29,1782.84
PV30,4908.27
PV31,2147.57
RGGD01,4933.41
RES16,1439.57
RES17,1222.73
RES22,298.17
RGUT01,1109.37
GM1961,146.41
RGNH01,200.51
RGNH02,346.76
RGNH03,196.99
RGNH04,115.63
RGNH05,732.62
RGNH06,357.12
RGNH07,349.83
RGNH08,184.48
RGNB01,2342.25
RGNB02,1735.91
RGNB03,606.34
RGGL01,1207.21
RGGL02,858.16
RGGL03,687.77
RGGL04,523.04
RGGL05,695.38
RGGL06,1036.01
