geo_id,total_land_area
GM0003,23.78
GM0005,44.54
GM0009,45.31
GM0010,133.13
GM0014,78.85
GM0015,86.71
GM0017,45.42
GM0022,63.18
GM0024,111.04
GM0025,64.46
GM0034,129.24
GM0037,117.64
GM0047,76
GM0050,247.48
GM0053,101.1
GM0056,125.48
GM0058,166.51
GM0059,102.26
GM0060,58.65
GM0072,24.96
GM0074,190.13
GM0079,109.6
GM0080,154.41
GM0085,223.97
GM0086,224.48
GM0088,37.04
GM0090,117.66
GM0093,83.45
GM0096,35.44
GM0098,220.71
GM0106,81.88
GM0109,295.96
GM0114,335.17
GM0118,127.52
GM0119,55.55
GM0141,67.31
GM0147,26
GM0148,165.12
GM0150,131.25
GM0153,140.99
GM0158,104.82
GM0160,312.26
GM0163,137.98
GM0164,60.89
GM0166,142.27
GM0168,98.76
GM0171,460.05
GM0173,21.55
GM0175,179.96
GM0177,171.03
GM0180,134.18
GM0183,147.01
GM0184,11.51
GM0189,94.73
GM0193,111.31
GM0197,96.54
GM0200,339.9
GM0202,97.91
GM0203,175.94
GM0209,43.65
GM0213,83.96
GM0214,134.05
GM0216,29.29
GM0221,11.55
GM0222,79.05
GM0225,37.7
GM0226,33.9
GM0228,318.22
GM0230,63.82
GM0232,156.23
GM0233,85.63
GM0236,99.87
GM0243,38.86
GM0244,23.08
GM0246,78.74
GM0252,39.82
GM0262,213.14
GM0263,66.13
GM0267,69.42
GM0268,53.61
GM0269,97.65
GM0273,85.21
GM0274,45.95
GM0275,81.77
GM0277,27.9
GM0279,13.79
GM0281,32.89
GM0285,123.08
GM0289,30.42
GM0293,7.03
GM0294,137.95
GM0296,66.21
GM0297,79.61
GM0299,53.27
GM0301,40.96
GM0302,128.79
GM0303,333.7
GM0304,65.99
GM0307,62.77
GM0308,32.54
GM0310,66.13
GM0312,36.97
GM0313,30.44
GM0317,31.04
GM0321,55.07
GM0327,58.61
GM0331,75.66
GM0335,37.64
GM0339,18.42
GM0340,42.08
GM0342,46.24
GM0344,94.15
GM0345,19.48
GM0351,36.53
GM0352,47.62
GM0353,21.1
GM0355,48.51
GM0356,23.57
GM0358,20.13
GM0361,110.46
GM0362,41.21
GM0363,165.33
GM0370,70.58
GM0373,97.1
GM0375,18.31
GM0376,11.15
GM0377,39.72
GM0383,49.51
GM0384,11.99
GM0385,54.36
GM0388,12.68
GM0392,29.17
GM0394,178.29
GM0396,27.22
GM0397,9.18
GM0398,38.28
GM0399,18.7
GM0400,45.1
GM0402,45.61
GM0405,20.36
GM0406,15.81
GM0415,22.53
GM0416,23.9
GM0417,12.41
GM0420,121.45
GM0431,11.53
GM0432,41.52
GM0437,24.08
GM0439,23.19
GM0441,167.73
GM0448,162.18
GM0450,19.17
GM0451,18.22
GM0453,44.8
GM0457,22.8
GM0473,32.11
GM0479,73.87
GM0482,8.79
GM0484,126.47
GM0489,19.85
GM0498,58.95
GM0501,27.54
GM0502,14.22
GM0503,22.85
GM0505,78.61
GM0512,18.87
GM0513,16.82
GM0518,82.69
GM0523,16.92
GM0530,31.49
GM0531,10.61
GM0532,14.55
GM0534,12.87
GM0537,24.61
GM0542,7.68
GM0545,33.78
GM0546,21.97
GM0547,11.55
GM0553,15.69
GM0556,8.49
GM0569,78.27
GM0575,35.78
GM0576,22.59
GM0579,7.3
GM0584,18.73
GM0585,69.3
GM0588,76.15
GM0589,39.07
GM0590,9.41
GM0597,23.72
GM0599,215.64
GM0603,14.05
GM0606,18.01
GM0610,12.83
GM0611,54.43
GM0613,21.73
GM0614,53.15
GM0617,50.26
GM0620,39.17
GM0622,23.64
GM0626,11.17
GM0627,27.96
GM0629,51.16
GM0632,89.24
GM0637,34.51
GM0638,21.26
GM0642,20.35
GM0654,141.74
GM0664,92.57
GM0668,77.17
GM0677,201.61
GM0678,37.13
GM0687,48.47
GM0689,63.51
GM0703,101.84
GM0707,73.46
GM0715,250.51
GM0716,146.77
GM0717,132.75
GM0718,34.24
GM0733,50.39
GM0736,99.97
GM0737,149.28
GM0738,50.41
GM0743,70.17
GM0744,76.16
GM0748,79.91
GM0753,34.3
GM0755,34.51
GM0756,111.44
GM0757,63.73
GM0758,125.96
GM0762,116.93
GM0765,49.07
GM0766,29.29
GM0770,82.46
GM0772,87.65
GM0777,55.34
GM0779,26.65
GM0784,65.49
GM0785,42.09
GM0786,27.18
GM0788,57.71
GM0794,53.19
GM0796,110.51
GM0797,78.88
GM0798,94.9
GM0809,50.01
GM0815,52.23
GM0820,33.72
GM0823,101.78
GM0824,63.86
GM0826,71.49
GM0828,163.19
GM0840,64.41
GM0845,58.43
GM0847,80.27
GM0848,25.95
GM0851,146.37
GM0852,52.11
GM0855,117.21
GM0856,67.05
GM0858,54.9
GM0861,31.73
GM0865,33.5
GM0866,22.39
GM0867,64.61
GM0870,102.06
GM0873,91.68
GM0874,49.39
GM0879,120.7
GM0880,38.59
GM0881,21.16
GM0882,24.58
GM0888,21.03
GM0889,28.08
GM0893,103.47
GM0899,17.21
GM0907,47.66
GM0917,44.97
GM0928,21.91
GM0935,56.34
