geo_id,buildings_final_demand_steam_hot_water_demand,households_final_demand_steam_hot_water_demand
GM0197,0.0,0.0
GM0203,0.0,0.0
GM0209,0.0,0.0
GM0213,0.0,0.0
GM0214,0.0,0.0
GM0221,0.0,0.0
GM0222,0.0,0.0
GM0225,0.0,0.0
GM0230,0.0,0.0
GM0232,0.0,0.0
GM0233,0.0,0.0
GM0236,0.0,0.0
GM0243,0.0,0.0
GM0244,0.0,0.0
GM0246,0.0,0.0
GM0252,0.0,0.0
GM0262,0.0,0.0
GM0263,0.0,0.0
GM0267,0.0,0.0
GM0269,0.0,0.0
GM0273,0.0,0.0
GM0274,0.0,0.0
GM0275,0.0,0.0
GM0277,0.0,0.0
GM0279,0.0,0.0
GM0281,0.0,0.0
GM0285,0.0,0.0
GM0294,0.0,0.0
GM0296,0.0,0.0
GM0297,0.0,0.0
GM0301,0.0,0.0
GM0302,0.0,0.0
GM0304,0.0,0.0
GM0339,0.0,0.0
GM0340,0.0,0.0
GM0345,0.0,0.0
GM0668,0.0,0.0
GM0733,0.0,0.0
GM1509,0.0,0.0
GM1586,0.0,0.0
GM1705,0.0,0.0
GM1734,0.0,0.0
GM1740,0.0,0.0
GM1859,0.0,0.0
GM1876,0.0,0.0
GM1945,0.0,0.0
GM1955,0.0,0.0
