geo_id,input_industry_chemical_other_naphtha_demand,input_industry_chemical_other_naphtha_non_energetic_demand,input_industry_refinery_transformation_crude_oil_naphtha_demand,input_percentage_of_diesel_industry_final_demand_crude_oil_non_energetic,input_percentage_of_biodiesel_industry_final_demand_crude_oil_non_energetic,input_percentage_of_kerosene_industry_final_demand_crude_oil_non_energetic,input_percentage_of_bio_kerosene_industry_final_demand_crude_oil_non_energetic,input_percentage_of_lpg_industry_final_demand_crude_oil_non_energetic,input_percentage_of_bio_oil_industry_final_demand_crude_oil_non_energetic,input_percentage_of_crude_oil_industry_final_demand_crude_oil_non_energetic
GM1980,0,0,0,0,0,0,0,0,0,1
GM1982,0,0,0,0,0,0,0,0,0,1
GM1991,0,0,0,0,0,0,0,0,0,1
GM1992,0,0,0,0,0,0,0,0,0,1
