geo_id,typical_useful_demand_for_space_heating_buildings_future,typical_useful_demand_for_space_heating_apartments_future,typical_useful_demand_for_space_heating_detached_houses_future,typical_useful_demand_for_space_heating_semi_detached_houses_future,typical_useful_demand_for_space_heating_terraced_houses_future
AT,131.7913859,64.6943152,97.54170906,0,70.81849395
BE,152.0091952,84.2805009,129.311356,0,84.2805009
BG,59.13835666,30.07019068,47.29151854,0,30.07019068
CY,24.34109069,35.16449861,56.39293613,0,35.16449861
CZ,161.286038,81.88800139,112.1767754,0,81.88800139
DE,87.22551098,50.46309348,79.4064505,0,60.92251164
DK,134.3453544,46.12534602,59.7181696,0,46.12534602
EE,124.3181359,86.47361852,203.9815914,0,86.47361852
ES,83.24896108,25.80628177,35.5844917,0,25.80628177
FI,155.0009412,47.48139121,190.4773572,0,47.48139121
FR,128.6057924,55.71115415,80.24642261,0,55.71115415
UK,152.1842457,26.33969241,62.37994633,0,26.33969241
EL,121.40568,19.80842324,156.7954823,0,19.80842324
HR,111.2055346,44.5533259,49.92694073,0,44.5533259
HU,106.05975,20.48334095,124.3798005,0,20.48334095
IE,174.0012944,20.49391352,70.15360819,0,20.49391352
IT,126.1591899,76.47653209,111.5182111,0,76.47653209
LT,86.2135272,53.83870233,72.50956459,0,53.83870233
LU,226.9546084,15.40078822,63.1515213,0,15.40078822
LV,135.5357814,101.1242781,118.4647353,0,101.1242781
NL,155.0147083,28.45408065,19.62405901,0,28.45408065
PL,61.70371708,59.18213915,121.8992308,0,59.18213915
PT,61.48987216,39.35405509,76.88389733,0,39.35405509
RO,118.9740837,38.29184792,73.47909528,0,38.29184792
SE,153.1008106,61.06869292,149.5589918,0,61.06869292
SI,151.7393586,40.5582092,88.33333333,0,40.5582092
SK,97.17214202,71.80859851,136.6669472,0,71.80859851
MT,38.95509815,9.047763313,17.84590127,0,9.047763313
EU27,68.25361103,46.28268325,72.67099467,0,60.23273316
