geo_id,heat_length_of_distribution_pipelines_in_meter_per_residence_object_first_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_second_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_third_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_fourth_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_fifth_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_first_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_second_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_third_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_fourth_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_fifth_bracket,heat_share_of_apartments_with_block_heating
RGUT01,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
RGNH02,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
RGNH04,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
RGNH07,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
RGNB02,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
RGNH03,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
RGNH05,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
RGNH06,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
RGNB01,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
RGNB03,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
RGNH01,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU00803702,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03100001,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03100002,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03100008,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03100009,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03100100,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03100200,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03100201,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03100209,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03100300,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03100309,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03100400,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03100401,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03100402,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03100500,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03100501,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03100600,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03170000,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03170001,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03170002,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03170003,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03170004,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03170005,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03170008,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03170009,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03520109,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03520209,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03520302,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03520309,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03620001,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03620002,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03620003,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03620004,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03620005,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03620006,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03620007,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03620008,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03620009,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03620010,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03620011,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
BU03620012,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
