geo_id,energy_production_wet_biomass_max_demand,energy_production_dry_biomass_max_demand,energy_production_oily_biomass_max_demand,energy_production_wet_biomass_demand,energy_production_dry_biomass_demand,energy_production_oily_biomass_demand
PV20,10117.2741,2852.673504,354.8106218,934.5578705,1805.547891,354.8106218
PV21,9820.985219,3097.010341,393.5014384,987.8857062,2390.620068,393.5014384
PV22,4904.959049,2677.384686,299.0223793,842.5284269,1926.69777,299.0223793
PV23,8855.07379,4837.780284,702.6045004,1242.397861,3838.340946,702.6045004
PV24,6349.863375,1871.072438,253.0778699,1442.831134,1290.684841,253.0778699
PV25,10622.87491,8301.13695,1258.853189,1726.939798,6461.597518,1258.853189
PV26,4375.77577,3907.938773,794.0177974,706.1456023,3081.987117,794.0177974
PV27,10826.79607,7981.923486,1733.594892,1703.931524,6174.711701,1733.594892
PV28,11792.96994,10173.36622,2253.548384,2106.393574,7886.659324,2253.548384
PV29,11304.45173,1861.304687,232.716009,1164.223698,1065.485105,232.716009
PV30,15296.62946,9880.253832,1546.129556,2805.943779,7780.882987,1546.129556
PV31,5605.281574,4718.462536,678.1233634,1116.223812,3713.720877,678.1233634
GM0003,68.45452449,43.13000435,7.121244025,10.44353354,29.28105971,7.121244025
GM0009,103.533713,39.07865631,4.428525527,13.87026221,25.85573454,4.428525527
GM0010,303.8578234,204.2427983,15.01652311,58.48317254,124.5588717,15.01652311
GM0014,399.8624279,537.2888038,123.8328501,82.32260901,426.9902705,123.8328501
GM0015,152.4578777,66.64065228,7.406798559,18.35955305,53.07735974,7.406798559
GM0017,158.0080999,59.272373,12.26730126,11.00961276,44.29195867,12.26730126
GM0022,126.515861,101.4830535,11.98842992,16.60807613,85.86679767,11.98842992
GM0024,264.1713121,111.2559953,5.841109125,54.1728918,60.5864541,5.841109125
GM0025,119.6196215,46.58213869,6.369688794,15.96176864,35.37817708,6.369688794
GM0034,588.5701107,610.690855,126.3147443,101.1055867,489.3732543,126.3147443
GM0037,206.6898263,159.03103,19.31381506,48.12229961,110.8323181,19.31381506
GM0047,137.0425263,108.6891807,16.70250998,29.7830433,78.95010908,16.70250998
GM0050,959.8829714,219.134218,13.55411935,220.2527263,133.4661062,13.55411935
GM0056,310.208949,102.8986536,11.58379307,46.14064811,61.34715428,11.58379307
GM0058,472.7389895,133.2090461,14.48733587,66.75465278,90.47401237,14.48733587
GM0059,206.593892,150.5342623,16.92184017,25.09337131,128.2169139,16.92184017
GM0060,95.49163055,17.04655818,2.231578304,4.281452162,12.15146484,2.231578304
GM0072,75.14325641,47.88500042,9.573975202,13.416855,34.7996104,9.573975202
GM0074,502.0093062,232.0463399,30.53428555,58.06373813,189.4122802,30.53428555
GM0079,328.2615013,70.25311086,7.753109376,31.41815404,48.36066273,7.753109376
GM0080,780.9856383,383.6637387,74.7952383,91.47254655,304.1689706,74.7952383
GM0085,524.2258715,188.7560674,15.49102968,62.41146274,147.7335863,15.49102968
GM0086,446.8758321,161.587388,18.05859024,54.84974462,122.1584991,18.05859024
GM0088,117.0690745,5.906615256,0.568678816,2.077371124,4.067564903,0.568678816
GM0090,367.9408709,192.0537376,33.98585004,40.13435495,154.863504,33.98585004
GM0093,193.9798103,23.91437644,2.970982278,3.866349307,16.540029,2.970982278
GM0096,23.22115113,6.84742705,0.69140651,0.66149268,4.319772886,0.69140651
GM0098,644.7798974,166.1711904,15.69942374,63.06442523,132.2791067,15.69942374
GM0106,176.288465,203.3857569,41.29179316,36.39937755,156.9895579,41.29179316
GM0109,554.1102407,212.8469056,21.55815218,98.72216575,145.5418316,21.55815218
GM0114,706.6901694,443.5553293,65.07787827,145.5902107,316.2114607,65.07787827
GM0118,269.7837004,197.5534505,33.81816269,46.45974013,153.2939555,33.81816269
GM0119,148.4392973,102.5606432,20.3922391,24.93983409,80.8805267,20.3922391
GM0141,218.5921509,224.2683902,44.26034519,39.89084617,179.5912823,44.26034519
GM0147,68.19156827,66.74800957,14.10153347,14.08849627,52.35680343,14.10153347
GM0148,381.7953942,179.9270926,17.31493332,55.58765552,145.1225217,17.31493332
