geo_id,residences_roof_surface_available_for_pv,buildings_roof_surface_available_for_pv,agriculture_final_demand_electricity_demand,agriculture_final_demand_network_gas_demand,input_energy_heat_well_geothermal_production,input_energy_chp_local_engine_network_gas_production,agriculture_final_demand_steam_hot_water_demand,input_agriculture_heatpump_demand,input_industry_chemical_fertilizers_scaling_factor,input_industry_chemical_other_electricity_demand,input_industry_chemical_other_network_gas_demand,input_industry_chemical_other_steam_hot_water_demand,input_industry_chemical_other_crude_oil_demand,input_industry_chemical_other_network_gas_non_energetic_demand,input_industry_chemical_other_crude_oil_non_energetic_demand,input_industry_chemical_refineries_scaling_factor,input_industry_metal_steel_scaling_factor,input_industry_metal_aluminium_scaling_factor,input_industry_metal_other_electricity_demand,input_industry_metal_other_network_gas_demand,input_industry_food_electricity_demand,input_industry_food_network_gas_demand,input_industry_paper_electricity_demand,input_industry_paper_network_gas_demand,input_industry_other_electricity_demand,input_industry_other_network_gas_demand,industry_final_demand_for_other_food_electricity_industry_other_food_heater_electricity_parent_share,industry_final_demand_for_other_food_electricity_industry_useful_demand_for_other_food_electricity_parent_share,industry_final_demand_for_other_paper_electricity_industry_other_paper_heater_electricity_parent_share,industry_final_demand_for_other_paper_electricity_industry_useful_demand_for_other_paper_electricity_parent_share,industry_useful_demand_for_chemical_other_useable_heat_industry_chemicals_other_processes_potential_residual_heat_parent_share,industry_useful_demand_for_chemical_other_useable_heat_industry_chemicals_other_flue_gasses_potential_residual_heat_parent_share,industry_useful_demand_for_chemical_other_useable_heat_industry_chemicals_other_used_heat_parent_share
PV31,24.3,12.9,1679.9,10229.9,488,33.712,524.848,22,0,7560,26000,0,40000,21000,140000,0,0,0,0,0,322.8,890.9,1180.4,5911.3,7235.3,10936.4,1,0,1,0,0.17,0,0.83
RES31,9.1,7.7,84.2,67.1,0,0,0,0,0,7560,26000,0,40000,21000,140000,0,0,0,0,0,0,0,496.4,2651.3,3687.8,6038.9,1,0,1,0,0.17,0,0.83
RES19,15.2,5.2,1595.7,10162.8,488,33.712,524.848,22,0,0,0,0,0,0,0,0,0,0,0,0,322.8,890.9,684,3260,3547.5,4897.5,1,0,1,0,0.17,0,0.83
