geo_id,residences_roof_surface_available_for_pv,buildings_roof_surface_available_for_pv
GM0197,0.7456768,0.1788288
GM0200,1.6241088,0.918816
GM0202,0.9464064,0.6311552
GM0203,1.5260928,0.4432768
GM1945,0.62576,0.1238784
GM1859,1.6298176,0.264064
GM0209,0.4114176,0.1264384
GM1876,1.4925568,0.1671616
GM0213,0.411872,0.1264768
GM0214,0.9504128,0.1140416
GM0216,0.3416128,0.218752
GM0221,0.1483392,0.0499584
GM0222,0.9141824,0.4182272
GM0225,0.4279808,0.0994048
GM0226,0.4009408,0.234208
GM0228,1.9875648,0.6010432
GM0230,0.3682624,0.120704
GM0232,0.5434816,0.153088
GM0233,0.4291008,0.141984
GM0243,0.5184512,0.2727424
GM0244,0.1626624,0.0385856
GM0246,0.3623616,0.0968256
GM0252,0.3280704,0.0686144
GM1705,0.8553344,0.2326208
GM0262,1.0318848,0.1529216
GM0263,0.8740736,0.193856
GM1955,0.949888,0.2664064
GM1740,0.6872,0.1514688
GM0267,0.688256,0.295264
GM0268,0.9961536,0.8878144
GM0302,0.4117504,0.1164864
GM0269,0.4988224,0.0906432
GM1586,0.880448,0.2658432
GM1509,1.1806784,0.272256
GM1734,0.9852864,0.3025792
GM0273,0.5496512,0.0976704
GM0274,0.2507136,0.1024256
GM0275,0.4870784,0.1713472
GM0277,0.01568,0.0036416
GM0279,0.1856192,0.05344
GM0281,0.4972224,0.389088
GM0285,0.7280384,0.1318976
GM0289,0.265664,0.1350976
GM1960,1.532128,0.3860608
GM0668,0.7036992,0.1350336
GM0293,0.1770496,0.033888
GM0296,0.7382016,0.3044032
GM0294,0.7249024,0.1967744
GM0297,0.6884288,0.245856
GM0299,0.8312832,0.2863552
GM0301,0.5493696,0.2599744
