geo_id,energetic_emissions_other_ghg_transport
GM1680,0.000923244
GM0358,0.000693138
GM0197,0.000494726
GM0059,0.000519
GM0482,0.000447501
GM0613,0.000414255
GM0361,0.0022156
GM0141,0.001774568
GM0034,0.003942731
GM0484,0.002026296
GM1723,0.000308291
GM1959,0.001972294
GM0060,4.7412E-05
GM0307,0.003945757
GM0362,0.001694243
GM0363,0.011197034
GM0200,0.005922122
GM0202,0.005208618
GM0106,0.001574077
GM0743,0.001049819
GM0744,0.000137952
GM0308,0.000874753
GM0489,0.00147802
GM0203,0.002784866
GM0888,0.000814907
GM1954,0.000925837
GM0370,0.00094148
GM0889,0.00040725
GM1945,0.000629986
GM1724,0.000452344
GM0893,0.000380348
GM0373,0.000610172
GM0748,0.001586284
GM1859,0.00098959
GM1721,0.001417768
GM0753,0.001154661
GM0209,0.001320795
GM0375,0.00075042
GM0310,0.001356417
GM1728,0.000683612
GM0376,0.000338216
GM0377,0.000394354
GM1901,0.002024014
GM0755,0.000130499
GM1681,0.000551071
GM0147,0.00069165
GM0654,0.000738559
GM0756,0.001377894
GM0757,0.001391352
GM0758,0.005479823
GM0501,0.000446099
GM1876,0.000945301
GM0213,0.000512483
GM0899,0.000430069
GM0312,0.000827049
GM0313,0.000332867
GM0214,0.000661506
GM0502,0.000928561
GM0383,0.000712117
GM0109,0.001155376
GM1706,0.000721732
GM1684,0.001037847
GM0216,0.000587883
GM0148,0.000825716
GM1891,0.000295886
GM0503,0.001572166
GM0762,0.00110465
GM0150,0.002641925
GM0384,0.000807408
GM1774,0.000763773
GM0221,0.000163225
GM0222,0.001238777
GM0766,0.000319511
GM0505,0.002621323
GM0498,0.000391644
GM1719,0.000798258
GM0303,0.001359913
GM0225,0.000458381
GM0226,0.00082386
GM1711,0.001531785
GM0385,0.000553746
GM0228,0.003678084
GM0317,0.000807194
GM1979,0.000876791
GM0770,0.000945431
GM1903,0.000572012
GM0772,0.006410519
GM0230,0.000728065
GM0114,0.002133119
GM0388,0.000197771
GM0153,0.002516002
GM0232,0.001221699
GM0233,0.000786561
GM0777,0.001069371
GM1940,0.001949799
GM0779,0.000959659
GM1771,0.001089604
GM1652,0.000655466
GM0907,0.000438084
GM0784,0.000941288
GM1924,0.00144192
GM0664,0.001158971
GM0785,0.000333907
GM1942,0.002470421
GM0512,0.001215844
GM0513,0.000698533
GM0786,0.000224345
GM0518,0.006216243
GM0014,0.004107715
GM1729,0.000355932
GM0158,0.000512718
GM0392,0.001718729
GM0394,0.015543715
GM1655,0.000775763
GM0160,0.001660675
GM0243,0.00133168
GM0523,0.000839688
GM0072,0.000347704
GM0244,0.000789642
GM0396,0.000552556
GM0397,0.000332222
GM0246,0.000707318
GM0074,0.00161315
GM0398,0.00112802
GM0917,0.002064775
GM1658,0.000745103
GM0399,0.000429064
GM0400,0.000751355
GM0163,0.000723453
GM0530,0.000587713
GM0794,0.001524837
GM0531,0.000587037
GM0164,0.001789443
GM0796,0.004493772
GM0252,0.000654396
GM0797,0.001127458
GM0534,0.000243127
GM0798,0.000439751
GM0402,0.001425878
GM1963,0.002537117
GM1735,0.000900241
GM1966,0.000863908
GM1911,0.001813382
GM0118,0.001678876
GM0405,0.00088217
GM1507,0.001448393
GM0321,0.000999571
GM0406,0.000600499
GM0677,0.000544501
GM0353,0.00043231
GM1884,0.001358346
GM0166,0.001172769
GM0678,0.000510117
GM0537,0.000654978
GM0928,0.000589389
GM1598,0.001021212
GM0542,0.000225443
GM1931,0.001136899
GM1659,0.000674264
GM1685,0.000855293
GM0882,0.000401578
GM0415,0.000199223
GM0416,0.000397034
GM1621,0.001279288
GM0417,0.000565856
GM0080,0.002714838
GM0546,0.002055731
GM0547,0.000688679
GM1916,0.001652265
GM0995,0.0035953
GM1640,0.001479528
GM0327,0.000872524
GM1705,0.000753398
GM0553,0.000292934
GM0262,0.000942459
GM0809,0.000497376
GM0331,0.000513077
GM0168,0.00067271
GM0263,0.001105182
GM1641,0.0007986
GM0556,0.000180082
GM0935,0.001908994
GM0420,0.001063288
GM0938,0.000472393
GM1948,0.002641229
GM0119,0.000984923
GM0687,0.000739414
GM1842,0.001076145
GM1731,0.001465149
GM1952,0.001730285
GM0815,0.000262059
GM1709,0.003153534
GM1978,0.001579908
GM1955,0.000710452
GM0335,0.000291762
GM0944,0.000111085
GM1740,0.00152813
GM0946,0.000424184
GM0356,0.00189313
GM0569,0.000536828
GM0267,0.00106995
GM0268,0.003123885
GM1930,0.000948007
GM1970,0.000785391
GM1695,0.000307784
GM1699,0.000619125
GM0171,0.002405221
GM0575,0.000760556
GM0820,0.000517131
GM0302,0.001071487
GM0579,0.000421028
GM0823,0.001330002
GM0824,0.000909697
GM1895,0.001032702
GM0269,0.000952047
GM0173,0.000636902
GM1773,0.000425371
GM0175,0.000898968
GM1586,0.000658828
GM0826,0.001910316
GM0085,0.000562525
GM0431,0.000371044
GM0432,0.000201387
GM0086,0.001169159
GM0828,0.001940115
GM1509,0.000964986
GM0437,0.0013875
GM0589,0.000159531
GM1734,0.002383525
GM0590,0.00076862
GM1894,0.001639327
GM0765,0.000310252
GM1926,0.000582397
GM0439,0.000818462
GM0273,0.000963431
GM0177,0.000931717
GM0703,0.001486085
GM0274,0.000856654
GM0339,0.000237352
GM1667,0.000226519
GM0275,0.000771698
GM0340,0.000503513
GM0597,0.001656287
GM1742,0.001602117
GM0603,0.001030684
GM1669,0.000569398
GM0957,0.001584933
GM0736,0.001777682
GM1674,0.001942806
GM0599,0.012460367
GM0277,3.84263E-05
GM0840,0.000693835
GM0441,0.001131893
GM0279,0.000117691
GM0606,0.001323293
GM0088,2.30692E-05
GM1676,0.001093967
GM0965,0.000158506
GM1702,0.000328177
GM0845,0.000576491
GM1883,0.003058522
GM0610,0.000654004
GM1714,0.000606415
GM0090,0.001560205
GM0342,0.000829427
GM0847,0.000913847
GM0848,0.000676119
GM0037,0.000503693
GM0180,0.001184542
GM0532,0.000250865
GM0851,0.001009298
GM1708,0.001190645
GM0971,0.000355802
GM1904,0.003102773
GM1900,0.002493525
GM0715,0.001446089
GM0093,8.33229E-05
GM0448,0.000275016
GM1525,0.000697237
GM0716,0.000507093
GM0281,0.001262238
GM0855,0.00489441
GM0183,0.000505814
GM1700,0.000549147
GM1730,0.000908614
GM0737,0.000676463
GM0856,0.001045272
GM0450,0.000547371
GM0451,0.00039563
GM0184,0.000205531
GM0344,0.007923481
GM1581,0.002013232
GM0981,0.000131047
GM0994,0.000438464
GM0858,0.000644557
GM0047,0.000562186
GM0345,0.000885855
GM0717,0.000473133
GM0861,0.000922072
GM0453,0.001557501
GM0983,0.00321329
GM0984,0.001495507
GM1961,0.003309386
GM0622,0.000787543
GM0096,8.26374E-06
GM0718,0.000730411
GM0986,0.000324744
GM0626,0.000211804
GM0285,0.001181381
GM0865,0.001061809
GM1949,0.001033654
GM0866,0.000573129
GM0867,0.001360192
GM0627,0.001144345
