geo_id,energetic_emissions_other_ghg_transport
GM0289,0.000454171
GM0629,0.000874773
GM0852,0.000603738
GM0988,0.001756225
GM0457,0.000268033
GM1960,0.004028232
GM0668,0.000530016
GM1969,0.002215626
GM1701,0.000637083
GM0293,0.000144462
GM1950,0.000456851
GM1783,0.002201503
GM0098,0.000809794
GM0614,0.000216787
GM0189,0.001051721
GM0296,0.001122074
GM1696,0.000476008
GM0352,0.000360205
GM0294,0.000525811
GM0873,0.00094823
GM0632,0.002683542
GM1690,0.001175042
GM0880,0.000697436
GM0351,0.000526753
GM0479,0.00223239
GM0297,0.001248424
GM0473,0.000132307
GM0050,0.001165849
GM0355,0.001557018
GM0299,0.001184576
GM0637,0.002055261
GM0638,0.000267509
GM1892,0.001687639
GM0879,0.000360703
GM0301,0.000796755
GM1896,0.000485046
GM0642,0.000785846
GM0193,0.00340988
PV20,0.01266001
PV21,0.016693162
PV22,0.013805699
PV23,0.029517512
PV24,0.012674546
PV25,0.063129932
PV26,0.039016161
PV27,0.063738548
PV28,0.070578473
PV29,0.010342537
PV30,0.075729347
PV31,0.03028091
RES01,0.006528472
RES02,0.006704018
RES03,0.013805699
RES04,0.012674546
RES05,0.009731483
RES06,0.016693162
RES07,0.00144192
RES08,0.01266001
RES09,0.010823592
RES10,0.002537117
RES11,0.010215053
RES12,0.023015419
RES13,0.040193182
RES14,0.00669143
RES16,0.014019359
RES17,0.049719188
RES18,0.006622913
RES19,0.017277937
RES20,0.018783922
RES21,0.002795752
RES22,0.008189275
RES23,0.019637958
RES24,0.029200166
RES25,0.01095161
RES26,0.011284218
RES27,0.014690258
RES28,0.023106415
RES29,0.014827254
RES30,0.010342537
RES31,0.013002973
