geo_id,present_number_of_apartments_2005_present,present_number_of_apartments_1985_2004,present_number_of_apartments_1965_1984,present_number_of_apartments_1945_1964,present_number_of_apartments_before_1945,present_number_of_terraced_houses_2005_present,present_number_of_terraced_houses_1985_2004,present_number_of_terraced_houses_1965_1984,present_number_of_terraced_houses_1945_1964,present_number_of_terraced_houses_before_1945,present_number_of_semi_detached_houses_2005_present,present_number_of_semi_detached_houses_1985_2004,present_number_of_semi_detached_houses_1965_1984,present_number_of_semi_detached_houses_1945_1964,present_number_of_semi_detached_houses_before_1945,present_number_of_detached_houses_2005_present,present_number_of_detached_houses_1985_2004,present_number_of_detached_houses_1965_1984,present_number_of_detached_houses_1945_1964,present_number_of_detached_houses_before_1945,typical_useful_demand_for_space_heating_apartments_2005_present,typical_useful_demand_for_space_heating_apartments_1985_2004,typical_useful_demand_for_space_heating_apartments_1965_1984,typical_useful_demand_for_space_heating_apartments_1945_1964,typical_useful_demand_for_space_heating_apartments_before_1945,typical_useful_demand_for_space_heating_terraced_houses_2005_present,typical_useful_demand_for_space_heating_terraced_houses_1985_2004,typical_useful_demand_for_space_heating_terraced_houses_1965_1984,typical_useful_demand_for_space_heating_terraced_houses_1945_1964,typical_useful_demand_for_space_heating_terraced_houses_before_1945,typical_useful_demand_for_space_heating_semi_detached_houses_2005_present,typical_useful_demand_for_space_heating_semi_detached_houses_1985_2004,typical_useful_demand_for_space_heating_semi_detached_houses_1965_1984,typical_useful_demand_for_space_heating_semi_detached_houses_1945_1964,typical_useful_demand_for_space_heating_semi_detached_houses_before_1945,typical_useful_demand_for_space_heating_detached_houses_2005_present,typical_useful_demand_for_space_heating_detached_houses_1985_2004,typical_useful_demand_for_space_heating_detached_houses_1965_1984,typical_useful_demand_for_space_heating_detached_houses_1945_1964,typical_useful_demand_for_space_heating_detached_houses_before_1945,present_share_of_apartments_2005_present_in_useful_demand_for_space_heating,present_share_of_apartments_1985_2004_in_useful_demand_for_space_heating,present_share_of_apartments_1965_1984_in_useful_demand_for_space_heating,present_share_of_apartments_1945_1964_in_useful_demand_for_space_heating,present_share_of_apartments_before_1945_in_useful_demand_for_space_heating,present_share_of_terraced_houses_2005_present_in_useful_demand_for_space_heating,present_share_of_terraced_houses_1985_2004_in_useful_demand_for_space_heating,present_share_of_terraced_houses_1965_1984_in_useful_demand_for_space_heating,present_share_of_terraced_houses_1945_1964_in_useful_demand_for_space_heating,present_share_of_terraced_houses_before_1945_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_2005_present_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_1985_2004_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_1965_1984_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_1945_1964_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_before_1945_in_useful_demand_for_space_heating,present_share_of_detached_houses_2005_present_in_useful_demand_for_space_heating,present_share_of_detached_houses_1985_2004_in_useful_demand_for_space_heating,present_share_of_detached_houses_1965_1984_in_useful_demand_for_space_heating,present_share_of_detached_houses_1945_1964_in_useful_demand_for_space_heating,present_share_of_detached_houses_before_1945_in_useful_demand_for_space_heating,typical_useful_demand_for_space_heating_buildings_present,present_number_of_buildings,interconnector_capacity
GM0014,9595,7854,16824,13050,22095,2644,5844,10088,1690,6261,1815,3849,4848,1538,2789,716,1656,817,680,2271,121.4206479,155.427211,190.6004876,218.0172696,223.5109001,113.5145405,151.3559976,182.5047721,223.9764835,250.5970143,115.9632288,148.2532439,195.6034685,253.2608658,276.3278959,115.8740915,141.7910185,209.23113,264.2851985,296.229548,0.07675046,0.06586593,0.147248,0.11549155,0.1940921,0.02099962,0.04993086,0.08889523,0.01452409,0.05654697,0.01391003,0.03186328,0.04161592,0.01198917,0.02166986,0.00533527,0.01354267,0.00625299,0.00521591,0.01826009,247.1496711,13065,60000
GM0034,6938,13048,3881,0,0,5078,29660,7913,0,0,2372,9518,2598,0,0,2139,2827,111,0,0,118.6746261,139.6284286,152.7011357,0,0,114.019875,136.2481562,155.2823555,0,0,115.0670038,149.4520454,172.241768,0,0,115.0315639,142.1040068,173.7525908,0,0,0.07583729,0.15387288,0.0452167,0,0,0.05719491,0.34977806,0.09243494,0,0,0.0263696,0.11179789,0.03023193,0,0,0.02317326,0.03269703,0.00139551,0,0,162.7791235,4305,60000
GM0037,476,1440,667,482,137,99,412,1816,902,21,202,1029,1218,664,422,277,940,755,470,2719,127.4717462,155.4537048,222.2701979,243.3709697,318.0363919,118,162.7895696,211.0620551,244.3655205,267.4890261,119.4807221,165.7062073,222.7417091,261.1288441,315.9601373,119.9292338,147.1207466,218.2267232,299.6466207,317.1233413,0.03395084,0.10367075,0.03681466,0.02858199,0.01014688,0.00618964,0.02558228,0.11791935,0.05769409,0.00180275,0.01274909,0.06520969,0.08137662,0.04286688,0.02912809,0.02106071,0.06020617,0.04895917,0.03218903,0.18390132,254.9080793,1995,60000
GM0047,153,902,875,479,216,53,318,2127,459,98,204,656,1418,658,799,232,829,519,161,1674,123.5773032,143.5928852,187.402171,256.9065784,220.8231571,113.7595397,176.1297822,203.5031116,235.9892753,254.7143176,111.8221219,161.4674842,216.6704334,259.1159152,303.8814661,116.1774535,143.7841896,205.6012707,300.4803865,311.5208453,0.01422988,0.07251649,0.06889361,0.03801139,0.01841982,0.00421945,0.02386401,0.16271035,0.03488494,0.00757198,0.01773598,0.05117571,0.10969401,0.04999774,0.06121067,0.02010877,0.06276372,0.04011946,0.01318177,0.12869025,269.0762949,1773,60000
GM0050,479,720,10,0,0,759,3170,280,1,0,555,1628,96,4,0,169,712,180,3,0,104.7061112,132.7832598,220,0,0,106.260769,153.7516207,208.594157,0,0,115.7564527,157.6832647,208.8594123,0,0,113.3367213,156.2466747,196.9106184,290.07,0,0.05508721,0.07955102,0.00120037,0,0,0.08291986,0.36173149,0.03396721,0.00011988,0,0.06008753,0.18892493,0.01166779,0.00044206,0,0.01900519,0.0856175,0.01939543,0.00028253,0,200.6352281,2088,60000
GM0059,208,456,560,72,62,23,156,1436,324,16,249,731,1696,667,155,359,1258,1243,724,1690,113.3506175,144.5675049,183.239906,224.4282426,175.5345641,111.68522,179.74219,211.9769797,220.1366236,301.5566013,101.4891727,160.5332302,219.3138969,251.7073306,278.773106,113.3633252,145.7660775,222.0218794,289.9056387,312.659322,0.01900768,0.03670191,0.04507575,0.00653083,0.00610263,0.0024504,0.0125565,0.11311276,0.02833367,0.00144434,0.02198898,0.05953588,0.13179314,0.05680941,0.01368025,0.03229776,0.10371652,0.09787184,0.0586721,0.15231765,269.9653525,929,60000
GM0060,16,135,26,16,84,4,11,31,8,13,18,125,178,66,124,84,220,244,159,178,137.4871795,157.8565368,266.9435207,307.9401893,302.0507111,0,133.7810462,151.4395912,237.1876173,201.6171347,111.0709238,148.5345784,171.4713366,202.8145696,275.0650866,115.7228597,157.119812,235.3530748,268.021316,321.3968033,0.00923873,0.08240538,0.01456166,0.00928386,0.04796055,0.00192291,0.00613728,0.01660694,0.00413862,0.00713224,0.01140489,0.07049646,0.10174373,0.039424,0.08047082,0.04637269,0.12710864,0.12827841,0.09362964,0.10168255,293.3020465,2141,60000
GM0072,341,450,488,154,242,236,159,1263,341,893,275,279,1038,272,473,76,363,154,70,199,116.9857225,157.9232255,207.3464192,201.8298537,247.1969531,115.766923,147.9931588,162.4206968,136.5567359,262.4782286,119.0582095,151.4441817,181.843495,173.707459,285.3427248,112.9373937,143.5349987,209.4037098,260.8356723,307.3836011,0.04321426,0.06134772,0.06250916,0.01547888,0.03073315,0.02827599,0.01997501,0.16577751,0.04457137,0.11499924,0.03599555,0.03678449,0.13645587,0.03296221,0.05932793,0.00965041,0.04967752,0.01939604,0.00842759,0.0244401,264.7599668,812,60000
GM0074,566,2118,2046,403,184,772,829,2116,919,228,807,1545,2034,999,992,539,1997,1094,810,2374,112.6446302,159.8075813,213.0681053,255.8559914,253.7885858,117.3009163,163.3699904,188.0647124,223.4180075,280.7325955,117.944566,164.6942575,194.9366053,229.7966409,291.7785313,116.5596324,146.2734172,218.9740402,277.7449508,301.9823724,0.02160225,0.08998908,0.08642631,0.01753932,0.00743937,0.03043497,0.03711685,0.09102335,0.04040392,0.00953813,0.03291639,0.06659821,0.08707716,0.04335508,0.04273586,0.02116089,0.08826363,0.04705895,0.03528986,0.10403042,240.9453567,3066,60000
GM0080,2542,3964,7189,5197,3122,1714,1895,6507,1611,8070,1824,2666,4123,1373,4216,891,2330,902,367,2028,122.9123995,158.7495301,189.5765579,217.6868054,229.8155818,114.8940108,164.1984508,197.0766919,222.5525741,280.7342428,115.934345,162.1928408,207.1621104,245.7445561,302.4473042,116.6988876,142.8639338,215.3714194,283.4861123,302.0307464,0.03856459,0.06234555,0.11345953,0.08510753,0.04851004,0.02634824,0.02937354,0.10525583,0.0265142,0.13309755,0.02812247,0.04231438,0.06642009,0.02260758,0.06902992,0.01348721,0.03648629,0.01461304,0.00595218,0.03239024,240.3249691,6798,60000
