geo_id,coast_line
AT,0
CZ,0
HR,0
HU,0
LU,0
SK,0
SE,21500
UK,21000
FI,19500
EL,18000
IT,900
ES,900
FR,8500
IE,7500
DK,7000
DE,3000
EE,3000
PT,2500
NL,1500
CY,1000
PL,700
LV,700
BG,500
RO,500
BE,200
MT,200
SI,100
LT,100
EU27,97800
