geo_id,energy_production_wet_biomass_max_demand,energy_production_dry_biomass_max_demand,energy_production_oily_biomass_max_demand
GM1680,39.53722894,20.66089306,1.542359021
GM0358,19.28700707,8.372282082,1.927675373
GM0197,24.6520725,11.77927622,1.641087982
GM0059,20.6593892,15.05342623,1.692184017
GM0482,4.120192914,5.174269925,1.21931786
GM0613,6.867487597,7.412804756,1.535372048
GM0361,40.54586573,31.70422071,6.595580657
GM0141,21.85921509,22.42683902,4.426034519
GM0034,58.85701107,61.0690855,12.63147443
GM0484,40.60484683,31.82834389,6.743096914
GM1723,20.44704687,10.70250497,0.616615524
GM1959,64.32952035,23.2172565,3.365047535
GM0060,9.549163055,1.704655818,0.22315783
GM0307,30.18007594,41.21533541,9.495356571
GM0362,19.98398837,24.41778702,5.518979308
GM0363,172.6492962,219.4338857,52.43054645
GM0200,53.32245978,60.98531982,9.869554523
GM0202,33.62199495,46.06565964,9.67634954
GM0106,17.6288465,20.33857569,4.129179316
GM0743,24.17647653,15.2381229,1.015237502
GM0744,20.95670043,6.734590431,0.415998275
GM0308,7.250232798,8.163535698,1.504750881
GM0489,9.284525807,13.10955933,2.957190602
GM0203,33.04085012,46.33994966,3.522102528
GM0888,4.639481162,4.522913638,0.967786845
GM1954,12.83346685,12.37664291,2.170639752
GM0370,16.01757321,4.691814426,0.592252255
GM0889,6.424533367,4.37963268,0.821364201
GM1945,21.66879809,12.81998172,2.112678257
GM1724,23.92727266,14.77413359,1.123444444
GM0893,19.85800255,7.875026063,0.798337569
GM0373,11.73383601,10.22506917,1.821108851
GM0748,39.35322346,19.73235755,4.059188077
GM1859,65.01768839,23.59405053,2.667443884
GM1721,32.42356588,24.09559031,1.871658079
GM0753,10.96547689,12.6497781,1.811813139
GM0209,9.940434183,8.325258104,1.572494137
GM0375,7.621906977,10.78293792,2.501700742
GM0310,14.74932794,13.8087969,2.601827098
GM1728,20.98511364,12.30166394,1.225758026
GM0376,2.300379056,3.213731412,0.680591891
GM0377,5.849952633,7.061170787,1.422304604
GM1901,31.61810569,10.94515351,2.093783053
GM0755,14.51644995,6.333283486,0.643287533
GM1681,38.68982895,26.63122028,1.541508433
GM0147,6.819156827,6.674800957,1.410153347
GM0654,41.20777524,12.59842318,1.385243271
GM0756,24.18563277,20.15625672,1.765881389
GM0757,17.55667353,10.3611268,1.868073458
GM0758,44.21368145,49.46441976,11.17144017
GM0501,9.584145794,5.529458042,1.043914468
GM1876,61.35321995,23.05539872,2.200106549
GM0213,14.64154759,8.215620433,1.257533562
GM0899,4.965279994,7.599473733,1.707433844
GM0312,9.231496801,5.167210142,0.923009464
GM0313,9.6149907,6.142041403,1.310877579
GM0214,25.32893851,10.9254342,1.614172948
GM0502,11.96510382,17.40239528,4.059613371
GM0383,15.15020561,10.43364471,2.173373784
GM0109,55.41102407,21.28469056,2.155815218
GM1706,16.08288778,8.612376499,1.241858441
GM1684,16.00799004,9.279165787,1.514714912
GM0216,8.590484314,8.132102612,1.734895684
GM0148,38.17953942,17.99270926,1.731493332
GM1891,21.51180168,6.916257246,1.149691158
GM0503,18.79951021,26.80712564,6.267800506
GM0762,42.95640921,18.34821846,1.966194857
GM0150,39.00803154,34.77705187,6.07301586
GM0384,6.242602876,7.865513386,1.773840462
GM1774,41.51777723,14.2745644,1.600928078
GM0221,4.184498456,3.23579286,0.677311052
GM0222,22.48226669,19.34082971,3.496827914
GM0766,12.09008824,7.351121005,1.582761949
GM0505,41.77695487,32.94181477,7.208976099
GM0498,12.34285434,6.187652654,1.190640894
GM1719,47.0123441,11.54799975,1.649533105
GM0303,141.1988003,30.36912014,2.479767724
GM0225,11.96524814,6.454469436,1.142035867
GM0226,7.526630047,7.540871482,1.539078181
GM1711,23.81362305,13.24093606,1.922207307
GM0385,12.08920151,9.938112823,2.193241089
GM0228,51.40190982,65.93415614,7.030109599
GM0317,4.835138023,2.911533861,0.553672014
GM0770,24.40506106,14.88048626,1.161052584
GM1903,15.39813236,9.506010372,1.55888473
GM0772,40.26801406,61.49507435,14.07370709
GM0230,9.884599504,8.607986367,1.402619568
GM0114,70.66901694,44.35553293,6.507787827
GM0388,4.622385158,5.105604769,1.124416544
GM0153,37.46438253,46.14550607,9.659398537
GM0232,20.76893576,19.22747201,2.013767027
GM0233,10.8418483,11.4719081,1.63179227
GM0777,16.98104394,12.66226788,2.659545567
GM1940,149.6436485,25.95690145,3.124695676
GM0779,11.64632817,8.689072594,1.307171446
GM1771,10.1357442,11.32752939,2.405645057
GM1652,40.79969823,20.26541584,1.849846573
GM0907,10.98050399,8.132685776,1.037170521
GM0784,16.33121248,11.98963647,1.605849337
GM1924,88.37779529,21.0230754,3.014179996
GM0664,28.54747887,14.72112419,2.287656354
GM0785,11.26996518,9.016233854,1.445574261
GM1942,18.16058189,15.83616784,3.50654892
GM0512,8.68506548,9.906936911,2.228662003
GM0513,13.21391493,18.41499124,4.446205605
GM0786,7.853031905,4.898600989,0.758420691
GM0518,87.63215498,134.7863809,32.67673439
GM0014,39.98624279,53.72888038,12.38328501
GM1729,11.36848072,7.298969474,0.865534019
GM0158,25.77566561,10.83705934,1.474980302
GM0392,28.90808473,40.75014188,9.797862108
GM0394,46.11454504,47.31669451,8.996061431
GM1655,24.74175192,10.41877971,1.834475233
GM0160,69.10314244,41.24319312,3.680251135
GM0243,9.539483644,13.61171353,2.89084474
GM0523,6.705502759,4.897334756,1.096711679
GM0072,7.514325641,4.788500042,0.95739752
GM0244,4.749666851,3.789922902,0.739586243
GM0396,7.770614712,11.03435735,2.379459099
GM0397,5.088318299,7.052604031,1.65779596
GM0246,11.72067425,8.384773167,1.126786039
GM0074,50.20093062,23.20463399,3.053428555
GM0398,14.90653867,16.47211365,3.447433056
