geo_id,area_per_building_residence_equivalent
GM0518,130.0
GM0796,130.0
GM1680,130.0
GM0358,130.0
GM0197,130.0
GM0059,130.0
GM0482,130.0
GM0613,130.0
GM0361,130.0
GM0141,130.0
GM0034,130.0
GM0484,130.0
GM1723,130.0
GM1959,130.0
GM0060,130.0
GM0307,130.0
GM0362,130.0
GM0363,130.0
GM0200,130.0
GM0202,130.0
GM0106,130.0
GM0743,130.0
GM0744,130.0
GM0308,130.0
GM0489,130.0
GM0203,130.0
GM0888,130.0
GM1954,130.0
GM0889,130.0
GM1945,130.0
GM1724,130.0
GM0893,130.0
GM0373,130.0
GM0748,130.0
GM1859,130.0
GM1721,130.0
GM0753,130.0
GM0209,130.0
GM0375,130.0
GM1728,130.0
GM0376,130.0
GM0377,130.0
GM1901,130.0
GM0755,130.0
GM1681,130.0
GM0147,130.0
GM0654,130.0
GM0757,130.0
GM0758,130.0
GM1876,130.0
GM0213,130.0
GM0899,130.0
GM0312,130.0
GM0313,130.0
GM0214,130.0
GM0502,130.0
GM0383,130.0
GM0109,130.0
GM1706,130.0
GM0216,130.0
GM0148,130.0
GM1891,130.0
GM0310,130.0
GM1940,130.0
GM0736,130.0
GM1690,130.0
GM0503,130.0
GM0400,130.0
GM0762,130.0
GM0150,130.0
GM0384,130.0
GM1774,130.0
GM0221,130.0
GM0222,130.0
GM0766,130.0
GM0505,130.0
GM0498,130.0
GM1719,130.0
GM0303,130.0
GM0225,130.0
GM0226,130.0
GM1711,130.0
GM0385,130.0
GM0228,130.0
GM0317,130.0
GM0770,130.0
GM1903,130.0
GM0772,130.0
GM0230,130.0
GM0114,130.0
GM0388,130.0
GM0153,130.0
GM0232,130.0
GM0233,130.0
GM0777,130.0
GM1979,130.0
GM1980,130.0
GM1982,130.0
GM1991,130.0
GM1992,130.0
GM0779,130.0
GM1771,130.0
GM1652,130.0
GM0907,130.0
GM0784,130.0
GM1924,130.0
GM0664,130.0
GM0785,130.0
GM1942,130.0
GM0512,130.0
GM0513,130.0
GM0014,130.0
GM1729,130.0
GM0158,130.0
GM0392,130.0
GM0394,130.0
GM1655,130.0
GM0160,130.0
GM0243,130.0
GM0523,130.0
GM0072,130.0
GM0244,130.0
GM0396,130.0
GM0397,130.0
