geo_id,energy_power_hv_network_loss_demand
BU00580000,1.414769321
BU00580001,0.492316282
BU00580002,0.540646985
BU00580003,0.730720031
BU00580004,0.524956959
BU00580005,0.624504504
BU00580006,0.273849028
BU00580007,0.859467456
BU00580008,0.269801054
BU00580009,0.336300358
BU00580010,0.323529223
BU00580011,0.406178747
BU00580100,0.279781043
BU00580101,0.010706946
BU00580102,0.087442727
BU00580103,0.017168896
BU00580104,0.032021697
BU00580105,0.029886191
BU00580107,0.009222345
BU00580108,0.006921987
BU00580109,0.055527651
BU00580200,0.224565279
BU00580201,0.174479107
BU00580202,0.027075197
BU00580208,0.054415829
BU00580209,0.017174556
BU00580300,0.315079199
BU00580301,0.088585566
BU00580302,0.049677263
BU00580303,0.104755774
BU00580307,0.056356056
BU00580308,0.017448502
BU00580309,0.017296923
BU00580400,0.273570261
BU00580401,0.068320489
BU00580408,0.03584063
BU00580409,0.009421963
BU00580500,0.377389036
BU00580501,0.090996594
BU00580502,0.100237142
BU00580503,0.070035645
BU00580506,0.068629571
BU00580507,0.01184203
BU00580509,0.002395414
BU00580600,0.467949211
BU00580601,0.011414885
BU00580602,0.078541214
BU00580603,0.019846856
BU00580604,0.024318736
BU00580605,0.058813953
BU00580608,0.095018782
BU00580609,0.009852039
BU00580700,0.078482667
BU00580701,0.031915129
BU00580702,0.013509376
BU00580703,0.019999316
BU00580708,0.022614292
BU00580709,0.031406966
BU00590000,2.102301829
BU00590001,0.477191926
BU00590002,0.704483171
BU00590003,0.491511568
BU00590004,0.2015265
BU00590005,0.212126939
BU00590006,0.021832491
BU00590007,0.119378892
BU00590008,0.081929384
BU00590009,0.032457864
BU00590100,0.242121889
BU00590102,0.520698269
BU00590103,0.277432257
BU00590107,0.017585313
BU00590108,0.080593167
BU00590109,0.076794261
BU00590200,3.186887051
BU00590201,1.289653315
BU00590202,0.227395514
BU00590203,0.206022892
BU00590206,0.250301328
BU00590207,0.111613035
BU00590208,0.120297504
BU00590209,0.155318028
BU00600000,0.737168367
BU00600001,0.47183171
BU00600002,0.193994701
BU00600003,0.663828089
BU00600007,0.096382562
BU00600008,0.225157345
BU00600009,0.155316654
BU00790000,2.04525711
BU00790009,0.096171142
BU00790100,0.1656443
BU00790101,0.099235258
BU00790102,0.041987927
BU00790103,0.127028401
BU00790104,0.023686631
BU00790106,0.021216527
BU00790107,0.04362328
BU00790108,0.018558546
BU00790109,0.096852024
BU00790200,0.186950312
BU00790201,0.077153817
BU00790202,0.142410674
BU00790208,0.106473253
BU00790209,0.040342998
BU00790300,1.002732031
BU00790301,0.138193984
BU00790302,0.10581822
BU00790309,0.047083199
BU00803702,0.133391554
BU00880000,0.559986043
BU00880009,0.077555336
BU00900132,0.091027505
BU02035875,0.367200671
BU02160009,1.9405096
BU02286031,0.084295084
BU02360208,0.232403087
BU02360207,0.080274861
BU02670401,0.087121789
BU02790000,3.347391795
BU02790008,0.100236682
BU02790009,0.274914333
BU03070100,0.942049831
BU03070101,0.470710322
BU03070102,0.31904566
BU03070103,0.525194676
BU03070104,0.896972731
BU03070105,0.558949019
BU03070106,0.981982547
BU03070107,1.20243751
BU03070108,0.149083525
BU03070200,0.025329641
BU03070202,0.268868059
BU03070204,0.137619932
BU03070205,0.096994653
BU03070206,0.120449118
BU03070300,0.540125408
BU03070301,0.289256208
BU03070302,0.426709728
BU03070303,0.656979503
BU03070304,0.424918909
BU03070305,0.337139692
BU03070306,0.796233282
BU03070307,0.08583737
BU03070401,0.95273249
BU03070402,0.988061016
BU03070403,2.419501355
BU03070404,1.720734755
BU03070500,0.371107122
BU03070501,1.136137976
BU03070502,0.047298097
BU03070600,0.151291327
BU03070601,0.323240216
BU03070603,0.294275681
BU03070700,0.64239564
BU03070701,0.773872112
BU03070702,0.471898849
BU03070800,0.511588724
BU03070801,0.376414753
BU03070803,0.266420699
BU03070900,0.503420772
BU03070902,0.611022314
BU03070903,0.526232605
BU03070905,0.287265522
BU03071000,0.263472225
BU03071001,0.582308683
BU03071002,0.431190051
BU03071003,0.489305676
BU03071004,0.305918367
BU03071100,0.347352188
BU03071101,0.398133071
BU03071201,0.048079388
BU03071202,0.068341568
BU03071300,0.355469347
BU03071301,0.296576586
BU03071302,0.299027556
BU03071400,0.472820884
BU03071401,0.633099213
BU03071402,0.374550683
BU03071403,0.597325131
BU03071500,0.599045946
BU03071501,0.482167463
BU03071502,0.457717954
BU03071503,0.314806448
BU03071600,0.527505316
BU03071601,0.866728022
BU03071602,0.639554008
BU03071603,0.028317202
BU03071700,0.163263628
BU03071701,0.310069979
BU03071702,0.159163875
BU03071703,0.252269448
BU03071704,0.385941928
BU03071705,0.269685631
BU03071706,0.176194271
BU03071707,0.037833922
BU03071800,0.351145314
BU03071801,0.093164173
BU03071802,0.312712019
BU03071803,0.370909013
BU03071804,0.324299299
BU03071900,0.622047548
BU03071901,0.65372978
BU03071902,0.710143954
BU03071903,0.512836203
BU03071904,0.731635596
BU03071905,0.21001737
BU03071906,0.107727088
BU03072000,0.303618766
BU03072001,0.394175532
BU03072002,0.278957758
BU03072003,0.350171006
BU03072004,0.410674776
BU03072005,0.353680003
BU03072006,0.004746135
BU03072100,0.33087706
BU03072101,0.155213941
BU03072102,0.357852087
BU03072103,0.257847816
BU03072104,0.269052364
BU03072105,0.752939696
BU03072106,0.318129312
BU03072107,0.36009161
BU03072108,0.448895435
BU03072201,1.396615741
BU03072300,0.053272268
BU03072301,0.02653401
BU03072400,0.713121113
BU03072402,0.544643075
BU03072403,0.495295796
BU03072404,0.440150096
BU03072405,0.70352342
BU03072407,0.72368903
BU03072500,0.233913737
BU03072501,1.000472471
BU03072502,0.412792982
BU03072505,0.021870707
BU03072506,0.017521273
BU03072507,2.121328472
BU03072508,0.458454222
BU03072600,0.503097272
BU03072601,0.495093327
BU03072602,0.196743364
BU03072603,0.145394591
BU03072700,0.046372936
BU03072701,0.116460757
BU03072709,1.607630923
BU03072800,0.472018594
BU03072801,0.270780246
BU03072802,0.608299555
BU03072803,0.272922609
BU03072804,0.134576658
BU03072805,0.048600747
BU03072806,0.000553227
BU03072900,0.432737302
BU03072901,0.741932636
BU03072902,0.270917558
BU03073000,0.337350382
BU03073001,0.490862096
BU03073100,0.045494037
BU03073101,0.618237022
BU03073102,0.350720977
BU03073103,0.445407949
BU03073108,0.020212734
BU03080000,1.659465349
BU03080001,0.259092999
BU03080002,0.355552837
BU03080003,0.690537854
BU03080004,0.683601442
BU03080005,0.709736163
BU03080006,0.199990481
BU03080007,0.260166657
BU03080100,1.427182198
BU03080101,0.514717259
BU03080102,0.315449478
BU03080103,0.729525518
BU03080104,0.502610524
BU03080105,0.42802456
BU03080109,0.051743097
BU03080200,0.493938386
BU03080201,0.190094469
BU03080400,0.583563713
BU03080401,0.378097393
BU03080500,0.134338683
BU03080501,0.071604836
BU03100001,0.068832041
BU03100002,1.834099723
BU03100008,3.499527261
BU03100009,0.067491001
BU03100100,4.009025468
BU03100200,2.239962462
BU03100201,1.290383241
BU03100209,0.231328406
BU03100300,0.415717978
BU03100309,0.069326438
BU03100400,1.643521961
BU03100401,0.024748812
BU03100402,0.065628825
BU03100500,0.626027311
BU03100501,0.044274203
BU03100600,0.43879602
BU03120000,2.801236437
BU03120001,0.052134693
BU03120008,0.090691974
BU03120009,0.324303857
BU03120100,1.69730388
BU03120109,0.123110407
BU03120200,0.640730381
BU03120209,0.251132347
BU03130001,1.321884412
BU03130002,2.523778158
BU03130004,0.808984367
BU03130005,0.893158458
BU03130006,1.068875686
BU03130007,0.090568395
BU03130008,0.451885505
BU03130009,0.459006613
BU03130011,0.233216046
BU03130003,0.29957022
BU03170000,0.33879652
BU03170001,0.06432448
BU03170002,0.646687384
BU03170003,0.120840168
BU03170004,1.083887666
BU03170005,0.624411454
BU03170008,0.114789693
BU03170009,0.206520993
BU03211010,0.760882034
BU03211011,0.261461252
BU03211012,0.241304161
BU03211013,0.341365553
BU03211014,0.444919704
BU03211015,0.317023053
BU03211016,0.383866026
BU03211017,0.42230014
BU03211018,0.283602094
BU03211019,0.461349055
BU03211050,0
BU03211120,0.176969387
BU03211121,1.388517801
BU03211122,0.306259958
BU03211123,0.212804046
BU03211124,0.407290637
BU03211125,0.471051574
BU03211126,0.32533909
BU03211127,0.299441207
BU03211128,0.152933897
BU03211129,0.243790447
BU03211230,0.249778978
BU03211231,0.421556694
BU03211232,0.511375332
BU03211233,0.260555024
BU03211234,0.335814276
BU03211235,0.499551636
BU03211236,0.366111703
BU03211238,0.495541811
BU03211340,0.319735267
BU03211341,0.37748688
BU03211342,0.398223813
BU03211343,0.528029165
BU03211344,0.830504528
BU03211345,0.309816226
BU03212054,0.002754234
BU03212055,0.483583284
BU03212056,0.41983745
BU03212057,0.10898874
BU03212058,1.425825748
BU03212060,0.111743191
BU03212061,0.368524174
BU03212062,0.186559248
BU03212063,0.117845633
BU03212064,0.157568622
BU03212065,0.027193656
BU03213070,0.18853091
BU03213071,0.040915958
BU03213172,0.152948128
