geo_id,country,name,file_carriers_propane_co2_conversion_per_mj,input_percentage_of_lt_steam_hot_water_households_final_demand_steam_hot_water,input_percentage_of_mt_steam_hot_water_households_final_demand_steam_hot_water,input_percentage_of_ht_steam_hot_water_households_final_demand_steam_hot_water,input_percentage_of_diesel_households_final_demand_crude_oil,input_percentage_of_biodiesel_households_final_demand_crude_oil,input_percentage_of_kerosene_households_final_demand_crude_oil,input_percentage_of_bio_kerosene_households_final_demand_crude_oil,input_percentage_of_lpg_households_final_demand_crude_oil,input_percentage_of_bio_oil_households_final_demand_crude_oil,input_percentage_of_crude_oil_households_final_demand_crude_oil,input_percentage_of_lt_steam_hot_water_buildings_final_demand_steam_hot_water,input_percentage_of_mt_steam_hot_water_buildings_final_demand_steam_hot_water,input_percentage_of_ht_steam_hot_water_buildings_final_demand_steam_hot_water,input_percentage_of_central_mt_steam_hot_water_agriculture_final_demand_steam_hot_water,input_percentage_of_central_ht_steam_hot_water_agriculture_final_demand_steam_hot_water,input_percentage_of_local_steam_hot_water_agriculture_final_demand_steam_hot_water,input_energy_chp_ultra_supercritical_mt_coal_production,input_energy_chp_ultra_supercritical_cofiring_mt_coal_production,input_energy_chp_ultra_supercritical_mt_lignite_production,input_energy_chp_combined_cycle_mt_network_gas_production,input_energy_chp_local_engine_mt_network_gas_production,input_energy_chp_supercritical_mt_waste_mix_production,input_energy_chp_local_mt_wood_pellets_production,input_energy_chp_local_engine_mt_biogas_production,input_energy_heat_well_deep_mt_geothermal_production,input_energy_heat_well_shallow_heatpump_mt_geothermal_production,input_energy_heat_well_shallow_lt_geothermal_production,input_energy_heat_burner_mt_wood_pellets_production,input_energy_heat_burner_mt_waste_mix_production,input_energy_heat_burner_mt_hydrogen_production,input_energy_heat_burner_lt_hydrogen_production,input_energy_heat_solar_lt_solar_thermal_production,input_energy_heat_solar_mt_solar_thermal_production,input_energy_heat_heatpump_water_water_mt_electricity_production,input_energy_heat_heatpump_water_water_lt_electricity_production,input_energy_heat_boiler_mt_electricity_production,input_energy_heat_boiler_lt_electricity_production,input_energy_heat_burner_mt_network_gas_production,input_energy_heat_burner_mt_coal_production,input_energy_heat_burner_mt_crude_oil_production,energy_heat_import_ht_steam_hot_water_demand,energy_heat_import_mt_steam_hot_water_demand,energy_heat_import_lt_steam_hot_water_demand,input_energy_heat_distribution_ht_loss_share,input_energy_heat_distribution_mt_loss_share,input_energy_heat_distribution_lt_loss_share
GM1681,nl2019,borger_odoorn,0.06448,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.28114278,24.28114278,24.28114278
GM0147,nl2019,borne,0.06448,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.28114278,24.28114278,24.28114278
GM0654,nl2019,borsele,0.06448,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.28114278,24.28114278,24.28114278
GM0756,nl2019,boxmeer,0.06448,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.28114278,24.28114278,24.28114278
GM0757,nl2019,boxtel,0.06448,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.28114278,24.28114278,24.28114278
GM0758,nl2019,breda,0.06448,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.28114278,24.28114278,24.28114278
GM0501,nl2019,brielle,0.06448,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.28114278,24.28114278,24.28114278
GM1876,nl2019,bronckhorst,0.06448,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.28114278,24.28114278,24.28114278
GM0213,nl2019,brummen,0.06448,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.28114278,24.28114278,24.28114278
GM0899,nl2019,brunssum,0.06448,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.28114278,24.28114278,24.28114278
