geo_id,input_industry_chemical_fertilizers_scaling_factor,input_industry_chemical_refineries_scaling_factor,input_industry_chemical_other_electricity_demand,input_industry_chemical_other_network_gas_demand,input_industry_chemical_other_steam_hot_water_demand,input_industry_chemical_other_wood_pellets_demand,input_industry_chemical_other_crude_oil_demand,input_industry_chemical_other_coal_demand,input_industry_chemical_other_network_gas_non_energetic_demand,input_industry_chemical_other_wood_pellets_non_energetic_demand,input_industry_chemical_other_crude_oil_non_energetic_demand,input_industry_chemical_other_coal_non_energetic_demand,input_industry_food_electricity_demand,input_industry_food_network_gas_demand,input_industry_food_steam_hot_water_demand,input_industry_food_wood_pellets_demand,input_industry_food_crude_oil_demand,input_industry_food_coal_demand,input_industry_ict_electricity_demand,input_industry_metal_steel_scaling_factor,input_industry_metal_aluminium_scaling_factor,input_industry_metal_other_electricity_demand,input_industry_metal_other_network_gas_demand,input_industry_metal_other_steam_hot_water_demand,input_industry_metal_other_wood_pellets_demand,input_industry_metal_other_crude_oil_demand,input_industry_metal_other_coal_demand,input_industry_other_electricity_demand,input_industry_other_network_gas_demand,input_industry_other_steam_hot_water_demand,input_industry_other_wood_pellets_demand,input_industry_other_crude_oil_demand,input_industry_other_coal_demand,input_industry_other_network_gas_non_energetic_demand,input_industry_other_wood_pellets_non_energetic_demand,input_industry_other_crude_oil_non_energetic_demand,input_industry_other_coal_non_energetic_demand,input_industry_paper_electricity_demand,input_industry_paper_network_gas_demand,input_industry_paper_steam_hot_water_demand,input_industry_paper_wood_pellets_demand,input_industry_paper_crude_oil_demand,input_industry_paper_coal_demand
GM1708,0,0,0,0,0,0,0,0,0,0,0,0,103.5155347,243.0610158,0,0,0,0,0,0,0,0,0,0,0,0,0,79.35931461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0180,0,0,0,0,0,0,0,0,0,0,0,0,70.1471852,164.7185085,0,0,0,0,0,0,0,0,0,0,0,0,0,53.78234977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0148,0,0,0,0,0,0,0,0,0,0,0,0,2.0088,4.7196,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0166,0,0,13.99698909,15.99825064,0,0,0,0,0,0,0,0,80.12151283,266.5230401,0,0,0,0,3.505168164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.569667201,2.901237163,0,0,0,0
GM0193,0,0,34.05686376,38.92522103,0,0,0,0,0,0,0,0,195.0155737,648.7140158,0,0,0,0,8.51421594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.253134452,7.06452733,0,0,0,0
GM1773,0,0,4.421684851,5.045603573,0,0,0,0,0,0,0,0,25.30939857,84.17477358,0,0,0,0,1.098639488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813807028,0.922314632,0,0,0,0
GM1896,0,0,37.60642918,42.9721252,0,0,0,0,0,0,0,0,215.3029177,716.198207,0,0,0,0,9.404517109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.902077531,7.798300078,0,0,0,0
GM0150,0,0,1010.472626,281.5227151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.20517543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.3905083,51.10599199,0,0,0,0
GM0177,0,0,302.5559226,84.29303728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.445441515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.50754299,15.30032073,0,0,0,0
GM0160,0,0,236.2316968,56.98144026,0,0,0,0,0,0,0,0,193.1678005,90.74178162,159.573729,0,0,0,0,0,0,0,0,0,0,0,0,910.5845014,189.1319773,0,0,0,0,0,0,0,0,43.33975319,10.34274169,0,0,0,0
