geo_id,number_of_busses,number_of_trucks,number_of_vans
AT,10148,54003,440582
BE,16542,96474,789013
CY,3151,10940,101528
CZ,22206,275484,444203
DE,81364,531309,2743525
DK,13003,27919,380175
EE,5221,27366,90759
ES,65470,346624,4669349
FI,19086,161239,481797
FR,94506,306569,4601775
HR,6041,33173,147501
HU,19454,50957,468274
IE,12990,24383,327878
IT,100149,565010,3613056
LT,8142,27461,68003
LU,2158,5760,36257
LV,4808,17134,59291
NL,9876,63081,939801
PL,122879,703180,2733004
PT,17819,60797,1396653
RO,53771,145927,797135
SE,14913,70634,583245
MT,2275,11538,37953
