geo_id,input_households_insulation_level_apartments_2005,input_households_insulation_level_apartments_1985_2004,input_households_insulation_level_apartments_1965_1984,input_households_insulation_level_apartments_1945_1964,input_households_insulation_level_apartments_1945,input_households_insulation_level_terraced_2005,input_households_insulation_level_terraced_1985_2004,input_households_insulation_level_terraced_1965_1984,input_households_insulation_level_terraced_1945_1964,input_households_insulation_level_terraced_1945,input_households_insulation_level_semi_detached_2005,input_households_insulation_level_semi_detached_1985_2004,input_households_insulation_level_semi_detached_1965_1984,input_households_insulation_level_semi_detached_1945_1964,input_households_insulation_level_semi_detached_1945,input_households_insulation_level_detached_2005,input_households_insulation_level_detached_1985_2004,input_households_insulation_level_detached_1965_1984,input_households_insulation_level_detached_1945_1964,input_households_insulation_level_detached_1945,input_households_share_of_useful_demand_for_space_heating_apartments_2005,input_households_share_of_useful_demand_for_space_heating_apartments_1985_2004,input_households_share_of_useful_demand_for_space_heating_apartments_1965_1984,input_households_share_of_useful_demand_for_space_heating_apartments_1945_1964,input_households_share_of_useful_demand_for_space_heating_apartments_1945,input_households_share_of_useful_demand_for_space_heating_terraced_2005,input_households_share_of_useful_demand_for_space_heating_terraced_1985_2004,input_households_share_of_useful_demand_for_space_heating_terraced_1965_1984,input_households_share_of_useful_demand_for_space_heating_terraced_1945_1964,input_households_share_of_useful_demand_for_space_heating_terraced_1945,input_households_share_of_useful_demand_for_space_heating_semi_detached_2005,input_households_share_of_useful_demand_for_space_heating_semi_detached_1985_2004,input_households_share_of_useful_demand_for_space_heating_semi_detached_1965_1984,input_households_share_of_useful_demand_for_space_heating_semi_detached_1945_1964,input_households_share_of_useful_demand_for_space_heating_semi_detached_1945,input_households_share_of_useful_demand_for_space_heating_detached_2005,input_households_share_of_useful_demand_for_space_heating_detached_1985_2004,input_households_share_of_useful_demand_for_space_heating_detached_1965_1984,input_households_share_of_useful_demand_for_space_heating_detached_1945_1964,input_households_share_of_useful_demand_for_space_heating_detached_1945,households_number_of_apartments_2005,households_number_of_apartments_1985_2004,households_number_of_apartments_1965_1984,households_number_of_apartments_1945_1964,households_number_of_apartments_1945,households_number_of_terraced_2005,households_number_of_terraced_1985_2004,households_number_of_terraced_1965_1984,households_number_of_terraced_1945_1964,households_number_of_terraced_1945,households_number_of_semi_detached_2005,households_number_of_semi_detached_1985_2004,households_number_of_semi_detached_1965_1984,households_number_of_semi_detached_1945_1964,households_number_of_semi_detached_1945,households_number_of_detached_2005,households_number_of_detached_1985_2004,households_number_of_detached_1965_1984,households_number_of_detached_1945_1964,households_number_of_detached_1945
EL,19.80842324,0.016260551,0.023228316,147.368122,59.37586078,19.80842324,0.020464299,0.03033524,147.368122,77.35027694,0,0,0,0,0,156.7954823,0.026329536,0.040004961,109.2189208,209.7033841,0.017477381,0.081823005,0.08864827,0.04334198,0.021268101,0.017477381,0.081823005,0.08864827,0.04334198,0.021268101,0,0,0,0,0,0.138343894,0.13740856,0.124784225,0.032122037,0.06222381,15431.45559,566635.3756,782845.5024,251328.5508,37733.36932,362895.5639,449755.8612,617451.0873,250092.5652,99134.4711,0,0,0,0,0,214747.5069,1644981.925,2233537.946,626007.0106,361396.0628
HR,44.5533259,0.008130276,0.011614158,299.516947,59.37586078,44.5533259,0.010232149,0.01516762,299.516947,77.35027694,0,0,0,0,0,49.92694073,0.013164768,0.02000248,204.2072962,209.7033841,0.030102815,0.069772358,0.095871978,0.067457015,0.03664282,0.030102815,0.069772358,0.095871978,0.067457015,0.03664282,0,0,0,0,0,0.033733541,0.078604217,0.156047407,0.045991437,0.085929426,62464.45955,97077.13948,113045.561,50426.85432,22008.4975,77640.34164,64524.71068,85311.70977,35432.45392,14380.86722,0,0,0,0,0,256759.6584,488886.8278,592622.9056,149656.1056,229784.4194
HU,20.48334095,0.004065138,0.005807079,205.1129532,59.37586078,20.48334095,0.005116075,0.00758381,205.1129532,77.35027694,0,0,0,0,0,124.3798005,0.006582384,0.01000124,204.0710744,209.7033841,0.015054377,0.041942163,0.084792295,0.050249741,0.020810365,0.015054377,0.041942163,0.084792295,0.050249741,0.020810365,0,0,0,0,0,0.091413818,0.138881711,0.174921163,0.049994495,0.119090931,114834.4795,169627.1619,134336.9597,99006.37968,47565.05516,137712.0427,251503.5018,147494.839,8104.842596,3860.277673,0,0,0,0,0,369392.8622,854933.0855,1307274.752,439388.2653,900335.531
IE,20.49391352,0.002032569,0.002903539,315.1928391,59.37586078,20.49391352,0.002558037,0.003791905,315.1928391,77.35027694,0,0,0,0,0,70.15360819,0.003291192,0.00500062,118.4404557,209.7033841,0.015654613,0.060111389,0.128201206,0.080255079,0.039471712,0.015654613,0.060111389,0.128394952,0.080255079,0.039471712,0,0,0,0,0,0.053587988,0.087008527,0.114893459,0.030157564,0.066770718,6470.2931,13874.93994,30352.32106,18515.4664,9054.452688,14105.91575,39166.32738,47773.41191,14655.51534,6154.333537,0,0,0,0,0,303117.274,473267.2774,468092.7193,136671.4203,275263.2782
IT,76.47653209,0.001016284,0.00145177,249.3096297,59.37586078,76.47653209,0.001279019,0.001895953,249.3096297,77.35027694,0,0,0,0,0,111.5182111,0.001645596,0.00250031,205.9986941,209.7033841,0.045242791,0.075928625,0.096130212,0.04916307,0.024293349,0.045242791,0.075928625,0.096130212,0.04916307,0.024293349,0,0,0,0,0,0.065973115,0.107138434,0.146636562,0.040622291,0.058113502,1044584.392,1871473.412,3618665.534,2273629.606,1288113.765,5161591.389,7226660.273,6839120.924,3294248.125,1598826.668,0,0,0,0,0,824968.0677,1538381.915,2854670.053,729535.9056,1891996.681
LT,53.83870233,0.000508142,0.000725885,413.6411196,59.37586078,53.83870233,0.000639509,0.000947976,413.6411196,77.35027694,0,0,0,0,0,72.50956459,0.000822798,0.001250155,264.8632741,209.7033841,0.029408723,0.056555531,0.087239813,0.075315442,0.042487991,0.029408723,0.056555531,0.087239813,0.075315442,0.042487991,0,0,0,0,0,0.03960745,0.080842865,0.14040726,0.048226092,0.108901334,31219.54746,73850.40163,128035.2512,58151.28122,20515.00698,54339.95566,62583.2792,41628.38144,17829.34381,6363.721924,0,0,0,0,0,139286.1792,252631.8217,372680.4449,121597.0669,211059.8054
LU,15.40078822,0.000254071,0.000362942,397.8087727,59.37586078,15.40078822,0.000319755,0.000473988,397.8087727,77.35027694,0,0,0,0,0,63.1515213,0.000411399,0.000625078,337.4063031,209.7033841,0.008228291,0.050139444,0.098247886,0.070846732,0.034720709,0.008228291,0.050139444,0.098247886,0.070846732,0.034720709,0,0,0,0,0,0.033740424,0.094237802,0.164910057,0.060089509,0.122656083,5200.643113,3925.01367,9321.907466,11775.04101,6083.771189,5869.151931,18619.3814,16711.9715,4903.107305,2290.191941,0,0,0,0,0,29040.43216,26832.69816,46642.45888,17477.50055,51613.10617
LV,101.1242781,0.000127036,0.000181471,350.3224705,59.37586078,101.1242781,0.000159877,0.000236994,350.3224705,77.35027694,0,0,0,0,0,118.4647353,0.0002057,0.000312539,289.8199407,209.7033841,0.042287269,0.068545515,0.088747694,0.048831598,0.02579696,0.042287269,0.068545515,0.088747694,0.048831598,0.02579696,0,0,0,0,0,0.04953855,0.114588931,0.160999032,0.040398125,0.08605729,21900.12291,50764.59095,47430.54943,20780.42088,4596.37706,126492.0963,245563.1881,238938.1246,107356.3932,47998.82426,0,0,0,0,0,15275.79585,51319.83579,40918.83673,10320.51904,155816.3862
NL,28.45408065,6.35178E-05,9.07356E-05,427.9099316,59.37586078,28.45408065,7.99387E-05,0.000118497,427.9099316,77.35027694,0,0,0,0,0,19.62405901,0.00010285,0.000156269,155.7045929,209.7033841,0.017741264,0.064817092,0.149031633,0.088934671,0.044217653,0.017741264,0.064817092,0.149031633,0.088934671,0.044217653,0,0,0,0,0,0.0122357,0.052237607,0.110409881,0.032360868,0.063271318,19481.22268,70600.55508,122474.9736,111299.6986,57613.07329,222086.5094,267217.795,230492.541,78513.36013,37760.6069,0,0,0,0,0,579819.8347,1561890.293,2079528.225,752073.5369,1610617.297
PL,59.18213915,3.17589E-05,4.53678E-05,270.5758759,59.37586078,59.18213915,3.99693E-05,5.92485E-05,270.5758759,77.35027694,0,0,0,0,0,121.8992308,5.14249E-05,7.81347E-05,253.7654778,209.7033841,0.034916642,0.052819861,0.062273521,0.053212005,0.033657561,0.034916642,0.052819861,0.062273521,0.053212005,0.033657561,0,0,0,0,0,0.071918856,0.120723199,0.160837946,0.049906038,0.12285478,522308.6181,784884.5956,786574.1146,484521.0834,224912.0661,929715.4514,360445.365,258680.8507,176515.8463,136287.5682,0,0,0,0,0,1936399.111,3385410.574,3631840.922,1239144.283,1925560.028
PT,39.35405509,1.58794E-05,2.26839E-05,180.1966344,59.37586078,39.35405509,1.99847E-05,2.96243E-05,180.1966344,77.35027694,0,0,0,0,0,76.88389733,2.57124E-05,3.90673E-05,116.7941149,209.7033841,0.034337313,0.085193029,0.089482767,0.052408562,0.029504079,0.034337313,0.085193029,0.089482767,0.052408562,0.029504079,0,0,0,0,0,0.067082959,0.105127693,0.132768357,0.033968512,0.079200977,170315.1542,374701.2904,349177.8709,140259.5387,69096.11063,59611.17052,98208.41007,112354.1329,45199.07688,24416.05476,0,0,0,0,0,835067.6907,1865952.87,1710645.798,363553.7266,814991.0693
RO,38.29184792,7.93972E-06,1.1342E-05,191.7569488,59.37586078,38.29184792,9.99233E-06,1.48121E-05,191.7569488,77.35027694,0,0,0,0,0,73.47909528,1.28562E-05,1.95337E-05,172.5099653,209.7033841,0.030977587,0.054404847,0.081603386,0.051709592,0.030186711,0.030977587,0.054404847,0.081603386,0.051709592,0.030186711,0,0,0,0,0,0.059443593,0.11961633,0.178833287,0.046519409,0.097823137,321924.9047,436152.9054,720824.4698,315748.695,87212.3785,256646.1514,179754.9224,477455.5017,178979.3024,28557.2376,0,0,0,0,0,1280504.884,1727067.091,2504119.11,1153496.505,1043419.295
SE,61.06869292,3.96986E-06,5.67098E-06,316.713159,59.37586078,61.06869292,4.99617E-06,7.40606E-06,316.713159,77.35027694,0,0,0,0,0,149.5589918,6.42811E-06,9.76684E-06,216.6270825,209.7033841,0.035170152,0.056251863,0.072725489,0.060799565,0.035060705,0.035170152,0.056251863,0.072725489,0.060799565,0.035060705,0,0,0,0,0,0.086132717,0.120823568,0.130283165,0.041585997,0.101159004,39515.13417,144495.0407,209895.1923,239914.1074,189301.1795,748046.1492,1062181.256,1037462.403,466573.9631,207375.0296,0,0,0,0,0,100992.2666,246035.5837,534884.5685,143723.439,512725.341
SI,40.5582092,1.98493E-06,2.83549E-06,241.3967812,59.37586078,40.5582092,2.49808E-06,3.70303E-06,241.3967812,77.35027694,0,0,0,0,0,88.33333333,3.21405E-06,4.88342E-06,198.0269222,209.7033841,0.028883207,0.053847904,0.081600501,0.057302934,0.030336847,0.028883207,0.053847904,0.081600501,0.057302934,0.030336847,0,0,0,0,0,0.062905882,0.12401954,0.16668324,0.047007767,0.095440785,10826.70915,11654.37079,21206.03361,16128.21755,5100.1853,23239.32599,51080.14437,44197.91279,17322.93964,8207.99942,0,0,0,0,0,99572.25878,104739.3588,261263.634,165605.7453,74770.68084
SK,71.80859851,9.92465E-07,1.41774E-06,223.2676988,59.37586078,71.80859851,1.24904E-06,1.85152E-06,223.2676988,77.35027694,0,0,0,0,0,136.6669472,1.60703E-06,2.44171E-06,182.6989193,209.7033841,0.045433172,0.073372258,0.084089223,0.047087025,0.023528812,0.045433172,0.073372258,0.084089223,0.047087025,0.023528812,0,0,0,0,0,0.086468934,0.126745761,0.141782957,0.038531093,0.059450276,31772.40159,83650.27663,124084.9728,93559.17451,43343.43719,54921.77414,135199.5102,94944.7392,17053.37846,2531.437904,0,0,0,0,0,134704.3299,400935.2625,508174.3318,185454.5069,456080.729
MT,9.047763313,4.96233E-07,7.08872E-07,29.38044855,59.37586078,9.047763313,6.24521E-07,9.25758E-07,29.38044855,77.35027694,0,0,0,0,0,17.84590127,8.03514E-07,1.22085E-06,34.33283651,209.7033841,0.038837007,0.059996213,0.071223745,0.042037966,0.020134126,0.038837007,0.059996213,0.071223745,0.042037966,0.020134126,0,0,0,0,0,0.076602512,0.139149176,0.171797018,0.049123913,0.098869268,2410.751096,7010.295451,8204.026849,5355.625648,2712.260088,6120.138012,2609.875171,1127.109303,776.8557879,309.6870022,0,0,0,0,0,16744.69158,60642.62806,74199.46006,23797.93699,53671.61805
EU27,46.28268325,2.48116E-07,3.54436E-07,227.5449017,59.37586078,60.23273316,3.1226E-07,4.62879E-07,294.925967,77.35027694,0,0,0,0,0,72.67099467,4.01757E-07,6.10427E-07,189.7691675,209.7033841,0.032625934,0.063029968,0.08670102,0.050991476,0.026578866,0.039221976,0.072647627,0.105083899,0.062692141,0.03300325,0,0,0,0,0,0.049877312,0.098390756,0.145158916,0.041385885,0.092610974,6138880.042,11321983.78,17864161.51,9150142.161,3750389.709,18090091.9,24683735.1,26156707.74,14015083.57,6479247.221,0,0,0,0,0,22466009.42,37340274.96,50828277.06,17502128.69,35591146
