nrg_bal,siec,OBS_VAL
PPRD,TOTAL,1592.82
PPRD,C0000X0350-0370,0.0
PPRD,C0110,0.0
PPRD,C0121,0.0
PPRD,C0129,0.0
PPRD,C0210,0.0
PPRD,C0220,0.0
PPRD,C0320,0.0
PPRD,C0311,0.0
PPRD,C0312,0.0
PPRD,C0340,0.0
PPRD,C0330,0.0
PPRD,C0350-0370,0.0
PPRD,C0360,0.0
PPRD,C0350,0.0
PPRD,C0371,0.0
PPRD,C0379,0.0
PPRD,P1000,0.0
PPRD,P1100,0.0
PPRD,P1200,0.0
PPRD,S2000,0.0
PPRD,O4000XBIO,0.0
PPRD,O4100_TOT,0.0
PPRD,O4200,0.0
PPRD,O4300,0.0
PPRD,O4400X4410,0.0
PPRD,O4500,0.0
PPRD,O4610,0.0
PPRD,O4620,0.0
PPRD,O4630,0.0
PPRD,O4652XR5210B,0.0
PPRD,O4651,0.0
PPRD,O4653,0.0
PPRD,O4661XR5230B,0.0
PPRD,O4669,0.0
PPRD,O4640,0.0
PPRD,O4671XR5220B,0.0
PPRD,O4680,0.0
PPRD,O4691,0.0
PPRD,O4692,0.0
PPRD,O4695,0.0
PPRD,O4694,0.0
PPRD,O4693,0.0
PPRD,O4699,0.0
PPRD,G3000,0.0
PPRD,RA000,1592.82
PPRD,RA100,0.0
PPRD,RA500,0.0
PPRD,RA300,0.209
PPRD,RA420,761.76
PPRD,RA410,212.499
PPRD,RA200,0.0
PPRD,R5110-5150_W6000RI,0.0
PPRD,R5160,0.0
PPRD,R5300,68.689
PPRD,W6210,0.0
PPRD,R5210P,0.0
PPRD,R5210B,0.0
PPRD,R5220P,0.0
PPRD,R5220B,0.0
PPRD,R5230P,0.0
PPRD,R5230B,0.0
PPRD,R5290,0.0
PPRD,RA600,549.663
PPRD,W6100_6220,0.0
PPRD,W6100,0.0
PPRD,W6220,0.0
PPRD,N900H,0.0
PPRD,H8000,0.0
PPRD,E7000,0.0
PPRD,FE,0.0
PPRD,BIOE,68.689
RCV_RCY,TOTAL,0.0
RCV_RCY,C0000X0350-0370,0.0
RCV_RCY,C0110,0.0
RCV_RCY,C0121,0.0
RCV_RCY,C0129,0.0
RCV_RCY,C0210,0.0
RCV_RCY,C0220,0.0
RCV_RCY,C0320,0.0
RCV_RCY,C0311,0.0
RCV_RCY,C0312,0.0
RCV_RCY,C0340,0.0
RCV_RCY,C0330,0.0
RCV_RCY,C0350-0370,0.0
RCV_RCY,C0360,0.0
RCV_RCY,C0350,0.0
RCV_RCY,C0371,0.0
RCV_RCY,C0379,0.0
RCV_RCY,P1000,0.0
RCV_RCY,P1100,0.0
RCV_RCY,P1200,0.0
RCV_RCY,S2000,0.0
RCV_RCY,O4000XBIO,0.0
RCV_RCY,O4100_TOT,0.0
RCV_RCY,O4200,0.0
RCV_RCY,O4300,0.0
RCV_RCY,O4400X4410,0.0
RCV_RCY,O4500,0.0
RCV_RCY,O4610,0.0
RCV_RCY,O4620,0.0
RCV_RCY,O4630,0.0
RCV_RCY,O4652XR5210B,0.0
RCV_RCY,O4651,0.0
RCV_RCY,O4653,0.0
RCV_RCY,O4661XR5230B,0.0
RCV_RCY,O4669,0.0
RCV_RCY,O4640,0.0
RCV_RCY,O4671XR5220B,0.0
RCV_RCY,O4680,0.0
RCV_RCY,O4691,0.0
RCV_RCY,O4692,0.0
RCV_RCY,O4695,0.0
RCV_RCY,O4694,0.0
RCV_RCY,O4693,0.0
RCV_RCY,O4699,0.0
RCV_RCY,G3000,0.0
RCV_RCY,RA000,0.0
RCV_RCY,RA100,0.0
RCV_RCY,RA500,0.0
RCV_RCY,RA300,0.0
RCV_RCY,RA420,0.0
RCV_RCY,RA410,0.0
RCV_RCY,RA200,0.0
RCV_RCY,R5110-5150_W6000RI,0.0
RCV_RCY,R5160,0.0
RCV_RCY,R5300,0.0
RCV_RCY,W6210,0.0
RCV_RCY,R5210P,0.0
RCV_RCY,R5210B,0.0
RCV_RCY,R5220P,0.0
RCV_RCY,R5220B,0.0
RCV_RCY,R5230P,0.0
RCV_RCY,R5230B,0.0
RCV_RCY,R5290,0.0
RCV_RCY,RA600,0.0
RCV_RCY,W6100_6220,0.0
RCV_RCY,W6100,0.0
RCV_RCY,W6220,0.0
RCV_RCY,N900H,0.0
RCV_RCY,H8000,0.0
RCV_RCY,E7000,0.0
RCV_RCY,FE,0.0
RCV_RCY,BIOE,0.0
IMP,TOTAL,144579.431
IMP,C0000X0350-0370,0.0
IMP,C0110,0.0
IMP,C0121,0.0
IMP,C0129,0.0
IMP,C0210,0.0
IMP,C0220,0.0
IMP,C0320,0.0
IMP,C0311,0.0
IMP,C0312,0.0
IMP,C0340,0.0
IMP,C0330,0.0
IMP,C0350-0370,0.0
IMP,C0360,0.0
IMP,C0350,0.0
IMP,C0371,0.0
IMP,C0379,0.0
IMP,P1000,0.0
IMP,P1100,0.0
IMP,P1200,0.0
IMP,S2000,0.0
IMP,O4000XBIO,128385.228
IMP,O4100_TOT,0.0
IMP,O4200,0.0
IMP,O4300,0.0
IMP,O4400X4410,0.0
IMP,O4500,0.0
IMP,O4610,0.0
IMP,O4620,0.0
IMP,O4630,1162.236
IMP,O4652XR5210B,3285.63
IMP,O4651,1.936
IMP,O4653,0.0
IMP,O4661XR5230B,7486.859
IMP,O4669,26.659
IMP,O4640,0.0
IMP,O4671XR5220B,31188.201
IMP,O4680,84583.28
IMP,O4691,0.0
IMP,O4692,213.822
IMP,O4695,436.605
IMP,O4694,0.0
IMP,O4693,0.0
IMP,O4699,0.0
IMP,G3000,13284.699
IMP,RA000,545.182
IMP,RA100,0.0
IMP,RA500,0.0
IMP,RA300,0.0
IMP,RA420,0.0
IMP,RA410,0.0
IMP,RA200,0.0
IMP,R5110-5150_W6000RI,70.092
IMP,R5160,0.0
IMP,R5300,0.0
IMP,W6210,0.0
IMP,R5210P,0.0
IMP,R5210B,0.0
IMP,R5220P,475.09
IMP,R5220B,0.0
IMP,R5230P,0.0
IMP,R5230B,0.0
IMP,R5290,0.0
IMP,RA600,0.0
IMP,W6100_6220,0.0
IMP,W6100,0.0
IMP,W6220,0.0
IMP,N900H,0.0
IMP,H8000,0.0
IMP,E7000,2364.322
IMP,FE,143785.911
IMP,BIOE,552.471
EXP,TOTAL,15794.45
EXP,C0000X0350-0370,0.0
EXP,C0110,0.0
EXP,C0121,0.0
EXP,C0129,0.0
EXP,C0210,0.0
EXP,C0220,0.0
EXP,C0320,0.0
EXP,C0311,0.0
EXP,C0312,0.0
EXP,C0340,0.0
EXP,C0330,0.0
EXP,C0350-0370,0.0
EXP,C0360,0.0
EXP,C0350,0.0
EXP,C0371,0.0
EXP,C0379,0.0
EXP,P1000,0.0
EXP,P1100,0.0
EXP,P1200,0.0
EXP,S2000,0.0
EXP,O4000XBIO,15681.844
EXP,O4100_TOT,0.0
EXP,O4200,0.0
EXP,O4300,0.0
EXP,O4400X4410,0.0
EXP,O4500,0.0
EXP,O4610,0.0
EXP,O4620,0.0
EXP,O4630,0.0
EXP,O4652XR5210B,0.0
EXP,O4651,0.0
EXP,O4653,0.0
EXP,O4661XR5230B,0.0
EXP,O4669,0.132
EXP,O4640,0.0
EXP,O4671XR5220B,5828.392
EXP,O4680,9853.32
EXP,O4691,0.0
EXP,O4692,0.0
EXP,O4695,0.0
EXP,O4694,0.0
EXP,O4693,0.0
EXP,O4699,0.0
EXP,G3000,0.0
EXP,RA000,38.982
EXP,RA100,0.0
EXP,RA500,0.0
EXP,RA300,0.0
EXP,RA420,0.0
EXP,RA410,0.0
EXP,RA200,0.0
EXP,R5110-5150_W6000RI,0.0
EXP,R5160,0.0
EXP,R5300,0.0
EXP,W6210,0.0
EXP,R5210P,0.0
EXP,R5210B,0.0
EXP,R5220P,38.982
EXP,R5220B,0.0
EXP,R5230P,0.0
EXP,R5230B,0.0
EXP,R5290,0.0
EXP,RA600,0.0
EXP,W6100_6220,0.0
EXP,W6100,0.0
EXP,W6220,0.0
EXP,N900H,0.0
EXP,H8000,0.0
EXP,E7000,73.624
EXP,FE,15747.734
EXP,BIOE,39.209
STK_CHG,TOTAL,2155.251
STK_CHG,C0000X0350-0370,0.0
STK_CHG,C0110,0.0
STK_CHG,C0121,0.0
STK_CHG,C0129,0.0
STK_CHG,C0210,0.0
STK_CHG,C0220,0.0
STK_CHG,C0320,0.0
STK_CHG,C0311,0.0
STK_CHG,C0312,0.0
STK_CHG,C0340,0.0
STK_CHG,C0330,0.0
STK_CHG,C0350-0370,0.0
STK_CHG,C0360,0.0
STK_CHG,C0350,0.0
STK_CHG,C0371,0.0
STK_CHG,C0379,0.0
STK_CHG,P1000,0.0
STK_CHG,P1100,0.0
STK_CHG,P1200,0.0
STK_CHG,S2000,0.0
STK_CHG,O4000XBIO,2591.773
STK_CHG,O4100_TOT,0.0
STK_CHG,O4200,0.0
STK_CHG,O4300,0.0
STK_CHG,O4400X4410,0.0
STK_CHG,O4500,0.0
STK_CHG,O4610,0.0
STK_CHG,O4620,0.0
STK_CHG,O4630,65.504
STK_CHG,O4652XR5210B,286.423
STK_CHG,O4651,0.22
STK_CHG,O4653,0.0
STK_CHG,O4661XR5230B,-562.397
STK_CHG,O4669,1.318
STK_CHG,O4640,0.0
STK_CHG,O4671XR5220B,-1185.295
STK_CHG,O4680,3986.0
STK_CHG,O4691,0.0
STK_CHG,O4692,0.0
STK_CHG,O4695,0.0
STK_CHG,O4694,0.0
STK_CHG,O4693,0.0
STK_CHG,O4699,0.0
STK_CHG,G3000,-464.531
STK_CHG,RA000,28.009
STK_CHG,RA100,0.0
STK_CHG,RA500,0.0
STK_CHG,RA300,0.0
STK_CHG,RA420,0.0
STK_CHG,RA410,0.0
STK_CHG,RA200,0.0
STK_CHG,R5110-5150_W6000RI,0.0
STK_CHG,R5160,0.0
STK_CHG,R5300,0.0
STK_CHG,W6210,0.0
STK_CHG,R5210P,0.0
STK_CHG,R5210B,0.0
STK_CHG,R5220P,28.009
STK_CHG,R5220B,0.0
STK_CHG,R5230P,0.0
STK_CHG,R5230B,0.0
STK_CHG,R5290,0.0
STK_CHG,RA600,0.0
STK_CHG,W6100_6220,0.0
STK_CHG,W6100,0.0
STK_CHG,W6220,0.0
STK_CHG,N900H,0.0
STK_CHG,H8000,0.0
STK_CHG,E7000,0.0
STK_CHG,FE,2127.242
STK_CHG,BIOE,28.009
GAE,TOTAL,132533.052
GAE,C0000X0350-0370,0.0
GAE,C0110,0.0
GAE,C0121,0.0
GAE,C0129,0.0
GAE,C0210,0.0
GAE,C0220,0.0
GAE,C0320,0.0
GAE,C0311,0.0
GAE,C0312,0.0
GAE,C0340,0.0
GAE,C0330,0.0
GAE,C0350-0370,0.0
GAE,C0360,0.0
GAE,C0350,0.0
GAE,C0371,0.0
GAE,C0379,0.0
GAE,P1000,0.0
GAE,P1100,0.0
GAE,P1200,0.0
GAE,S2000,0.0
GAE,O4000XBIO,115295.157
GAE,O4100_TOT,0.0
GAE,O4200,0.0
GAE,O4300,0.0
GAE,O4400X4410,0.0
GAE,O4500,0.0
GAE,O4610,0.0
GAE,O4620,0.0
GAE,O4630,1227.74
GAE,O4652XR5210B,3572.053
GAE,O4651,2.156
GAE,O4653,0.0
GAE,O4661XR5230B,6924.462
GAE,O4669,27.845
GAE,O4640,0.0
GAE,O4671XR5220B,24174.514
GAE,O4680,78715.96
GAE,O4691,0.0
GAE,O4692,213.822
GAE,O4695,436.605
GAE,O4694,0.0
GAE,O4693,0.0
GAE,O4699,0.0
GAE,G3000,12820.169
GAE,RA000,2127.028
GAE,RA100,0.0
GAE,RA500,0.0
GAE,RA300,0.209
GAE,RA420,761.76
GAE,RA410,212.499
GAE,RA200,0.0
GAE,R5110-5150_W6000RI,70.092
GAE,R5160,0.0
GAE,R5300,68.689
GAE,W6210,0.0
GAE,R5210P,0.0
GAE,R5210B,0.0
GAE,R5220P,464.116
GAE,R5220B,0.0
GAE,R5230P,0.0
GAE,R5230B,0.0
GAE,R5290,0.0
GAE,RA600,549.663
GAE,W6100_6220,0.0
GAE,W6100,0.0
GAE,W6220,0.0
GAE,N900H,0.0
GAE,H8000,0.0
GAE,E7000,2290.698
GAE,FE,130165.419
GAE,BIOE,609.96
INTMARB,TOTAL,94720.418
INTMARB,C0000X0350-0370,0.0
INTMARB,C0110,0.0
INTMARB,C0121,0.0
INTMARB,C0129,0.0
INTMARB,C0210,0.0
INTMARB,C0220,0.0
INTMARB,C0320,0.0
INTMARB,C0311,0.0
INTMARB,C0312,0.0
INTMARB,C0340,0.0
INTMARB,C0330,0.0
INTMARB,C0350-0370,0.0
INTMARB,C0360,0.0
INTMARB,C0350,0.0
INTMARB,C0371,0.0
INTMARB,C0379,0.0
INTMARB,P1000,0.0
INTMARB,P1100,0.0
INTMARB,P1200,0.0
INTMARB,S2000,0.0
INTMARB,O4000XBIO,94720.418
INTMARB,O4100_TOT,0.0
INTMARB,O4200,0.0
INTMARB,O4300,0.0
INTMARB,O4400X4410,0.0
INTMARB,O4500,0.0
INTMARB,O4610,0.0
INTMARB,O4620,0.0
INTMARB,O4630,0.0
INTMARB,O4652XR5210B,0.0
INTMARB,O4651,0.0
INTMARB,O4653,0.0
INTMARB,O4661XR5230B,0.0
INTMARB,O4669,0.0
INTMARB,O4640,0.0
INTMARB,O4671XR5220B,16247.378
INTMARB,O4680,78473.04
INTMARB,O4691,0.0
INTMARB,O4692,0.0
INTMARB,O4695,0.0
INTMARB,O4694,0.0
INTMARB,O4693,0.0
INTMARB,O4699,0.0
INTMARB,G3000,0.0
INTMARB,RA000,0.0
INTMARB,RA100,0.0
INTMARB,RA500,0.0
INTMARB,RA300,0.0
INTMARB,RA420,0.0
INTMARB,RA410,0.0
INTMARB,RA200,0.0
INTMARB,R5110-5150_W6000RI,0.0
INTMARB,R5160,0.0
INTMARB,R5300,0.0
INTMARB,W6210,0.0
INTMARB,R5210P,0.0
INTMARB,R5210B,0.0
INTMARB,R5220P,0.0
INTMARB,R5220B,0.0
INTMARB,R5230P,0.0
INTMARB,R5230B,0.0
INTMARB,R5290,0.0
INTMARB,RA600,0.0
INTMARB,W6100_6220,0.0
INTMARB,W6100,0.0
INTMARB,W6220,0.0
INTMARB,N900H,0.0
INTMARB,H8000,0.0
INTMARB,E7000,0.0
INTMARB,FE,94720.418
INTMARB,BIOE,0.0
GIC,TOTAL,37812.634
GIC,C0000X0350-0370,0.0
GIC,C0110,0.0
GIC,C0121,0.0
GIC,C0129,0.0
GIC,C0210,0.0
GIC,C0220,0.0
GIC,C0320,0.0
GIC,C0311,0.0
GIC,C0312,0.0
GIC,C0340,0.0
GIC,C0330,0.0
GIC,C0350-0370,0.0
GIC,C0360,0.0
GIC,C0350,0.0
GIC,C0371,0.0
GIC,C0379,0.0
GIC,P1000,0.0
GIC,P1100,0.0
GIC,P1200,0.0
GIC,S2000,0.0
GIC,O4000XBIO,20574.739
GIC,O4100_TOT,0.0
GIC,O4200,0.0
GIC,O4300,0.0
GIC,O4400X4410,0.0
GIC,O4500,0.0
GIC,O4610,0.0
GIC,O4620,0.0
GIC,O4630,1227.74
GIC,O4652XR5210B,3572.053
GIC,O4651,2.156
GIC,O4653,0.0
GIC,O4661XR5230B,6924.462
GIC,O4669,27.845
GIC,O4640,0.0
GIC,O4671XR5220B,7927.136
GIC,O4680,242.92
GIC,O4691,0.0
GIC,O4692,213.822
GIC,O4695,436.605
GIC,O4694,0.0
GIC,O4693,0.0
GIC,O4699,0.0
GIC,G3000,12820.169
GIC,RA000,2127.028
GIC,RA100,0.0
GIC,RA500,0.0
GIC,RA300,0.209
GIC,RA420,761.76
GIC,RA410,212.499
GIC,RA200,0.0
GIC,R5110-5150_W6000RI,70.092
GIC,R5160,0.0
GIC,R5300,68.689
GIC,W6210,0.0
GIC,R5210P,0.0
GIC,R5210B,0.0
GIC,R5220P,464.116
GIC,R5220B,0.0
GIC,R5230P,0.0
GIC,R5230B,0.0
GIC,R5290,0.0
GIC,RA600,549.663
GIC,W6100_6220,0.0
GIC,W6100,0.0
GIC,W6220,0.0
GIC,N900H,0.0
GIC,H8000,0.0
GIC,E7000,2290.698
GIC,FE,35445.001
GIC,BIOE,609.96
INTAVI,TOTAL,6900.66
INTAVI,C0000X0350-0370,0.0
INTAVI,C0110,0.0
INTAVI,C0121,0.0
INTAVI,C0129,0.0
INTAVI,C0210,0.0
INTAVI,C0220,0.0
INTAVI,C0320,0.0
INTAVI,C0311,0.0
INTAVI,C0312,0.0
INTAVI,C0340,0.0
INTAVI,C0330,0.0
INTAVI,C0350-0370,0.0
INTAVI,C0360,0.0
INTAVI,C0350,0.0
INTAVI,C0371,0.0
INTAVI,C0379,0.0
INTAVI,P1000,0.0
INTAVI,P1100,0.0
INTAVI,P1200,0.0
INTAVI,S2000,0.0
INTAVI,O4000XBIO,6900.66
INTAVI,O4100_TOT,0.0
INTAVI,O4200,0.0
INTAVI,O4300,0.0
INTAVI,O4400X4410,0.0
INTAVI,O4500,0.0
INTAVI,O4610,0.0
INTAVI,O4620,0.0
INTAVI,O4630,0.0
INTAVI,O4652XR5210B,0.0
INTAVI,O4651,0.88
INTAVI,O4653,0.0
INTAVI,O4661XR5230B,6899.78
INTAVI,O4669,0.0
INTAVI,O4640,0.0
INTAVI,O4671XR5220B,0.0
INTAVI,O4680,0.0
INTAVI,O4691,0.0
INTAVI,O4692,0.0
INTAVI,O4695,0.0
INTAVI,O4694,0.0
INTAVI,O4693,0.0
INTAVI,O4699,0.0
INTAVI,G3000,0.0
INTAVI,RA000,0.0
INTAVI,RA100,0.0
INTAVI,RA500,0.0
INTAVI,RA300,0.0
INTAVI,RA420,0.0
INTAVI,RA410,0.0
INTAVI,RA200,0.0
INTAVI,R5110-5150_W6000RI,0.0
INTAVI,R5160,0.0
INTAVI,R5300,0.0
INTAVI,W6210,0.0
INTAVI,R5210P,0.0
INTAVI,R5210B,0.0
INTAVI,R5220P,0.0
INTAVI,R5220B,0.0
INTAVI,R5230P,0.0
INTAVI,R5230B,0.0
INTAVI,R5290,0.0
INTAVI,RA600,0.0
INTAVI,W6100_6220,0.0
INTAVI,W6100,0.0
INTAVI,W6220,0.0
INTAVI,N900H,0.0
INTAVI,H8000,0.0
INTAVI,E7000,0.0
INTAVI,FE,6900.66
INTAVI,BIOE,0.0
NRGSUP,TOTAL,30911.974
NRGSUP,C0000X0350-0370,0.0
NRGSUP,C0110,0.0
NRGSUP,C0121,0.0
NRGSUP,C0129,0.0
NRGSUP,C0210,0.0
NRGSUP,C0220,0.0
NRGSUP,C0320,0.0
NRGSUP,C0311,0.0
NRGSUP,C0312,0.0
NRGSUP,C0340,0.0
NRGSUP,C0330,0.0
NRGSUP,C0350-0370,0.0
NRGSUP,C0360,0.0
NRGSUP,C0350,0.0
NRGSUP,C0371,0.0
NRGSUP,C0379,0.0
NRGSUP,P1000,0.0
NRGSUP,P1100,0.0
NRGSUP,P1200,0.0
