geo_id,buildings_final_demand_network_gas_buildings_final_demand_for_space_heating_network_gas_parent_share,buildings_final_demand_network_gas_buildings_final_demand_for_appliances_network_gas_parent_share
GM1641,1.0,0.0
GM1651,1.0,0.0
GM1652,1.0,0.0
GM1655,1.0,0.0
GM1658,1.0,0.0
GM1659,1.0,0.0
GM1663,1.0,0.0
GM1667,1.0,0.0
GM1669,1.0,0.0
GM1674,1.0,0.0
GM1676,1.0,0.0
GM1680,1.0,0.0
GM1681,1.0,0.0
GM1684,1.0,0.0
GM1685,1.0,0.0
GM1690,1.0,0.0
GM1695,1.0,0.0
GM1696,1.0,0.0
GM1699,1.0,0.0
GM1700,1.0,0.0
GM1701,1.0,0.0
GM1702,1.0,0.0
GM1705,1.0,0.0
GM1706,1.0,0.0
GM1708,1.0,0.0
GM1709,1.0,0.0
GM1711,1.0,0.0
GM1714,1.0,0.0
GM1719,1.0,0.0
GM1721,1.0,0.0
GM1722,1.0,0.0
GM1723,1.0,0.0
GM1724,1.0,0.0
GM1728,1.0,0.0
GM1729,1.0,0.0
GM1730,1.0,0.0
GM1731,1.0,0.0
GM1734,1.0,0.0
GM1735,1.0,0.0
GM1740,1.0,0.0
GM1742,1.0,0.0
GM1771,1.0,0.0
GM1773,1.0,0.0
GM1774,1.0,0.0
GM1783,1.0,0.0
GM1842,1.0,0.0
GM1859,1.0,0.0
GM1876,1.0,0.0
GM1883,1.0,0.0
GM1884,1.0,0.0
GM1891,1.0,0.0
GM1892,1.0,0.0
GM1894,1.0,0.0
GM1895,1.0,0.0
GM1896,1.0,0.0
GM1900,1.0,0.0
GM1901,1.0,0.0
GM1903,1.0,0.0
GM1904,1.0,0.0
GM1911,1.0,0.0
GM1916,1.0,0.0
GM1924,1.0,0.0
GM1926,1.0,0.0
GM1927,1.0,0.0
GM1930,1.0,0.0
GM1931,1.0,0.0
GM1940,1.0,0.0
GM1942,1.0,0.0
GM1945,1.0,0.0
GM1948,1.0,0.0
GM1949,1.0,0.0
GM1950,1.0,0.0
GM1952,1.0,0.0
GM1955,1.0,0.0
GM1960,1.0,0.0
GM1961,1.0,0.0
