geo_id,input_households_final_demand_steam_hot_water_demand
GM0317,0
GM0770,0
GM1903,0
GM0772,257
GM0230,0
GM0114,8
GM0388,0
GM0153,447
GM0232,0
GM0233,0
GM0777,0
GM1940,0
GM0779,27
GM1771,0
GM1652,0
GM0907,0
GM0784,0
GM1924,0
GM0664,3
GM0785,2
GM1942,1
GM0512,0
GM0513,0
GM0786,6
GM0518,793
GM0014,58
GM1729,0
GM0158,0
GM0392,17
GM0394,0
GM1655,0
GM0160,0
GM0243,2
GM0523,0
GM0072,0
GM0244,0
GM0396,0
GM0397,0
GM0246,0
GM0074,0
GM0398,77
GM0917,56
GM1658,0
GM0399,0
GM0400,0
GM0163,0
GM0530,0
GM0794,243
GM0531,2
GM0164,28
GM0796,46
GM0252,0
GM0797,0
GM0534,0
GM0798,0
GM0402,18
GM1963,8
GM1735,0
GM1966,0
GM1911,0
GM0118,3
GM0405,0
GM1507,0
GM0321,115
GM0406,0
GM0677,6
GM0353,0
GM1884,0
GM0166,0
GM0678,0
GM0537,2
GM0928,0
GM1598,0
GM0542,0
GM1931,0
GM1659,6
GM1685,0
GM0882,0
GM0415,0
GM0416,53
GM1621,40
GM0417,0
GM0080,67
GM0546,413
GM0547,33
GM1916,0
GM0995,196
GM1640,0
GM0327,0
GM1705,0
GM0553,0
GM0262,0
GM0809,0
GM0331,0
GM0168,0
GM0263,0
GM1641,0
GM0556,0
GM0935,53
GM0420,0
GM0938,1
GM1948,0
GM0119,6
GM0687,1
GM1842,9
GM1731,0
GM1952,0
GM0815,0
GM1709,0
GM1978,0
GM1955,1
GM0335,0
GM0944,0
GM1740,0
GM0946,0
GM0356,561
GM0569,2
GM0267,0
GM0268,232
GM1930,3
GM1970,0
GM1695,0
GM1699,0
GM0171,0
GM0575,0
GM0820,0
GM0302,0
GM0579,44
GM0823,0
GM0824,0
GM1895,8
GM0269,0
GM0173,1
GM1773,2
GM0175,0
GM1586,0
GM0826,36
GM0085,0
GM0431,0
GM0432,0
GM0086,0
GM0828,3
GM1509,2
GM0437,0
GM0589,0
GM1734,0
GM0590,37
GM1894,0
GM0765,0
GM1926,82
GM0439,862
GM0273,4
GM0177,0
GM0703,1
GM0274,0
GM0339,0
GM1667,0
GM0275,0
GM0340,0
GM0597,0
GM1742,2
GM0603,1
GM1669,0
GM0957,0
GM0736,0
GM1674,11
GM0599,1692
GM0277,0
GM0840,0
GM0441,1
GM0279,0
GM0606,0
GM0088,0
GM1676,0
GM0965,0
GM1702,0
GM0845,0
GM1883,42
GM0610,2
GM1714,0
GM0090,3
GM0342,2
GM0847,0
GM0848,0
GM0037,8
GM0180,1
GM0532,0
GM0851,1
GM1708,1
GM0971,0
GM1904,1
GM1900,1
GM0715,0
GM0093,0
GM0448,0
GM1525,0
GM0716,0
GM0281,0
GM0855,967
GM0183,0
GM1700,0
GM1730,0
GM0737,1
GM0856,0
GM0450,0
GM0451,0
GM0184,0
GM0344,1479
GM1581,2
GM0981,0
GM0994,0
GM0858,0
GM0047,0
GM0345,35
GM0717,0
GM0861,0
GM0453,4
GM0983,22
GM0984,0
GM1961,0
GM0622,0
GM0096,1
GM0718,14
GM0986,0
GM0626,2
GM0285,0
GM0865,1
GM1949,0
GM0866,0
GM0867,0
GM0627,2
GM0289,25
GM0629,0
GM0852,0
GM0988,0
GM0457,0
GM1960,0
GM0668,0
GM1969,7
GM1701,0
GM0293,120
GM1950,0
GM1783,4
GM0098,0
GM0614,0
GM0189,0
GM0296,4
GM1696,6
GM0352,0
GM0294,0
GM0873,0
GM0632,5
GM1690,0
GM0880,0
GM0351,0
GM0479,45
GM0297,3
GM0473,19
GM0050,53
GM0355,2
GM0299,22
GM0637,65
GM0638,0
GM1892,0
GM0879,0
GM0301,0
GM1896,0
GM0642,0
GM0193,0
GM1979,0
