geo_id,annual_infrastructure_cost_gas
AT,409138170.3
BEBU4402101,204542.6384
BEGM11002,29099857.79
BEGM13040,3305281.159
BEGM35013,3478521.825
BE,883445728.1
BG,99450222.92
BU00090000,192232.7269
BU00090001,23312.39938
BU00090002,23126.10133
BU00090003,6419.626013
BU00090005,3900.131929
BU00090009,26532.48474
BU00090100,37187.08611
BU00090101,5137.704926
BU00090102,16412.62428
BU00090104,3758.214483
BU00090106,2614.938058
BU00090109,8053.497063
BU00140000,506302.4846
BU00140001,585429.1368
BU00140002,210292.9962
BU00140003,105777.8527
BU00140004,186.8476308
BU00140005,328471.9056
BU00140007,436304.3965
BU00140008,75504.96762
BU00140100,53075.02417
BU00140101,263692.5944
BU00140102,85574.46061
BU00140103,225399.3988
BU00140104,98483.44897
BU00140105,39295.4862
BU00140106,153199.6404
BU00140107,62369.66905
BU00140108,16236.90395
BU00140109,105952.4215
BU00140200,113148.9219
BU00140201,192753.899
BU00140202,270783.1756
BU00140203,120873.9797
BU00140300,142995.6885
BU00140301,341251.3303
BU00140302,279572.5802
BU00140400,235640.6074
BU00140401,102676.3907
BU00140402,119194.4384
BU00140403,48193.42923
BU00140404,54305.92391
BU00140500,29580.30007
BU00140501,77801.29767
BU00140502,89467.23496
BU00140503,20813.42789
BU00140504,158.1747055
BU00140505,17362.94638
BU00140506,32220.75734
BU00140507,17957.74743
BU00140508,4865.42303
BU00140509,479.2911711
BU00140510,1725.512658
BU00140511,68.88933298
BU00140600,139516.3444
BU00140601,199995.1246
BU00140602,32502.14316
BU00140603,87770.03259
BU00140604,363046.2136
BU00140605,228668.3248
BU00140606,159267.9613
BU00140700,271511.7617
BU00140701,207889.4845
BU00140702,35728.3452
BU00140703,184357.554
BU00140704,46235.40836
BU00140705,68.88933037
BU00140800,90007.50738
BU00140801,210176.3611
BU00140802,635.9819068
BU00140803,7299.558394
BU00140804,2142.322171
BU00140805,11992.16031
BU00140806,57859.05313
BU00140807,4735.884014
BU00140808,46989.96927
BU00140809,10837.40431
BU00140810,48526.45112
BU00140811,37410.63014
BU00140812,4717.167764
BU00140900,202219.5079
BU00140901,220048.8757
BU00140902,71284.68724
BU00140903,81295.94632
BU00140904,107929.6887
BU00140905,5034.328512
BU00140906,72896.97998
BU00140907,1068.72389
BU00141000,238163.9548
BU00141001,186646.9477
BU00141002,278157.9387
BU00141003,91275.90874
BU00141004,6317.82388
BU00141005,62124.26728
BU00141100,231452.6766
BU00141101,214493.1381
BU00141102,82880.56261
BU00141103,22165.25346
BU00141104,16707.15725
BU00141105,7674.456871
BU00141106,7573.297114
BU00141107,68.88933564
BU00141200,149932.2579
BU00141201,122810.7992
BU00141202,79203.8646
BU00141203,119560.8283
BU00141204,97658.78736
BU00141205,5565.726241
BU00141206,7301.448409
