geo_id,bunkers_total_useful_demand_ships_demand,bunkers_total_useful_demand_planes_demand
GM1680,491955.99,166290.19
GM0358,491955.99,166290.19
GM0197,491955.99,166290.19
GM0059,491955.99,166290.19
GM0482,491955.99,166290.19
GM0613,491955.99,166290.19
GM0361,491955.99,166290.19
GM0141,491955.99,166290.19
GM0034,491955.99,166290.19
GM0484,491955.99,166290.19
GM1723,491955.99,166290.19
GM1959,491955.99,166290.19
GM0060,491955.99,166290.19
GM0307,491955.99,166290.19
GM0362,491955.99,166290.19
GM0363,491955.99,166290.19
GM0200,491955.99,166290.19
GM0202,491955.99,166290.19
GM0106,491955.99,166290.19
GM0743,491955.99,166290.19
GM0744,491955.99,166290.19
GM0308,491955.99,166290.19
GM0489,491955.99,166290.19
GM0203,491955.99,166290.19
GM0888,491955.99,166290.19
GM1954,491955.99,166290.19
GM0370,491955.99,166290.19
GM0889,491955.99,166290.19
GM1945,491955.99,166290.19
GM1724,491955.99,166290.19
GM0893,491955.99,166290.19
GM0373,491955.99,166290.19
GM0748,491955.99,166290.19
GM1859,491955.99,166290.19
GM1721,491955.99,166290.19
GM0753,491955.99,166290.19
GM0209,491955.99,166290.19
GM0375,491955.99,166290.19
GM0310,491955.99,166290.19
GM1728,491955.99,166290.19
GM0376,491955.99,166290.19
GM0377,491955.99,166290.19
GM1901,491955.99,166290.19
GM0755,491955.99,166290.19
GM1681,491955.99,166290.19
GM0147,491955.99,166290.19
GM0654,491955.99,166290.19
GM0756,491955.99,166290.19
GM0757,491955.99,166290.19
GM0758,491955.99,166290.19
GM0501,491955.99,166290.19
GM1876,491955.99,166290.19
GM0213,491955.99,166290.19
GM0899,491955.99,166290.19
GM0312,491955.99,166290.19
GM0313,491955.99,166290.19
GM0214,491955.99,166290.19
GM0502,491955.99,166290.19
GM0383,491955.99,166290.19
GM0109,491955.99,166290.19
GM1706,491955.99,166290.19
GM1684,491955.99,166290.19
GM0216,491955.99,166290.19
GM0148,491955.99,166290.19
GM1891,491955.99,166290.19
GM0503,491955.99,166290.19
GM0762,491955.99,166290.19
GM0150,491955.99,166290.19
GM0384,491955.99,166290.19
GM1774,491955.99,166290.19
GM0221,491955.99,166290.19
GM0222,491955.99,166290.19
GM0766,491955.99,166290.19
GM0505,491955.99,166290.19
GM0498,491955.99,166290.19
GM1719,491955.99,166290.19
GM0303,491955.99,166290.19
GM0225,491955.99,166290.19
GM0226,491955.99,166290.19
GM1711,491955.99,166290.19
GM0385,491955.99,166290.19
GM0228,491955.99,166290.19
GM0317,491955.99,166290.19
GM0770,491955.99,166290.19
GM1903,491955.99,166290.19
GM0772,491955.99,166290.19
GM0230,491955.99,166290.19
GM0114,491955.99,166290.19
GM0388,491955.99,166290.19
GM0153,491955.99,166290.19
GM0232,491955.99,166290.19
GM0233,491955.99,166290.19
GM0777,491955.99,166290.19
GM1940,491955.99,166290.19
GM0779,491955.99,166290.19
GM1771,491955.99,166290.19
GM1652,491955.99,166290.19
GM0907,491955.99,166290.19
GM0784,491955.99,166290.19
GM1924,491955.99,166290.19
GM0664,491955.99,166290.19
GM0785,491955.99,166290.19
GM1942,491955.99,166290.19
GM0512,491955.99,166290.19
GM0513,491955.99,166290.19
GM0786,491955.99,166290.19
GM0518,491955.99,166290.19
GM0014,491955.99,166290.19
GM1729,491955.99,166290.19
GM0158,491955.99,166290.19
GM0392,491955.99,166290.19
GM0394,491955.99,166290.19
GM1655,491955.99,166290.19
GM0160,491955.99,166290.19
GM0243,491955.99,166290.19
GM0523,491955.99,166290.19
GM0072,491955.99,166290.19
GM0244,491955.99,166290.19
GM0396,491955.99,166290.19
GM0397,491955.99,166290.19
GM0246,491955.99,166290.19
GM0074,491955.99,166290.19
GM0398,491955.99,166290.19
GM0917,491955.99,166290.19
GM1658,491955.99,166290.19
GM0399,491955.99,166290.19
GM0400,491955.99,166290.19
GM0163,491955.99,166290.19
GM0530,491955.99,166290.19
GM0794,491955.99,166290.19
GM0531,491955.99,166290.19
GM0164,491955.99,166290.19
GM0796,491955.99,166290.19
GM0252,491955.99,166290.19
GM0797,491955.99,166290.19
