geo_id,has_merit_order,has_mountains,has_offshore_solar,has_solar_csp,has_weather_curves
BEGM35013,TRUE,TRUE,FALSE,TRUE,FALSE
UKNI01,TRUE,TRUE,FALSE,TRUE,FALSE
BEGM13040,TRUE,TRUE,FALSE,TRUE,FALSE
SK,TRUE,TRUE,FALSE,TRUE,FALSE
AT,TRUE,TRUE,FALSE,TRUE,FALSE
BE,TRUE,TRUE,FALSE,TRUE,FALSE
BG,TRUE,TRUE,FALSE,TRUE,FALSE
CY,TRUE,TRUE,FALSE,TRUE,FALSE
CZ,TRUE,TRUE,FALSE,TRUE,FALSE
DE,TRUE,TRUE,FALSE,TRUE,FALSE
DK,TRUE,TRUE,FALSE,TRUE,FALSE
ES,TRUE,TRUE,FALSE,TRUE,FALSE
EE,TRUE,TRUE,FALSE,TRUE,FALSE
FI,TRUE,TRUE,FALSE,TRUE,FALSE
FR,TRUE,TRUE,FALSE,TRUE,FALSE
UK,TRUE,TRUE,FALSE,TRUE,FALSE
EL,TRUE,TRUE,FALSE,TRUE,FALSE
HR,TRUE,TRUE,FALSE,TRUE,FALSE
HU,TRUE,TRUE,FALSE,TRUE,FALSE
IE,TRUE,TRUE,FALSE,TRUE,FALSE
IT,TRUE,TRUE,FALSE,TRUE,FALSE
LT,TRUE,TRUE,FALSE,TRUE,FALSE
LU,TRUE,TRUE,FALSE,TRUE,FALSE
LV,TRUE,TRUE,FALSE,TRUE,FALSE
PL,TRUE,TRUE,FALSE,TRUE,FALSE
PT,TRUE,TRUE,FALSE,TRUE,FALSE
RO,TRUE,TRUE,FALSE,TRUE,FALSE
SE,TRUE,TRUE,FALSE,TRUE,FALSE
SI,TRUE,TRUE,FALSE,TRUE,FALSE
MT,TRUE,TRUE,FALSE,TRUE,FALSE
GB,TRUE,TRUE,FALSE,TRUE,FALSE
CH,TRUE,TRUE,FALSE,TRUE,FALSE
NO,TRUE,TRUE,FALSE,TRUE,FALSE
RS,TRUE,TRUE,FALSE,TRUE,FALSE
EU27,TRUE,TRUE,FALSE,TRUE,FALSE
SG,TRUE,TRUE,FALSE,TRUE,FALSE
VUNH5,TRUE,TRUE,FALSE,TRUE,FALSE
BEGM11002,TRUE,TRUE,FALSE,TRUE,FALSE
