geo_id,input_industry_chemical_other_coal_demand,input_industry_chemical_other_crude_oil_demand,input_industry_chemical_other_coal_non_energetic_demand,input_industry_chemical_other_crude_oil_non_energetic_demand,input_industry_chemical_other_wood_pellets_non_energetic_demand,input_industry_chemical_other_network_gas_non_energetic_demand,input_industry_food_crude_oil_demand,input_industry_food_coal_demand,input_industry_metal_other_coal_demand,input_industry_metal_other_crude_oil_demand,input_industry_other_coal_demand,input_industry_other_crude_oil_demand,input_industry_other_coal_non_energetic_demand,input_industry_other_crude_oil_non_energetic_demand,input_industry_other_wood_pellets_non_energetic_demand,input_industry_other_network_gas_non_energetic_demand,input_industry_paper_coal_demand,input_industry_paper_crude_oil_demand
GM0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
