geo_id,input_solar_pv_on_roof_households_full_load_hours,input_solar_pv_on_roof_buildings_full_load_hours,input_solar_pv_on_land_full_load_hours,input_solar_csp_full_load_hours
GM0014,900,900,950,950
GM0034,900,900,950,950
GM0037,900,900,950,950
GM0047,900,900,950,950
GM0050,900,900,950,950
GM0059,900,900,950,950
GM0060,900,900,950,950
GM0072,900,900,950,950
GM0074,900,900,950,950
GM0080,900,900,950,950
GM0085,900,900,950,950
GM0086,900,900,950,950
GM0088,900,900,950,950
GM0090,900,900,950,950
GM0093,900,900,950,950
GM0096,900,900,950,950
GM0098,900,900,950,950
GM0106,900,900,950,950
GM0109,900,900,950,950
GM0114,900,900,950,950
GM0118,900,900,950,950
GM0119,900,900,950,950
GM0141,900,900,950,950
GM0147,900,900,950,950
GM0148,900,900,950,950
GM0150,900,900,950,950
GM0153,900,900,950,950
GM0158,900,900,950,950
GM0160,900,900,950,950
GM0163,900,900,950,950
GM0164,900,900,950,950
GM0166,900,900,950,950
GM0168,900,900,950,950
GM0171,900,900,950,950
GM0173,900,900,950,950
GM0175,900,900,950,950
GM0177,900,900,950,950
GM0180,900,900,950,950
GM0183,900,900,950,950
GM0184,900,900,950,950
GM0189,900,900,950,950
GM0193,900,900,950,950
GM0197,900,900,950,950
GM0200,900,900,950,950
GM0202,900,900,950,950
GM0203,900,900,950,950
GM0209,900,900,950,950
GM0213,900,900,950,950
GM0214,900,900,950,950
GM0216,900,900,950,950
GM0221,900,900,950,950
GM0222,900,900,950,950
GM0225,900,900,950,950
GM0226,900,900,950,950
GM0228,900,900,950,950
GM0230,900,900,950,950
GM0232,900,900,950,950
GM0233,900,900,950,950
GM0243,900,900,950,950
GM0244,900,900,950,950
GM0246,900,900,950,950
GM0252,900,900,950,950
GM0262,900,900,950,950
GM0263,900,900,950,950
GM0267,900,900,950,950
GM0268,900,900,950,950
GM0269,900,900,950,950
GM0273,900,900,950,950
GM0274,900,900,950,950
GM0275,900,900,950,950
GM0277,900,900,950,950
GM0279,900,900,950,950
GM0281,900,900,950,950
GM0285,900,900,950,950
GM0289,900,900,950,950
GM0293,900,900,950,950
GM0294,900,900,950,950
GM0296,900,900,950,950
GM0297,900,900,950,950
GM0299,900,900,950,950
GM0301,900,900,950,950
GM0302,900,900,950,950
GM0303,900,900,950,950
GM0307,900,900,950,950
GM0308,900,900,950,950
GM0310,900,900,950,950
GM0312,900,900,950,950
GM0313,900,900,950,950
GM0317,900,900,950,950
GM0321,900,900,950,950
GM0327,900,900,950,950
GM0331,900,900,950,950
GM0335,900,900,950,950
GM0339,900,900,950,950
GM0340,900,900,950,950
GM0342,900,900,950,950
GM0344,900,900,950,950
GM0345,900,900,950,950
GM0351,900,900,950,950
GM0352,900,900,950,950
GM0353,900,900,950,950
GM0355,900,900,950,950
GM0356,900,900,950,950
GM0358,900,900,950,950
GM0361,900,900,950,950
GM0362,900,900,950,950
GM0363,900,900,950,950
GM0373,900,900,950,950
GM0375,900,900,950,950
GM0376,900,900,950,950
GM0377,900,900,950,950
GM0383,900,900,950,950
GM0384,900,900,950,950
GM0385,900,900,950,950
GM0388,900,900,950,950
GM0392,900,900,950,950
GM0394,900,900,950,950
GM0396,900,900,950,950
GM0397,900,900,950,950
GM0399,900,900,950,950
GM0400,900,900,950,950
GM0402,900,900,950,950
