geo_id,lv_net_total_costs_present,mv_net_total_costs_present,hv_net_total_costs_present,lv_mv_trafo_total_costs_present,mv_hv_trafo_total_costs_present,households_final_demand_electricity_demand,input_buildings_electricity_demand,buildings_final_demand_network_gas_demand,agriculture_final_demand_electricity_demand,agriculture_final_demand_network_gas_demand,input_energy_chp_local_engine_network_gas_production,agriculture_final_demand_steam_hot_water_demand,input_industry_ict_electricity_demand,input_industry_chemical_other_electricity_demand,input_industry_food_electricity_demand,input_industry_metal_other_electricity_demand,input_industry_paper_electricity_demand,input_industry_other_electricity_demand,input_industry_chemical_other_network_gas_demand,input_industry_food_network_gas_demand,input_industry_metal_other_network_gas_demand,input_industry_paper_network_gas_demand,input_industry_other_network_gas_demand,energy_power_sector_own_use_electricity_demand,energy_power_hv_network_loss_demand,energy_distribution_greengas_demand
GM0385,1237811.205,1063744.004,625094.6585,440970.2417,371343.3614,174.8481834,169.9979259,214.1389,16.16803824,0.8272044,2.73283824,3.4160478,4.734,1.542096,99.0025632,0,7.8646896,63.4346512,0.6693975,42.9753195,0,3.41392725,38.14315575,0,33.48902073,6.617810026
GM0388,1049148.53,901612.0183,529820.0079,373759.164,314744.5591,81.93061649,123.6513957,103.1157,164.9247782,144.6764544,58.80397824,73.5049728,3.1464,30.1906656,51.5095128,0,0,53.5830216,15.5076138,26.45816565,0,0,31.23212055,0,28.3847462,5.077457693
GM1942,1546113.624,1328691.395,780787.3801,550802.9785,463834.0871,275.1446913,275.9263543,419.9322,6.2418861,5.96333475,0.6150861,0.768857625,13.1256,37.7457801,5.6442288,0.8567133,0,14.0237778,84.19670035,12.5901608,1.91100655,0,23.2588823,2.4516,41.83015229,12.05024603
GM0392,4769484.438,4098775.689,2408589.641,1699128.831,1430845.331,627.8940188,645.0213971,1145.097,6.98755536,0.2818116,3.91315536,4.8914442,397.7388,33.1057824,82.764456,0,5.6628312,144.5477304,41.396934,103.492335,0,7.0810545,165.8906265,18.4824,129.0385501,27.49814166
GM0394,16517187.06,14194457.63,8341179.467,5884247.891,4955156.118,673.8185617,3580.31451,1969.16805,1138.708195,103.8559619,742.2761953,927.8452441,1767.9924,35.5858524,105.4197432,0,0.5351256,242.5000788,22.5205575,66.715035,0,0.338655,136.7112525,4.7772,446.8730108,42.0522526
GM0396,885794.2637,761229.4453,447326.1032,315564.2064,265738.2791,164.684183,113.8245928,137.8041,122.429785,14.2217376,42.52058496,454.1507312,3.5316,0.503532,2.843892,0,0,10.481776,0.4674072,2.6398632,0,0,12.1796796,0.9648,23.96519142,5.901514497
GM0397,556784.9657,478487.0799,281176.4077,198354.644,167035.4897,129.2792757,75.93591252,165.75105,8.45745522,1.10721195,1.69665522,2.120819025,4.518,0.314496,0.87696,0,0,6.106544,0.4871568,1.358418,0,0,9.0545252,0,15.0638346,5.166202271
GM0398,1831408.4,1573866.593,924861.2419,652439.2424,549422.5199,241.1337101,263.5968319,260.0997,418.7367169,75.63175785,317.4795169,396.8493961,11.106,23.437782,47.577294,0,0,86.394924,42.9820926,87.2510742,0,0,164.3365832,0.8388,49.54881134,13.98994897
GM0399,561386.4944,482441.5186,283500.1797,199993.9386,168415.9483,107.5204886,98.96657945,109.73055,9.42870318,0.02459205,3.26910318,4.086378975,7.3152,0.2489544,2.0231928,0,0,9.0310528,0.19550205,1.58879835,0,0,13.2177996,0,15.1883291,3.980828253
GM0400,2491727.76,2141328.544,1258322.519,887678.0145,747518.3279,236.330446,601.8859257,589.9929,56.976221,19.8809475,23.233421,29.04177625,17.9064,3.7364328,2.9822904,0,0,168.1200768,4.5607017,3.6401931,0,0,24.8417052,0.5652,67.41377222,11.3529672
GM0402,2673488.141,2297528.871,1350111.511,952430.1504,802046.4424,384.2962127,251.7676939,857.99985,3.33525204,1.1775699,0.51645204,0.64556505,193.6872,50.7252528,11.7523584,0,0,48.8199888,22.8887736,5.3030208,0,0,32.3396556,2.2428,72.331305,17.71088239
GM1911,12927994.72,11109995.46,6528637.334,4605598.119,3878398.416,225.3696939,394.8896426,8762.763942,3331.2384,0,0,1122,11.0619,27.2287113,1238.10552,0,0,377.564589,3.378954,153.643026,0,0,55.25457,5.5332,349.7673002,62.93284091
GM0405,2038477.189,1751816.334,1029430.98,726207.4985,611543.1566,310.8820633,348.1349651,426.8952,8.05655268,0.0855183,4.85255268,6.06569085,13.4604,3.069792,76.04712,0,5.860512,78.566976,3.3575586,83.1758835,0,6.4098846,74.9445733,0.6768,55.15106388,11.51777856
GM0406,929508.7858,798796.6127,469401.9368,331137.5049,278852.6357,189.604628,141.0932914,192.27375,1.2132,1.29765,0,0,7.4736,1.4472,6.03,0,35.50464,19.20816,3.944223,16.4342625,0,96.7649376,22.9078269,0,25.14788917,7.264377672
GM1598,842079.7416,723662.2779,425250.2695,299990.9079,252623.9225,106.1153837,69.57446495,103.13005,372.5973357,17.40291075,250.8597357,313.5746696,4.5792,0.3968547,30.2691903,0,0,23.079255,1.0050139,76.6551511,0,0,21.047535,0.0972,22.78249366,8.050401086
GM0415,236978.7251,203653.5919,119674.2562,84423.67081,71093.61752,55.6324928,25.987091,38.9928,3.0996,3.2283,0,0,2.2608,0.6548256,11.0312928,0,0,2.9518816,2.6516724,44.6704812,0,0,6.4567464,0,6.411466794,2.041125315
GM0416,784560.6335,674231.7944,396203.1199,279499.7257,235368.1901,123.7445966,102.5775634,101.9763,20.17823958,0.41895105,5.23823958,6.547799475,4.2192,8.4163968,64.4112,0,0,19.9128032,26.5567554,203.240475,0,0,49.7119196,0.5076,21.2263124,5.324674734
