geo_id,agriculture_chp_wood_pellets_full_load_hours,agriculture_chp_engine_biogas_full_load_hours,agriculture_chp_engine_network_gas_dispatchable_full_load_hours
AT,6500.0,4200.0,3920.0
CZ,6500.0,4200.0,3920.0
HR,6500.0,4200.0,3920.0
HU,6500.0,4200.0,3920.0
LU,6500.0,4200.0,3920.0
SK,6500.0,4200.0,3920.0
SE,6500.0,4200.0,3920.0
UK,6500.0,4200.0,3920.0
FI,6500.0,4200.0,3920.0
EL,6500.0,4200.0,3920.0
IT,6500.0,4200.0,3920.0
ES,6500.0,4200.0,3920.0
FR,6500.0,4200.0,3920.0
IE,6500.0,4200.0,3920.0
DK,6500.0,4200.0,3920.0
DE,6500.0,4200.0,3920.0
EE,6500.0,4200.0,3920.0
PT,6500.0,4200.0,3920.0
NL,6500.0,4200.0,3920.0
CY,6500.0,4200.0,3920.0
PL,6500.0,4200.0,3920.0
LV,6500.0,4200.0,3920.0
BG,6500.0,4200.0,3920.0
RO,6500.0,4200.0,3920.0
BE,6500.0,4200.0,3920.0
MT,6500.0,4200.0,3920.0
SI,6500.0,4200.0,3920.0
LT,6500.0,4200.0,3920.0
EU27,6500.0,4200.0,3920.0
SG,6500.0,4200.0,3920.0
