geo_id,input_solar_pv_on_roof_households_full_load_hours,input_solar_pv_on_roof_buildings_full_load_hours,input_solar_pv_on_land_full_load_hours,input_solar_csp_full_load_hours
AT,948.7775441699301,948.7775441699301,948.7775441699301,948.7775441699301
BE,869.4526222230244,869.4526222230244,869.4526222230244,869.4526222230244
BG,1063.4851599862843,1063.4851599862843,1063.4851599862843,1063.4851599862843
CH,1231.46,1231.46,1231.46,1231.46
CY,1199.9111954305024,1199.9111954305024,1199.9111954305024,1199.9111954305024
CZ,927.5629486924979,927.5629486924979,927.5629486924979,927.5629486924979
DE,867.9708785259245,867.9708785259245,867.9708785259245,867.9708785259245
DK,777.9944568767935,777.9944568767935,777.9944568767935,777.9944568767935
EE,751.963803215968,751.963803215968,751.963803215968,751.963803215968
EL,1113.7736947537494,1113.7736947537494,1113.7736947537494,1113.7736947537494
ES,1185.6852042013318,1185.6852042013318,1185.6852042013318,1185.6852042013318
EU27,951.4128935,951.4128935,951.4128935,951.4128935
FI,669.319431159878,669.319431159878,669.319431159878,669.319431159878
FR,974.8152388514916,974.8152388514916,974.8152388514916,974.8152388514916
GB,754.5110881,754.5110881,754.5110881,754.5110881
HR,985.7757611304614,985.7757611304614,985.7757611304614,985.7757611304614
HU,951.412450596452,951.412450596452,951.412450596452,951.412450596452
IE,746.2965638591616,746.2965638591616,746.2965638591616,746.2965638591616
IT,1066.8601559257188,1066.8601559257188,1066.8601559257188,1066.8601559257188
LT,794.3405776831237,794.3405776831237,794.3405776831237,794.3405776831237
LU,901.2123197560052,901.2123197560052,901.2123197560052,901.2123197560052
LV,751.1047986861815,751.1047986861815,751.1047986861815,751.1047986861815
MT,1217.968,1217.968,1217.968,1217.968
NO,107.17,107.17,107.17,107.17
PL,850.7321127573947,850.7321127573947,850.7321127573947,850.7321127573947
PT,1176.108633664796,1176.108633664796,1176.108633664796,1176.108633664796
RO,980.2915883127898,980.2915883127898,980.2915883127898,980.2915883127898
RS,1231.46,1231.46,1231.46,1231.46
SE,685.2000622620058,685.2000622620058,685.2000622620058,685.2000622620058
SI,959.3633276786119,959.3633276786119,959.3633276786119,959.3633276786119
SK,931.8024255111801,931.8024255111801,931.8024255111801,931.8024255111801
UK,754.511088051109,754.511088051109,754.511088051109,754.511088051109
BEGM35013,869.4526222230244,869.4526222230244,869.4526222230244,869.4526222230244
BEGM11002,869.4526222230244,869.4526222230244,869.4526222230244,869.4526222230244
BEGM13040,869.4526222230244,869.4526222230244,869.4526222230244,869.4526222230244
UKNI01,973.0,973.0,973.0,973.0
SG,1200,1200,1200,1200
VUNH5,985.63,985.63,985.63,985.63
