geo_id,present_share_of_apartments_before_1945_in_useful_demand_for_space_heating,present_share_of_apartments_1945_1964_in_useful_demand_for_space_heating,present_share_of_apartments_1965_1984_in_useful_demand_for_space_heating,present_share_of_apartments_1985_2004_in_useful_demand_for_space_heating,present_share_of_apartments_2005_present_in_useful_demand_for_space_heating,present_share_of_detached_houses_before_1945_in_useful_demand_for_space_heating,present_share_of_detached_houses_1945_1964_in_useful_demand_for_space_heating,present_share_of_detached_houses_1965_1984_in_useful_demand_for_space_heating,present_share_of_detached_houses_1985_2004_in_useful_demand_for_space_heating,present_share_of_detached_houses_2005_present_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_before_1945_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_1945_1964_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_1965_1984_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_1985_2004_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_2005_present_in_useful_demand_for_space_heating,present_share_of_terraced_houses_before_1945_in_useful_demand_for_space_heating,present_share_of_terraced_houses_1945_1964_in_useful_demand_for_space_heating,present_share_of_terraced_houses_1965_1984_in_useful_demand_for_space_heating,present_share_of_terraced_houses_1985_2004_in_useful_demand_for_space_heating,present_share_of_terraced_houses_2005_present_in_useful_demand_for_space_heating
PV25,0.05184648,0.042232109,0.083891748,0.05199023,0.047071655,0.064573145,0.030821767,0.040378131,0.040013674,0.017535332,0.043844365,0.044733826,0.077366763,0.053088473,0.025288245,0.043913279,0.038377351,0.100885629,0.068043324,0.034104474
PV29,0.029334717,0.047297048,0.067467759,0.047305459,0.037573743,0.078191671,0.033656711,0.059556247,0.058364276,0.023080592,0.05514822,0.045975447,0.076202875,0.043728399,0.019499848,0.059561601,0.051499983,0.109950277,0.03790528,0.018699847
RES09,0.016434869,0.033844809,0.087842013,0.061799124,0.060174563,0.030387742,0.023209322,0.042979753,0.038807854,0.014245219,0.031471249,0.043977771,0.082959527,0.047769361,0.01838407,0.07850413,0.052319441,0.113675433,0.090470594,0.030743156
RES12,0.017741832,0.045151804,0.073402791,0.061470678,0.045295118,0.025722759,0.038878481,0.067109891,0.046354251,0.021019866,0.02524771,0.042040356,0.083092803,0.050380355,0.023459551,0.050614438,0.069606242,0.10575867,0.080403868,0.027248536
RES16,0.018906902,0.032862867,0.079736174,0.059147262,0.039203626,0.069600403,0.024654204,0.035040316,0.04470466,0.018405289,0.036546593,0.031240923,0.07650818,0.045311219,0.025098705,0.066603644,0.048425696,0.148659436,0.072247593,0.027096308
RES20,0.032646566,0.035373536,0.062792104,0.071074764,0.053288225,0.034664857,0.039085376,0.06662727,0.048798004,0.02202561,0.031684724,0.045595752,0.092347283,0.050634892,0.02446625,0.024265821,0.043392167,0.122401171,0.065593463,0.033242165
RES23,0.070165482,0.050816746,0.089109518,0.052804719,0.047957753,0.031006992,0.023839247,0.028631685,0.035018527,0.012313163,0.051739124,0.046515037,0.073653112,0.056926118,0.022397467,0.049914184,0.046609094,0.104464677,0.074268422,0.031848933
RES26,0.024560549,0.038681594,0.085379389,0.055426999,0.039397107,0.096327846,0.033669451,0.042809691,0.034696271,0.022159633,0.04804782,0.039401452,0.075187296,0.045754474,0.023509039,0.06048935,0.031339841,0.114996613,0.063197516,0.024968069
RES28,0.022929029,0.034027478,0.076657214,0.062139599,0.051203492,0.042303818,0.035324694,0.061497882,0.047546143,0.017086709,0.032268601,0.044052794,0.089755079,0.0433046,0.018176982,0.053154217,0.045518774,0.126030899,0.071332532,0.025689464
RES30,0.029334717,0.047297048,0.067467759,0.047305459,0.037573743,0.078191671,0.033656711,0.059556247,0.058364276,0.023080592,0.05514822,0.045975447,0.076202875,0.043728399,0.019499848,0.059561601,0.051499983,0.109950277,0.03790528,0.018699847
