geo_id,agriculture_chp_engine_network_gas_dispatchable_demand,agriculture_chp_engine_biogas_demand,agriculture_chp_wood_pellets_demand,input_buildings_solar_pv_demand,input_households_solar_pv_demand,industry_chp_combined_cycle_gas_power_fuelmix_demand,industry_chp_engine_gas_power_fuelmix_demand,industry_chp_turbine_gas_power_fuelmix_demand,industry_chp_ultra_supercritical_coal_demand,industry_chp_wood_pellets_demand,industry_heat_burner_lignite_demand,industry_heat_burner_coal_demand,industry_heat_well_geothermal_demand,industry_heat_burner_crude_oil_demand,input_share_mixer_gas_fuel_bio_oil,input_share_mixer_gas_fuel_oil,input_share_mixer_gas_fuel_network_gas
BE,0,0,0,4779.955243,4779.955243,24180.78698,24772.51599,26542.89004,391.751,8339.8,0,0,0,0,0.011285642,0.004436383,0.984277975
BG,0,0,0,2596.4425,2596.4425,5090.383259,4041.591744,3532.473203,3813.416212,5990.593084,0,0,0,0.672643981,0,0.194250706,0.805749294
UK,0,0,0,4460.247757,4460.247757,128393.732,0,0,426.824,10774.431,0,159.738,0,1633.266,0,0,1
PT,0,0,0,74.38150681,74.38150681,1841.618386,10501.25822,40143.72235,0,11877.83989,0,0,6539.290048,0,7.05E-07,0.053833627,0.946165668
HR,0,0,0,18.34471698,18.34471698,0,0,24562.82079,0,0,0,0,0,0,0,0.011639624,0.988360376
IT,0,0,0,9153.364325,9153.364325,583719.5434,89146.9255,61914.22106,1962.533658,39402.63731,0,0,193617.0982,208.8766585,0.019996527,0.191507421,0.788496052
DE,0,0,0,19193.25195,19193.25195,232558.7274,0,164905.6288,101724.0415,41041.45106,115.599,7013.805726,4588.661788,3096.770378,0.009375829,0.039516512,0.951107659
HU,0,0,0,627.4568571,627.4568571,18342.82227,2457.040466,124.8815802,463.9279033,7419.0479,72.792,0,336.5068155,42.60653223,0,0.02563195,0.97436805
EE,0,0,0,24.24402985,24.24402985,0,0,3323.099,0,0,563.704,0,0,0,0,1,0
FI,0,0,0,264.928,264.928,12769.18581,0,4385.256902,19186.52926,43399.88161,8905.32,1188.236785,0,4050.820428,0.00201732,0.094879969,0.903102711
SI,0,0,0,24.12319418,24.12319418,0,1695.628698,215.513378,2192.45583,909.8902753,0,13.22953988,0,52.14398522,0.025288544,0.049106762,0.925604694
ES,0,0,0,338.1166341,338.1166341,22821.48057,29860.02586,66339.95814,627.45,3628,0,0,0,0,0.000967649,0.152262452,0.846769899
IE,0,0,0,0,0,0,939.8749689,8954.513062,0,63.867,0,0,0,0,0,0.002702239,0.997297761
RO,0,0,0,0,0,8145.754916,4768.325568,16618.07616,1504.423523,1367.517319,105.646,9.131573137,0,962.2878827,0,0.317071798,0.682928202
SK,0,0,0,1060.2,1060.2,561.1424419,380.7151274,6246.281078,691.999876,990.874631,45.328,0,0,0,0,0.44521957,0.55478043
SG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FR,0,0,0,3130.716032,3130.716032,3601.077184,34974.72706,53216.77977,5444.045194,43705.4127,0,3020.471405,3349.852864,502.9901666,8.02E-06,0.024974316,0.975017666
SE,0,0,0,593.9823529,593.9823529,1000.772939,42.97211185,0,562.6592503,21108.94794,258.8,0,0,520.0865798,0.19462113,0.80537887,0
EL,0,0,0,1277.258875,1277.258875,0,0,23508.332,0,0,0,0,0,0,0,0.488852548,0.511147452
PL,0,0,0,0,0,15772.88632,1274.716357,11832.56564,124445.0751,8287.727152,310.794,15246.0854,0,113.1136628,0.001164779,0.510340377,0.488494844
DK,0,0,0,1733.884,1733.884,295.1151854,293.1935651,2613.461968,1019.685175,1851.905103,0,1.319265311,0,16.54931266,0,0.853007676,0.146992324
EU27,0,0,0,62075.5841,62075.5841,655395.0206,194933.9725,577321.4807,500654.3155,328706.6862,12064.164,50377.80022,105191.3572,13103.49822,0.014089377,0.178984282,0.806926341
MT,0,0,0,198.553994,198.553994,0,0,0,0,0,0,0,0,0,0,0,1
AT,0,0,0,2954.655096,2954.655096,9120.648465,531.6304678,4789.10352,1153.284973,5799.837467,0,0,1.31234958,73.56120389,0,0.383949114,0.616050886
NL,0,0,0,9721.0335,9721.0335,113184.683,77485.14405,33357.89277,36892.25204,25918.07454,0,0,0,4578.717784,0,0.069117233,0.930882767
CY,0,0,0,392.8805,392.8805,0,0,0,0,0,0,0,0,0,0,0,1
LV,0,0,0,5.6465,5.6465,6221.382013,715.1934429,0,12.17503361,3308.482244,0,30.58985945,0,14.99475459,0,0.000422687,0.999577313
LT,0,0,0,4.776116505,4.776116505,0,118.8135423,7611.821398,0,2810.806013,210.736,27.93657765,0,71.31339524,0,0.056627043,0.943372957
CZ,0,0,0,360.857971,360.857971,4991.700584,17646.93891,417.1135067,25064.428,28840.466,1475.445,288.242,0,209.557,0,0.069975724,0.930024276
LU,0,0,0,234.693,234.693,0,78.58558032,0,0,109.4901096,0,0,0,0.409381406,0,0.059463835,0.940536165
