geo_id,energy_production_oily_biomass_demand,energy_production_wet_biomass_demand,energy_production_dry_biomass_demand,energy_production_oily_biomass_max_demand,energy_production_wet_biomass_max_demand,energy_production_dry_biomass_max_demand
BU19311205,0,0,0,0,0,0
BU19311204,0,0,0,0,0,0
BU19311203,0,0,0,0,0,0
BU19311202,0,0,0,0,0,0
BU19311201,0,0,0,0,0,0
BU19311200,0,0,0,0,0,0
BU19311101,0,0,0,0,0,0
BU19311100,0,0,0,0,0,0
BU19311008,0,0,0,0,0,0
BU19311007,0,0,0,0,0,0
BU19311006,0,0,0,0,0,0
BU19311005,0,0,0,0,0,0
BU19311004,0,0,0,0,0,0
BU19311003,0,0,0,0,0,0
BU19311002,0,0,0,0,0,0
BU19311001,0,0,0,0,0,0
BU19311000,0,0,0,0,0,0
BU19310810,0,0,0,0,0,0
BU19310809,0,0,0,0,0,0
BU19310808,0,0,0,0,0,0
BU19310807,0,0,0,0,0,0
BU19310806,0,0,0,0,0,0
BU19310805,0,0,0,0,0,0
BU19310804,0,0,0,0,0,0
BU19310803,0,0,0,0,0,0
BU19310802,0,0,0,0,0,0
BU19310801,0,0,0,0,0,0
BU19310800,0,0,0,0,0,0
BU19310701,0,0,0,0,0,0
BU19310700,0,0,0,0,0,0
BU19310600,0,0,0,0,0,0
BU19310504,0,0,0,0,0,0
BU19310503,0,0,0,0,0,0
BU19310502,0,0,0,0,0,0
BU19310501,0,0,0,0,0,0
BU19310500,0,0,0,0,0,0
BU19310409,0,0,0,0,0,0
BU19310404,0,0,0,0,0,0
BU19310403,0,0,0,0,0,0
BU19310402,0,0,0,0,0,0
BU19310401,0,0,0,0,0,0
BU19310400,0,0,0,0,0,0
BU19310300,0,0,0,0,0,0
BU19310209,0,0,0,0,0,0
BU19310208,0,0,0,0,0,0
BU19310200,0,0,0,0,0,0
BU19310109,0,0,0,0,0,0
BU19310108,0,0,0,0,0,0
BU19310107,0,0,0,0,0,0
BU19310106,0,0,0,0,0,0
BU19310105,0,0,0,0,0,0
BU19310104,0,0,0,0,0,0
BU19310103,0,0,0,0,0,0
BU19310102,0,0,0,0,0,0
BU19310101,0,0,0,0,0,0
BU19310100,0,0,0,0,0,0
BU19310011,0,0,0,0,0,0
BU19310010,0,0,0,0,0,0
BU19310009,0,0,0,0,0,0
BU19310008,0,0,0,0,0,0
BU19310007,0,0,0,0,0,0
BU19310006,0,0,0,0,0,0
BU19310005,0,0,0,0,0,0
BU19310004,0,0,0,0,0,0
BU19310003,0,0,0,0,0,0
BU19310002,0,0,0,0,0,0
BU19310001,0,0,0,0,0,0
BU19310000,0,0,0,0,0,0
BU19305003,0,0,0,0,0,0
BU19305002,0,0,0,0,0,0
BU19305001,0,0,0,0,0,0
BU19303503,0,0,0,0,0,0
BU19303502,0,0,0,0,0,0
BU19303501,0,0,0,0,0,0
BU19303302,0,0,0,0,0,0
BU19303301,0,0,0,0,0,0
BU19303105,0,0,0,0,0,0
BU19303104,0,0,0,0,0,0
BU19303103,0,0,0,0,0,0
BU19303102,0,0,0,0,0,0
BU19303101,0,0,0,0,0,0
BU19302902,0,0,0,0,0,0
BU19302901,0,0,0,0,0,0
BU19302703,0,0,0,0,0,0
BU19302702,0,0,0,0,0,0
BU19302701,0,0,0,0,0,0
BU19302504,0,0,0,0,0,0
BU19302503,0,0,0,0,0,0
BU19302502,0,0,0,0,0,0
BU19302501,0,0,0,0,0,0
BU19301708,0,0,0,0,0,0
BU19301707,0,0,0,0,0,0
BU19301706,0,0,0,0,0,0
BU19301705,0,0,0,0,0,0
BU19301704,0,0,0,0,0,0
BU19301703,0,0,0,0,0,0
BU19301702,0,0,0,0,0,0
BU19301701,0,0,0,0,0,0
BU19301601,0,0,0,0,0,0
BU19301506,0,0,0,0,0,0
BU19301505,0,0,0,0,0,0
BU19301504,0,0,0,0,0,0
BU19301503,0,0,0,0,0,0
BU19301502,0,0,0,0,0,0
BU19301501,0,0,0,0,0,0
BU19301411,0,0,0,0,0,0
BU19301410,0,0,0,0,0,0
BU19301409,0,0,0,0,0,0
BU19301408,0,0,0,0,0,0
BU19301407,0,0,0,0,0,0
BU19301406,0,0,0,0,0,0
BU19301405,0,0,0,0,0,0
BU19301404,0,0,0,0,0,0
BU19301403,0,0,0,0,0,0
BU19301402,0,0,0,0,0,0
