geo_id,energetic_emissions_other_ghg_agriculture,energetic_emissions_other_ghg_buildings,energetic_emissions_other_ghg_energy,energetic_emissions_other_ghg_households,energetic_emissions_other_ghg_industry,energetic_emissions_other_ghg_transport,indirect_emissions_co2,non_energetic_emissions_co2_agriculture_manure,non_energetic_emissions_co2_agriculture_soil_cultivation,non_energetic_emissions_co2_chemical_industry,non_energetic_emissions_co2_other_industry,non_energetic_emissions_co2_waste_management,non_energetic_emissions_other_ghg_agriculture_fermentation,non_energetic_emissions_other_ghg_agriculture_manure,non_energetic_emissions_other_ghg_agriculture_other,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,non_energetic_emissions_other_ghg_chemical_industry,non_energetic_emissions_other_ghg_other_industry,non_energetic_emissions_other_ghg_waste_management
GM0358,0.006255118,0.000107915,0.000410712,0.000737683,3.38E-05,0.000527769,0.000809809,0,1.20E-05,2.45E-06,0.000853036,0,0.000170224,6.98E-05,0,0.000967981,0.000118421,0.001095089,0.000149251
GM0197,0.00040086,4.50E-05,0.000356263,0.001074203,5.48E-05,0.000319217,0.000701068,0,0.000187731,6.54E-06,0.000738662,0,0.043839344,0.027592392,0,0.013228368,4.87E-05,0.009410257,0.000439921
GM0059,0.000113531,4.86E-05,0.000453156,0.000771654,6.46E-05,0.000348847,0.000729184,0,0.000186008,0,0.000770949,0,0.040208966,0.015230198,0,0.023524477,5.27E-05,0.00224054,0.000308485
GM0484,0.000567992,0.000248716,0.001864988,0.002893363,0.000176247,0.001350235,0.002798546,0,0.000168489,0.003972075,0.003502708,0,0.041643367,0.014087544,0,0.032459776,0.004208748,0.004924139,0.010671267
GM0200,0.001486374,0.000739197,0.002104015,0.004568931,0.000569297,0.003853791,0.004119769,0,0.000179213,0.005828462,0.00457672,0,0.04693495,0.019841566,0,0.012328112,0.002633808,0.01715666,0.005187497
GM0202,0.000186757,0.000818416,0.004380236,0.00378672,0.000545159,0.003467501,0.003968476,0,1.80E-05,0.018032969,0.004184245,0,0.003641247,0.001264538,0,0.0022565,0.01908588,0.012257745,0.002242188
GM0203,0.000913197,0.0004451,0.028500705,0.001767041,0.000167836,0.00176862,0.001425459,0,0.000124902,0.000117657,0.001502636,0,0.120202677,0.064776914,0,0.016852747,0.000191423,0.013048974,0.391110971
GM1945,0.000329183,9.59E-05,0.000453271,0.0012885,4.82E-05,0.000437617,0.000893721,0,2.05E-05,0,0.016147887,0,0.017517837,0.007497289,0,0.008505165,0.000104946,0.001128173,0.000370481
GM1724,6.85E-05,3.43E-05,0.00024065,0.00076316,4.31E-05,0.000292492,0.000474493,0,0.0001035,2.45E-06,0.000499835,0,0.033070653,0.022076684,0,0.007422141,3.73E-05,0.000633688,7.33E-05
GM1859,0.000140204,9.33E-05,0.000586134,0.001676757,0.000103626,0.000646309,0.001155691,0,0.000475083,9.60E-05,0.001637444,0,0.134978898,0.077996003,0,0.038231726,0.000101384,0.004579635,0.001254994
GM0209,0.000675685,0.000114236,0.004869504,0.000847183,9.17E-05,0.000903002,0.000658802,0,4.04E-05,0,0.000708611,0,0.011382989,0.004495402,0,0.005071765,4.41E-05,0.002121671,0.096213038
GM0755,0.001808477,2.40E-05,0.000133733,0.000375361,1.46E-05,8.58E-05,0.000263683,0,6.74E-05,0,0.000277794,0,0.022618717,0.031099057,0,0.003975321,2.62E-05,0.000331353,4.78E-05
GM1876,0.000110765,9.29E-05,0.000485371,0.001367945,0.000250391,0.000602466,0.000957012,0,0.000469454,3.68E-06,0.001010066,0,0.121037843,0.054563672,0,0.039755233,6.84E-05,0.001225878,0.042238655
GM0213,0.000143707,3.71E-05,0.000277311,0.000791839,0.000541679,0.000339007,0.000546778,0,9.09E-05,1.96E-05,0.000577872,0,0.024439473,0.008853295,0,0.010302165,4.02E-05,0.000665163,0.000349635
GM0214,0.000480495,5.00E-05,0.000345162,0.000926222,2.58E-05,0.000435387,0.000680561,0,0.000181085,0,0.000723442,0,0.03871749,0.01793773,0,0.021957391,5.44E-05,0.000798073,0.000273142
GM0216,1.08E-05,8.48E-05,0.000364233,0.000764329,3.91E-05,0.000378849,0.000718163,0,3.40E-05,1.51E-05,0.000757128,0,0.007736276,0.002688558,0,0.004366483,9.29E-05,0.00105104,0.000462665
GM0762,0.005974773,5.64E-05,0.000419805,0.00115436,8.13E-05,0.000786454,0.000827737,0,0.000180458,1.63E-06,0.001476251,0,0.059571414,0.083950444,0,0.012411586,6.13E-05,0.000992767,0.004332987
