geo_id,residences_roof_surface_available_for_pv,buildings_roof_surface_available_for_pv
GM0141,0.842210341,0.421105171
GM0147,0.288814246,0.144407123
GM0148,0.363091009,0.181545504
GM0150,4.251585882,4.388892056
GM1774,0.340179688,0.170089844
GM0153,1.720582502,0.860291251
GM0158,0.290637249,0.145318624
GM0160,0.739830739,0.36991537
GM0163,0.415449387,0.207724694
GM0164,0.984349736,0.492174868
GM1735,0.512873697,0.256436848
GM0166,0.573140849,0.286570425
GM0168,0.31721728,0.15860864
GM0173,0.439713441,0.219856721
GM1773,0.229276513,0.114638256
GM0175,0.231224833,0.115612417
GM0177,0.491063819,0.24553191
GM1742,0.430779637,0.215389819
GM0180,0.257057761,0.12852888
GM1708,0.587319442,0.293659721
GM0183,0.34569891,0.172849455
GM1700,0.418934488,0.209467244
GM0189,0.278703241,0.139351621
GM1896,0.260552686,0.130276343
GM0193,1.344328542,0.672164271
