geo_id,energy_production_dry_biomass_max_demand,energy_production_oily_biomass_max_demand,energy_production_wet_biomass_max_demand
GM0014,537.2888,123.83285,399.86243
GM0034,610.69086,126.31474,588.57011
GM0037,159.03103,19.31382,206.68983
GM0047,108.68918,16.70251,137.04253
GM0050,219.13422,13.55412,959.88297
GM0059,150.53426,16.92184,206.59389
GM0060,17.04656,2.23158,95.49163
GM0072,47.885,9.57398,75.14326
GM0074,232.04634,30.53429,502.00931
GM0080,383.66374,74.79524,780.98564
GM0085,188.75607,15.49103,524.22587
GM0086,161.58739,18.05859,446.87583
GM0088,5.90662,0.56868,117.06908
GM0090,192.05374,33.98585,367.94087
GM0093,23.91438,2.97098,193.97981
GM0096,6.84743,0.69141,23.22115
GM0098,166.17119,15.69942,644.7799
GM0106,203.38576,41.29179,176.28847
GM0109,212.84691,21.55815,554.11024
GM0114,443.55533,65.07788,706.69017
GM0118,197.55345,33.81816,269.7837
GM0119,102.56064,20.39224,148.4393
GM0141,224.26839,44.26035,218.59215
GM0147,66.74801,14.10153,68.19157
GM0148,179.92709,17.31493,381.79539
GM0150,347.77052,60.73016,390.08032
GM0153,461.45506,96.59399,374.64383
GM0158,108.37059,14.7498,257.75666
GM0160,412.43193,36.80251,691.03142
GM0163,178.83577,21.75561,300.83779
GM0164,219.71202,49.01999,178.55318
GM0166,187.94939,32.67412,419.51792
GM0168,103.28212,13.74429,199.73762
GM0171,306.54714,28.47161,2122.55321
GM0173,86.66102,19.3448,62.17695
GM0175,165.86396,10.82252,386.86354
GM0177,215.73143,22.79029,467.94744
GM0180,124.66831,10.33039,272.61178
GM0183,162.54686,12.92651,358.34415
GM0184,102.31806,12.61483,75.76315
GM0189,125.85649,14.79476,234.43054
GM0193,357.32033,77.46244,383.96941
GM0197,117.79276,16.41088,246.52073
GM0200,609.8532,98.69555,533.2246
GM0202,460.6566,96.7635,336.21995
GM0203,463.3995,35.22103,330.4085
GM0209,83.25258,15.72494,99.40434
GM0213,82.1562,12.57534,146.41548
GM0214,109.25434,16.14173,253.28939
GM0216,81.32103,17.34896,85.90484
GM0221,32.35793,6.77311,41.84499
GM0222,193.4083,34.96828,224.82267
GM0225,64.54469,11.42036,119.65248
GM0226,75.40872,15.39078,75.2663
GM0228,659.34156,70.3011,514.0191
GM0230,86.07986,14.0262,98.846
GM0232,192.27472,20.13767,207.68936
GM0233,114.71908,16.31792,108.41848
GM0243,136.11714,28.90845,95.39484
GM0244,37.89923,7.39586,47.49667
GM0246,83.84773,11.26786,117.20674
GM0252,57.01762,10.01628,86.05642
GM0262,200.50887,20.40804,407.65023
GM0263,76.86176,15.00255,166.06497
GM0267,191.28792,26.09057,169.10729
GM0268,462.0867,107.39038,310.087
GM0269,97.76308,14.33727,148.1386
GM0273,153.95403,14.70181,157.94513
GM0274,98.90207,19.01793,80.29764
GM0275,151.26336,26.51404,158.39733
GM0277,22.92024,1.00491,19.51638
GM0279,68.90042,5.99847,36.1429
GM0281,116.92893,25.50427,109.25887
GM0285,114.66524,14.83486,261.26547
GM0289,109.66258,23.55764,90.70634
GM0293,38.97067,9.07942,28.56212
GM0294,131.27805,17.56039,251.65379
GM0296,128.84969,24.88031,190.68211
GM0297,109.76381,17.28577,192.27178
GM0299,137.92457,26.42169,235.90442
GM0301,139.12883,28.92546,132.72494
GM0302,140.04277,16.69643,145.6215
GM0303,303.6912,24.79768,1411.988
GM0307,412.15335,94.95357,301.80076
GM0308,81.63536,15.04751,72.50233
GM0310,138.08797,26.01827,147.49328
GM0312,51.6721,9.2301,92.31497
GM0313,61.42041,13.10878,96.14991
GM0317,29.11534,5.53672,48.35138
GM0321,149.55835,30.32407,177.22554
GM0327,104.09761,18.24511,117.09328
GM0331,67.55415,8.79326,177.14743
GM0335,45.52202,8.50345,118.77863
GM0339,72.50699,3.19517,54.02322
GM0340,75.89067,12.15369,90.28315
GM0342,132.42882,28.06576,102.87153
GM0344,901.89763,214.38827,631.1838
GM0345,165.95123,39.84944,113.61796
GM0351,78.55001,7.99917,92.23797
GM0352,79.81265,14.43691,125.45852
GM0353,90.05559,20.75435,85.10025
GM0355,185.2671,38.84392,130.3404
GM0356,174.68279,38.29833,126.72807
GM0358,83.72282,19.27675,192.87007
GM0361,317.04221,65.95581,405.45866
GM0362,244.17787,55.18979,199.83988
GM0363,2194.33886,524.30547,1726.49296
GM0373,102.25069,18.21109,117.33836
GM0375,107.82938,25.01701,76.21907
GM0376,32.13731,6.80592,23.00379
GM0377,70.61171,14.22305,58.49953
GM0383,104.33645,21.73374,151.50206
GM0384,78.65513,17.73841,62.42603
GM0385,99.38113,21.93241,120.89202
GM0388,51.05605,11.24417,46.22385
GM0392,407.50142,97.97862,289.08085
GM0394,473.16695,89.96061,461.14545
GM0396,110.34357,23.79459,77.70615
GM0397,70.52604,16.57796,50.88318
GM0399,63.38446,14.25585,54.58677
GM0400,154.48854,33.78292,138.42781
GM0402,239.19425,54.82526,173.43745
GM0405,187.66937,44.35452,124.21934
GM0406,109.52401,25.07594,73.08148
GM0415,31.84401,6.97968,101.03783
GM0417,32.03038,6.80167,21.41516
GM0420,139.09779,27.22428,286.22762
GM0431,25.05913,5.92799,78.27741
GM0432,42.33788,7.15648,102.0217
GM0437,40.77379,8.45484,64.00262
GM0439,208.34137,48.67611,147.45256
GM0441,152.23925,28.28387,398.65733
GM0448,70.93154,8.23065,1445.86279
GM0450,37.89364,8.21911,82.64262
GM0451,79.40136,17.87693,67.26806
GM0453,188.94953,41.52571,162.93768
GM0473,45.68043,10.33525,48.42503
GM0479,402.91006,94.70993,414.40155
GM0482,51.7427,12.19318,41.20193
GM0484,318.28344,67.43097,406.04847
GM0489,131.09559,29.57191,92.84526
GM0498,61.87653,11.90641,123.42854
GM0502,174.02395,40.59613,119.65104
GM0503,268.07126,62.67801,187.9951
GM0505,329.41815,72.08976,417.76955
GM0512,99.06937,22.28662,86.85066
GM0513,184.14991,44.46206,132.13915
GM0518,1347.86381,326.76734,876.32155
GM0523,48.97335,10.96712,67.05503
GM0531,78.22201,18.81379,53.18347
GM0532,59.78557,13.18776,66.06911
GM0534,55.40255,13.34573,47.57026
GM0537,164.88679,39.67507,121.64297
GM0542,75.60382,17.84777,56.16253
GM0546,312.41195,75.88399,210.52086
GM0547,70.63083,16.47042,57.40309
GM0553,60.25825,13.85243,52.21113
GM0556,83.41506,19.90862,56.75111
