geo_id,number_of_busses,number_of_vans,number_of_trucks
GM1680,1,1646,97
GM0358,30,1908,239
GM0197,2,1602,101
GM0059,41,2293,166
GM0482,32,1053,102
GM0613,5,759,63
GM0361,32,4911,466
GM0141,4,3790,199
GM0034,26,34576,686
GM0484,26,5945,518
GM1723,4,851,53
GM1959,32,4451,436
GM0060,0,381,32
GM0307,854,14728,342
GM0362,14,1705,103
GM0363,309,20912,1027
GM0200,86,8217,984
GM0202,6,4361,647
GM0106,52,2408,151
GM0743,1,1355,104
GM0744,4,661,38
GM0308,8,934,28
GM0489,2,2291,286
GM0203,39,5307,387
GM0888,2,744,65
GM1954,2,1923,158
GM0370,0,895,81
GM0889,1,523,37
GM1945,8,1648,67
GM1724,21,1683,77
GM0893,1,839,47
GM0373,2,1397,78
GM0748,39,2574,251
GM1859,6,2793,175
GM1721,4,2737,211
GM0753,1,1298,123
GM0209,0,1170,105
GM0375,5,1961,277
GM0310,8,1694,100
GM1728,3,1758,146
GM0376,0,338,32
GM0377,0,437,12
GM1901,19,2407,247
GM0755,0,1024,55
GM1681,3,2191,130
GM0147,6,1009,53
GM0654,53,2168,131
GM0756,3,1636,160
GM0757,9,1808,136
GM0758,16,14093,402
GM0501,0,904,46
GM1876,1,3153,145
GM0213,1,1114,62
GM0899,9,976,49
GM0312,13,767,35
GM0313,0,1417,196
GM0214,0,2480,280
GM0502,2,2346,103
GM0383,0,1505,121
GM0109,1,2495,120
GM1706,1,1566,98
GM1684,10,1323,325
GM0216,3,1145,170
GM0148,98,2421,200
GM1891,11,1412,65
GM0503,1,2308,197
GM0762,21,2570,211
GM0150,679,3225,192
GM0384,58,889,65
GM1774,21,2352,185
GM0221,1,391,32
GM0222,1,3127,192
GM0766,12,1278,119
GM0505,22,7933,320
GM0498,15,1557,111
GM1719,11,1889,83
GM0303,10,2315,120
GM0225,2,1193,91
GM0226,0,1300,164
GM1711,15,1849,139
GM0385,22,2806,134
GM0228,22,7389,857
GM0317,0,660,44
GM0770,5,1580,99
GM1903,1,1313,132
GM0772,11,8033,1315
GM0230,0,1346,73
GM0114,5,6116,398
GM0388,0,918,23
GM0153,3,5624,512
GM0232,0,2102,127
GM0233,1,1401,213
GM0777,5,1893,235
GM1940,22,4032,219
GM0779,3,1169,76
GM1771,10,2322,87
GM1652,6,2510,205
GM0907,2,925,121
GM0784,1,1359,83
GM1924,84,3386,175
GM0664,1,2291,135
GM0785,6,1030,87
GM1942,0,1765,98
GM0512,9,1668,103
GM0513,17,2677,108
GM0786,0,511,21
GM0518,229,18862,501
GM0014,51,10484,407
GM1729,3,706,49
GM0158,3,1469,94
GM0392,115,4805,264
GM0394,47,17376,1269
GM1655,9,1774,147
GM0160,1,4436,316
GM0243,7,2261,138
GM0523,18,1324,111
GM0072,4,882,64
GM0244,0,532,30
GM0396,1,1471,60
GM0397,1,582,62
GM0246,2,1139,82
GM0074,1323,2976,318
GM0398,4,2712,137
GM0917,9,2957,264
GM1658,3,1059,64
GM0399,0,818,44
GM0400,7,1904,64
GM0163,10,2060,115
GM0530,0,1633,48
GM0794,16,3754,232
GM0531,0,968,30
GM0164,10,3964,233
GM0796,8,7845,657
GM0252,0,679,27
GM0797,3,2668,180
GM0534,0,1073,133
GM0798,1,1264,142
GM0402,1371,3117,120
GM1963,8,5183,331
GM1735,87,2411,127
GM1966,15,3094,125
GM1911,19,4172,407
GM0118,52,3784,209
GM0405,3,4963,216
GM1507,22,2690,287
GM0321,1,6391,157
GM0406,0,1559,31
GM0677,1,1423,104
GM0353,0,1214,63
GM1884,1,1808,174
GM0166,0,2922,201
GM0678,32,810,67
GM0537,7,2755,516
GM0928,24,1582,119
GM1598,25,2097,184
GM0542,0,1034,87
GM1931,1,3929,274
GM1659,1,1572,161
GM1685,8,1287,87
GM0882,0,1374,93
GM0415,0,525,19
GM0416,0,1525,131
GM1621,9,3305,308
GM0417,0,390,12
GM0080,16,5306,380
GM0546,1,3059,137
GM0547,0,956,48
GM1916,1,3043,171
GM0995,10,2963,87
GM1640,15,2531,234
GM0327,1,1085,32
GM1705,0,2121,191
GM0553,0,1063,89
GM0262,0,1844,132
GM0809,1,1254,74
GM0331,1,1593,146
GM0168,11,1056,55
GM0263,71,2409,219
GM1641,3,1419,115
GM0556,0,910,35
GM0935,12,3669,295
GM0420,3,3482,449
GM0938,4,839,52
GM1948,37,6815,544
GM0119,15,1570,111
GM0687,281,1998,158
GM1842,11,1240,135
GM1731,3,2743,113
GM1952,19,3278,233
GM0815,0,988,82
GM1709,43,2635,285
GM1978,9,3851,384
GM1955,15,2221,217
GM0335,0,1085,115
GM0944,1,385,17
GM1740,15,2189,184
GM0946,3,1436,96
GM0356,14,2912,151
GM0569,19,2366,234
GM0267,2,2853,341
GM0268,30,4524,446
GM1930,2,2730,105
GM1970,2,3498,228
GM1695,1,678,17
GM1699,5,1653,77
GM0171,15,3500,137
GM0575,84,2231,246
GM0820,1,1066,49
GM0302,15,2055,129
GM0579,0,425,38
GM0823,9,1565,116
GM0824,0,1325,94
GM1895,8,1994,139
GM0269,7,1819,188
GM0173,25,1685,131
GM1773,15,960,42
GM0175,2,1270,77
GM1586,11,2366,299
GM0826,16,3006,308
GM0085,4,1851,159
GM0431,0,493,83
GM0432,1,980,58
GM0086,4,2069,116
GM0828,63,5968,414
GM1509,0,2357,148
GM0437,34,1211,83
GM0589,0,954,185
GM1734,72,2802,287
GM0590,0,1009,125
GM1894,43,2770,212
GM0765,1,647,37
GM1926,6,2188,148
GM0439,254,5958,110
GM0273,1,1934,169
GM0177,53,2362,200
GM0703,0,1928,91
GM0274,0,1089,47
GM0339,0,573,51
GM1667,1,1126,65
GM0275,2,1658,64
GM0340,1,1256,64
GM0597,20,2317,188
GM1742,3,2365,322
GM0603,1,1809,59
GM1669,4,987,56
GM0957,5,2450,167
GM0736,7,2853,306
GM1674,13,3822,369
GM0599,430,20079,1073
GM0277,0,32,8
GM0840,14,1900,131
GM0441,4,3548,174
GM0279,0,732,50
GM0606,2,2666,189
GM0088,1,64,3
GM1676,30,2622,131
GM0965,23,404,18
GM1702,0,946,50
GM0845,0,2061,167
GM1883,1,4962,312
GM0610,1,1292,97
GM1714,6,1765,105
GM0090,19,5019,215
GM0342,2,2015,172
GM0847,7,1937,179
GM0848,1,840,343
GM0037,1,2172,119
GM0180,2,1875,165
GM0532,0,902,59
GM0851,2,1555,101
GM1708,12,3046,158
GM0971,8,1210,122
GM1904,4,2720,188
GM1900,7,6531,391
GM0715,3,2951,212
GM0093,6,607,39
GM0448,14,1516,75
GM1525,1,1718,177
GM0716,8,2081,83
GM0281,22,2871,227
GM0855,33,11356,653
GM0183,25,2295,120
GM1700,21,2610,215
GM1730,1,1917,82
GM0737,3,2205,166
GM0856,11,3794,404
GM0450,1,716,23
GM0451,1,1226,108
GM0184,1,1241,56
GM0344,31,14010,1211
GM1581,1,2185,102
GM0981,3,252,26
GM0994,36,747,57
GM0858,18,1581,94
GM0047,0,1389,68
GM0345,0,3069,202
GM0717,0,1756,87
GM0861,17,2012,168
GM0453,6,3012,141
GM0983,41,3631,432
GM0984,0,2465,176
GM1961,81,4321,520
GM0622,5,2352,120
GM0096,0,117,13
GM0718,5,1519,78
GM0986,1,583,25
GM0626,0,679,47
GM0285,0,1547,150
GM0865,0,922,45
GM1949,7,3443,216
GM0866,0,500,36
GM0867,0,2965,228
GM0627,21,1467,104
GM0289,1,858,39
GM0629,2,905,73
GM0852,0,851,57
GM0988,74,2286,193
GM0457,1,816,68
GM1960,13,4684,550
GM0668,2,1634,124
GM1969,8,4599,371
GM1701,2,1617,53
GM0293,0,464,18
GM1950,12,2012,77
GM1783,73,8644,1117
GM0098,10,1997,88
GM0614,1,829,44
GM0189,33,1663,73
GM0296,1,2278,208
GM1696,9,1688,157
GM0352,12,1132,39
GM0294,10,1471,130
GM0873,6,1132,58
GM0632,7,2993,231
GM1690,12,2114,126
GM0880,1,873,27
GM0351,22,1008,57
GM0479,100,6516,299
GM0297,1,2188,249
GM0473,1,604,15
GM0050,0,1993,95
GM0355,1,3133,59
GM0299,1,2038,102
GM0637,120,3346,199
GM0638,12,606,56
GM1892,4,2648,192
GM0879,4,1751,141
GM0301,4,1477,150
GM1896,0,2471,226
GM0642,0,1886,102
GM0193,25,4985,215
PV20,117,31987,1647
PV21,1480,44683,2878
PV22,152,30254,1667
PV23,1149,64326,4426
PV24,62,46588,1181
PV25,484,112365,10215
PV26,1069,76702,4796
PV27,2510,126312,7873
PV28,1318,153865,10513
PV29,421,23990,1399
PV30,587,152267,12203
PV31,368,51427,4165
RES01,46,19090,1407
RES02,73,15465,887
RES03,152,30254,1667
RES04,62,46588,1181
RES05,65,22037,1991
RES06,1480,44683,2878
RES07,84,3386,175
RES08,117,31987,1647
RES09,57,24499,1660
RES10,8,5183,331
RES11,151,24684,2413
RES12,154,41687,3972
RES13,922,86500,5295
RES14,62,13128,925
RES16,130,39623,2820
RES17,2380,86689,5053
RES18,31,11348,940
RES19,230,27186,2329
RES20,155,40925,3457
RES21,18,5519,487
RES22,887,21847,871
RES23,123,27748,2504
RES24,181,49957,3608
RES25,127,19600,2003
RES26,93,17440,1687
RES27,262,34353,2434
RES28,221,45156,3114
RES29,887,29973,1992
RES30,421,23990,1399
RES31,138,24241,1836
