geo_id,energy_production_wet_biomass_max_demand,energy_production_dry_biomass_max_demand,energy_production_oily_biomass_max_demand,energy_production_wet_biomass_demand,energy_production_dry_biomass_demand,energy_production_oily_biomass_demand
RES01,2593.097948,1526.118832,224.5485418,403.819048,1136.88017,224.5485418
RES02,1952.914962,2411.228314,567.2085144,405.8493969,1900.776478,567.2085144
RES03,4624.714929,2115.33464,287.0758712,747.8760329,1514.569708,287.0758712
RES04,1032.039156,619.3576704,76.44598654,168.1397813,462.1262529,76.44598654
RES05,1662.318727,1770.439196,369.083488,308.8547372,1399.198155,369.083488
RES06,6691.89821,2792.243598,398.2805277,787.5681294,2189.21789,398.2805277
RES07,176.8777545,196.01137,45.82542706,31.78303171,154.8418586,45.82542706
RES08,5652.894121,3313.797403,470.1916652,1034.600286,2413.411142,470.1916652
RES09,1779.527266,1192.92587,198.6845917,310.9627319,934.2327172,198.6845917
RES10,509.3084082,358.8399586,71.55449813,101.6515823,259.472697,71.55449813
RES11,1890.876362,1869.268126,412.4513234,350.7313467,1460.917666,412.4513234
RES12,4070.986458,2814.114066,431.6497015,710.4301215,2225.219838,431.6497015
RES13,6779.358938,4634.538703,961.4341677,1256.177564,3530.153158,961.4341677
RES14,2419.857885,934.6574478,155.2875933,252.1878059,737.9136411,155.2875933
RES16,3986.481494,1936.136495,391.9090162,457.1406919,1503.522722,391.9090162
RES17,8763.324366,6133.273849,1313.032605,1301.013318,4756.907435,1313.032605
RES18,1516.472316,1801.431108,286.3182404,268.3207471,1429.835722,286.3182404
RES19,3629.510468,1951.713522,298.6608794,688.4447704,1472.458284,298.6608794
RES20,3584.103076,2613.374909,421.0161367,645.864781,2003.531709,421.0161367
RES21,1918.988562,615.4769978,134.592788,124.5774365,471.0984754,134.592788
RES22,2283.380296,1220.337321,224.4173082,528.1980853,898.5226243,224.4173082
RES23,3776.3892,3064.429955,415.9247601,638.2550252,2402.715314,415.9247601
RES24,3521.633968,1637.207183,302.3779489,387.8234819,1237.642062,302.3779489
RES25,2045.238128,1169.021274,145.9967424,337.7321864,888.5764501,145.9967424
RES26,923.4874402,636.8955582,115.5001258,160.1484672,490.9552737,115.5001258
RES27,6118.642522,3067.578364,438.103234,1195.961198,2374.065104,438.103234
RES28,6183.738833,2961.463993,446.6370616,944.415077,2215.904195,446.6370616
RES29,2864.959454,1653.112437,222.5794306,444.5504225,1200.853309,222.5794306
RES30,6979.928707,1849.154428,242.433369,910.5686282,1228.85771,242.433369
RES31,3735.805472,2853.734141,396.9900643,639.7245642,2298.074085,396.9900643
RGUT01,3521.633968,1637.207183,302.3779489,387.8234819,1237.642062,302.3779489
RGNB02,6183.738833,2961.463993,446.6370616,944.415077,2215.904195,446.6370616
RGNB03,1779.527266,1192.92587,198.6845917,310.9627319,934.2327172,198.6845917
RGGL01,2593.097948,1526.118832,224.5485418,403.819048,1136.88017,224.5485418
RGGL02,3776.3892,3064.429955,415.9247601,638.2550252,2402.715314,415.9247601
RGGL03,1662.318727,1770.439196,369.083488,308.8547372,1399.198155,369.083488
RGGL04,1516.472316,1801.431108,286.3182404,268.3207471,1429.835722,286.3182404
RGGL05,2045.238128,1169.021274,145.9967424,337.7321864,888.5764501,145.9967424
RGGL06,923.4874402,636.8955582,115.5001258,160.1484672,490.9552737,115.5001258
