geo_id,energy_distribution_network_gas_loss_demand,input_energy_power_supercritical_ccs_waste_mix_electricity_output_conversion,input_industry_steel_scrap_hbi_eaf_share,input_energy_cokesoven_transformation_loss_output_conversion,input_energy_blastfurnace_transformation_loss_output_conversion,input_energy_power_combined_cycle_coal_gas_loss_output_conversion,input_energy_chp_coal_gas_loss_output_conversion,industry_final_demand_for_metal_steel_coal_industry_steel_scrap_hbi_eaf_parent_share,industry_final_demand_for_metal_steel_cokes_industry_steel_scrap_hbi_eaf_parent_share,industry_final_demand_for_metal_steel_crude_oil_industry_steel_scrap_hbi_eaf_parent_share,industry_final_demand_for_metal_steel_electricity_industry_steel_scrap_hbi_eaf_parent_share,industry_final_demand_for_metal_steel_network_gas_industry_steel_scrap_hbi_eaf_parent_share,industry_final_demand_for_metal_steel_steam_hot_water_industry_steel_scrap_hbi_eaf_parent_share,industry_final_demand_for_metal_steel_wood_pellets_industry_steel_scrap_hbi_eaf_parent_share
GM1680,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0358,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0197,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0059,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0482,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0613,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0361,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0141,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0034,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0484,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1723,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1959,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0060,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0307,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0362,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0363,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0200,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0202,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0106,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0743,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0744,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0308,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0489,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0203,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0888,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1954,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0370,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0889,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1945,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1724,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0893,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0373,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0748,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1859,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1721,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0753,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0209,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0375,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0310,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1728,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0376,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0377,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1901,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0755,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1681,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0147,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0654,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0756,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0757,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0758,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0501,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1876,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0213,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0899,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0312,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0313,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0214,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0502,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0383,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0109,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1706,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1684,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0216,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0148,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1891,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0503,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0762,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0150,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0384,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1774,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0221,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0222,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0766,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0505,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0498,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1719,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0303,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0225,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0226,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1711,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0385,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0228,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0317,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0770,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1903,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0772,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0230,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0114,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0388,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0153,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0232,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0233,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0777,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1940,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0779,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1771,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1652,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0907,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0784,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1924,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0664,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0785,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1942,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0512,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0513,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0786,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0518,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0014,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1729,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0158,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0392,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0394,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1655,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0160,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0243,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0523,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0072,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0244,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0396,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0397,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0246,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0074,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0398,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0917,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1658,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0399,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0400,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0163,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0530,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0794,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0531,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0164,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0796,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0252,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0797,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0534,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0798,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0402,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1963,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1735,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1966,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1911,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0118,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0405,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1507,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0321,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0406,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0677,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0353,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1884,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0166,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0678,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0537,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0928,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1598,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0542,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1931,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1659,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1685,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0882,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0415,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0416,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1621,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0417,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0080,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0546,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0547,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1916,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0995,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1640,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0327,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1705,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0553,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0262,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0809,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0331,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0168,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0263,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM1641,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0556,0,27,0,0,0,0,0,0,0,0,0,0,0,0
GM0935,0,27,0,0,0,0,0,0,0,0,0,0,0,0
