geo_id,buildings_final_demand_steam_hot_water_demand,input_energy_chp_local_engine_network_gas_production,input_energy_chp_local_engine_biogas_production,agriculture_final_demand_electricity_demand,agriculture_final_demand_network_gas_demand,agriculture_final_demand_steam_hot_water_demand,agriculture_chp_engine_network_gas_dispatchable_demand,agriculture_chp_engine_biogas_demand,agriculture_chp_wood_pellets_demand,input_agriculture_chp_engine_network_gas_dispatchable_electricity_output_conversion,input_agriculture_chp_engine_network_gas_dispatchable_steam_hot_water_output_conversion,input_agriculture_chp_engine_biogas_electricity_output_conversion,input_agriculture_chp_engine_biogas_steam_hot_water_output_conversion,input_agriculture_chp_wood_pellets_electricity_output_conversion,input_agriculture_chp_wood_pellets_steam_hot_water_output_conversion,agriculture_chp_engine_network_gas_dispatchable_full_load_hours,agriculture_chp_wood_pellets_full_load_hours,agriculture_chp_engine_biogas_full_load_hours,agriculture_final_demand_local_steam_hot_water_agriculture_final_demand_steam_hot_water_child_share,agriculture_final_demand_central_steam_hot_water_agriculture_final_demand_steam_hot_water_child_share
GM0358,12,0,0,365.32326,0,381.1731353,712.47315,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0361,864.7273136,0,5.090953126,40.0681989,24.72925275,11.67968741,21.32149725,0.699195853,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0034,17,0,0,205.522834,2.7122151,205.8396904,384.7470849,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0362,92.69952696,0,6.137952114,182.1293035,0.7193412,196.3393965,358.9512588,11.02685394,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0363,823.8895399,0,91.4195045,37.02864546,0.08653635,5.208268406,9.52861365,0.283231035,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0203,5.652702846,0,1.779833834,90.03436278,103.8030431,0.402887373,0.10390695,0.890505524,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0370,0,0,0,62.22790575,2.440610625,40.81448894,76.28876438,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0373,2,0,0,47.08354194,16.81219515,22.78824734,42.59485485,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0375,20.94919827,0,15.02221352,3.87899184,0.0372204,1.690298319,3.0644796,0.130260854,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0376,11,0,0,6.4368,3.63975,0,0,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0377,3,0,0,6.55570728,0.2814318,1.170188487,2.1872682,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0312,0,0,0,15.4292481,10.46712975,0.919194334,1.71812025,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0383,3,0,0,12.44221698,16.42150755,4.709895211,8.80354245,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0400,20.18295463,0,6.658566526,56.976221,19.8809475,31.89174596,58.0835525,2.094988124,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0384,15,0,0,0.288,0.22155,0,0,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0498,5,0,0,261.7091033,41.7239418,144.2620856,269.6487582,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0303,4.441711432,0,3.706458465,130.7998662,103.6198845,2.118254611,1.0466655,3.995611714,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0385,2,0,0,16.16803824,0.8272044,3.655171146,6.8320956,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0228,100.9967438,0,16.1503395,133.2760552,127.010912,2.071275039,0.12713805,5.136554314,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0388,14,0,0,164.9247782,144.6764544,78.6503209,147.0099456,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0233,4,0,0,24.44859648,35.7731088,0.232452792,0.4344912,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM1924,9,0,0,175.4545036,21.0198411,147.1433285,275.0342589,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM1942,2,0,0,6.2418861,5.96333475,0.822677659,1.53771525,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0392,67.83445668,0,20.28326104,6.98755536,0.2818116,5.399388611,9.7828884,0.424470045,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0394,260,0,0,1138.708195,103.8559619,992.7944112,1855.690488,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0396,19,0,0,122.429785,14.2217376,457.8712824,106.3014624,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0397,3,0,0,8.45745522,1.10721195,2.269276357,4.24163805,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
