geo_id,households_number_of_apartments_2005,households_number_of_apartments_1985_2004,households_number_of_apartments_1965_1984,households_number_of_apartments_1945_1964,households_number_of_apartments_1945,households_number_of_terraced_2005,households_number_of_terraced_1985_2004,households_number_of_terraced_1965_1984,households_number_of_terraced_1945_1964,households_number_of_terraced_1945,households_number_of_semi_detached_2005,households_number_of_semi_detached_1985_2004,households_number_of_semi_detached_1965_1984,households_number_of_semi_detached_1945_1964,households_number_of_semi_detached_1945,households_number_of_detached_2005,households_number_of_detached_1985_2004,households_number_of_detached_1965_1984,households_number_of_detached_1945_1964,households_number_of_detached_1945,input_households_insulation_level_apartments_2005,input_households_insulation_level_apartments_1985_2004,input_households_insulation_level_apartments_1965_1984,input_households_insulation_level_apartments_1945_1964,input_households_insulation_level_apartments_1945,input_households_insulation_level_terraced_2005,input_households_insulation_level_terraced_1985_2004,input_households_insulation_level_terraced_1965_1984,input_households_insulation_level_terraced_1945_1964,input_households_insulation_level_terraced_1945,input_households_insulation_level_semi_detached_2005,input_households_insulation_level_semi_detached_1985_2004,input_households_insulation_level_semi_detached_1965_1984,input_households_insulation_level_semi_detached_1945_1964,input_households_insulation_level_semi_detached_1945,input_households_insulation_level_detached_2005,input_households_insulation_level_detached_1985_2004,input_households_insulation_level_detached_1965_1984,input_households_insulation_level_detached_1945_1964,input_households_insulation_level_detached_1945,input_households_share_of_useful_demand_for_space_heating_apartments_2005,input_households_share_of_useful_demand_for_space_heating_apartments_1985_2004,input_households_share_of_useful_demand_for_space_heating_apartments_1965_1984,input_households_share_of_useful_demand_for_space_heating_apartments_1945_1964,input_households_share_of_useful_demand_for_space_heating_apartments_1945,input_households_share_of_useful_demand_for_space_heating_terraced_2005,input_households_share_of_useful_demand_for_space_heating_terraced_1985_2004,input_households_share_of_useful_demand_for_space_heating_terraced_1965_1984,input_households_share_of_useful_demand_for_space_heating_terraced_1945_1964,input_households_share_of_useful_demand_for_space_heating_terraced_1945,input_households_share_of_useful_demand_for_space_heating_semi_detached_2005,input_households_share_of_useful_demand_for_space_heating_semi_detached_1985_2004,input_households_share_of_useful_demand_for_space_heating_semi_detached_1965_1984,input_households_share_of_useful_demand_for_space_heating_semi_detached_1945_1964,input_households_share_of_useful_demand_for_space_heating_semi_detached_1945,input_households_share_of_useful_demand_for_space_heating_detached_2005,input_households_share_of_useful_demand_for_space_heating_detached_1985_2004,input_households_share_of_useful_demand_for_space_heating_detached_1965_1984,input_households_share_of_useful_demand_for_space_heating_detached_1945_1964,input_households_share_of_useful_demand_for_space_heating_detached_1945,input_buildings_insulation_level,number_of_buildings
GM0003,403,359,639,122,110,75,148,891,143,184,251,236,404,392,423,93,305,92,75,537,117.4900455,159.795573,225.3853692,247.9141892,289.9346813,130.4130664,162.0368697,205.7067043,284.8067304,285.9224713,117.0569825,158.5166675,222.0567059,227.2555179,298.8325604,114.8854471,141.965593,214.0478158,295.9548181,296.5402697,5.035682979,4.802584779,9.077933462,2.168194189,1.862995718,0.948547668,2.335525561,15.29806187,2.36769761,3.639663869,3.262961756,4.107282999,7.264916862,7.224208434,8.594985566,1.461877728,5.794686334,1.957492508,1.557384197,11.23731591,270.5855273,
GM0010,536,505,1020,462,105,64,309,2143,242,145,134,459,1515,704,495,135,636,632,448,1451,115.0078093,180.76551,229.7002361,266.3046314,226.5571977,119.0086801,176.4661089,207.5626353,258.6948596,302.2194246,117.8276361,165.9494931,220.2917573,277.9376727,310.9304496,115.8210639,139.2958433,216.4790838,296.1721254,309.6288666,4.513251547,4.742238742,8.359689358,3.895184041,0.915948779,0.559714354,2.448830913,17.53180847,1.921206345,1.195861552,1.248321569,3.701155366,12.00960781,5.581954822,4.222597703,1.235823676,5.423440621,4.850917038,3.578177878,12.06426941,270.5855273,
GM0014,9595,7854,16824,13050,22095,2644,5844,10088,1690,6261,1815,3849,4848,1538,2789,716,1656,817,680,2271,121.4206479,155.427211,190.6004876,218.0172696,223.5109001,113.5145405,151.3559976,182.5047721,223.9764835,250.5970143,115.9632288,148.2532439,195.6034685,253.2608658,276.3278959,115.8740915,141.7910185,209.23113,264.2851985,296.229548,7.675047048,6.586592827,14.72480037,11.54915457,19.4092098,2.099961725,4.993086468,8.889522522,1.452408731,5.654697405,1.391002711,3.186327778,4.161592467,1.19891682,2.166985792,0.533527169,1.354267355,0.62529886,0.521590744,1.826008837,247.1496711,13065
GM0024,47,171,152,13,19,50,26,327,33,21,96,167,491,297,215,105,329,199,225,1601,118,147.5261004,148.6196078,282.644665,403,118,161.6894866,181.5945839,185.6473373,311.111332,111.012826,155.5178816,192.6806888,250.615642,301.0645348,118.7709989,147.3726791,217.5205697,279.4905929,309.7161068,1.128627098,3.279123066,3.238127008,0.382835793,0.423719533,0.927184823,0.630553071,7.276014105,0.676715755,0.475722752,1.868577869,3.871263392,10.80015882,6.558695404,5.107996534,2.231870336,7.302352668,4.207655705,4.944967004,34.66783927,270.5855273,
GM0034,6938,13048,3881,0,0,5078,29660,7913,0,0,2372,9518,2598,0,0,2139,2827,111,0,0,118.6746261,139.6284286,152.7011357,0,0,114.019875,136.2481562,155.2823555,0,0,115.0670038,149.4520454,172.241768,0,0,115.0315639,142.1040068,173.7525908,0,0,7.583729554,15.38728837,4.521669909,0,0,5.719490534,34.97780588,9.243494374,0,0,2.636959673,11.17978917,3.023192757,0,0,2.317325794,3.269703347,0.139550634,0,0,162.7791235,4305
GM0037,476,1440,667,482,137,99,412,1816,902,21,202,1029,1218,664,422,277,940,755,470,2719,127.4717462,155.4537048,222.2701979,243.3709697,318.0363919,118,162.7895696,211.0620551,244.3655205,267.4890261,119.4807221,165.7062073,222.7417091,261.1288441,315.9601373,119.9292338,147.1207466,218.2267232,299.6466207,317.1233413,3.395084131,10.36707508,3.68146647,2.858198946,1.014687888,0.618964256,2.558228496,11.79193472,5.769408725,0.180274672,1.274908813,6.520968863,8.137661668,4.286687814,2.912809392,2.106071202,6.020616776,4.89591679,3.218903092,18.39013221,254.9080793,1995
GM0047,153,902,875,479,216,53,318,2127,459,98,204,656,1418,658,799,232,829,519,161,1674,123.5773032,143.5928852,187.402171,256.9065784,220.8231571,113.7595397,176.1297822,203.5031116,235.9892753,254.7143176,111.8221219,161.4674842,216.6704334,259.1159152,303.8814661,116.1774535,143.7841896,205.6012707,300.4803865,311.5208453,1.422988323,7.251648735,6.889361364,3.801139455,1.841982446,0.421944786,2.38640052,16.27103542,3.488493869,0.757198267,1.773597718,5.117571447,10.9694008,4.999773505,6.121066943,2.010876725,6.276371549,4.011945613,1.318177455,12.86902506,269.0762949,1773
GM0050,479,720,10,0,0,759,3170,280,1,0,555,1628,96,4,0,169,712,180,3,0,104.7061112,132.7832598,220,0,0,106.260769,153.7516207,208.594157,,0,115.7564527,157.6832647,208.8594123,,0,113.3367213,156.2466747,196.9106184,290.07,0,5.508718376,7.955102075,0.120037076,0,0,8.291986362,36.17314935,3.396721442,0.011988098,0,6.008753185,18.8924933,1.166779107,0.044206112,0,1.900519391,8.561749788,1.939543147,0.0282532,0,200.6352281,2088
GM0059,208,456,560,72,62,23,156,1436,324,16,249,731,1696,667,155,359,1258,1243,724,1690,113.3506175,144.5675049,183.239906,224.4282426,175.5345641,111.68522,179.74219,211.9769797,220.1366236,301.5566013,101.4891727,160.5332302,219.3138969,251.7073306,278.773106,113.3633252,145.7660775,222.0218794,289.9056387,312.659322,1.900768612,3.670191298,4.507574707,0.653082994,0.610263014,0.245040355,1.255650045,11.31127575,2.83336719,0.144433537,2.198897688,5.953587974,13.17931415,5.68094059,1.368024527,3.229776396,10.37165237,9.787184253,5.867209739,15.23176482,269.9653525,929
GM0060,16,135,26,16,84,4,11,31,8,13,18,125,178,66,124,84,220,244,159,178,137.4871795,157.8565368,266.9435207,307.9401893,302.0507111,,133.7810462,151.4395912,237.1876173,201.6171347,111.0709238,148.5345784,171.4713366,202.8145696,275.0650866,115.7228597,157.119812,235.3530748,268.021316,321.3968033,0.923870291,8.240538414,1.456166419,0.928386213,4.796055123,0.192290884,0.613728404,1.660693995,0.413862425,0.713224368,1.140488885,7.04964601,10.17437287,3.94240014,8.047082132,4.637269469,12.71086443,12.82784139,9.36296361,10.16825452,293.3020465,2141
