geo_id,lv_net_total_costs_present,mv_net_total_costs_present,hv_net_total_costs_present,lv_mv_trafo_total_costs_present,mv_hv_trafo_total_costs_present,households_final_demand_electricity_demand,input_buildings_electricity_demand,buildings_final_demand_network_gas_demand,agriculture_final_demand_electricity_demand,agriculture_final_demand_network_gas_demand,input_energy_chp_local_engine_network_gas_production,agriculture_final_demand_steam_hot_water_demand,input_industry_ict_electricity_demand,input_industry_chemical_other_electricity_demand,input_industry_food_electricity_demand,input_industry_metal_other_electricity_demand,input_industry_paper_electricity_demand,input_industry_other_electricity_demand,input_industry_chemical_other_network_gas_demand,input_industry_food_network_gas_demand,input_industry_metal_other_network_gas_demand,input_industry_paper_network_gas_demand,input_industry_other_network_gas_demand,energy_power_sector_own_use_electricity_demand,energy_power_hv_network_loss_demand,energy_distribution_greengas_demand
GM0482,964020.2506,828454.9028,486830.2266,343432.2143,289206.0752,79.99571193,129.4738742,106.6289,1.224,0.66465,0,0,28.7316,2.595257311,8.854407297,0,0,144.3517302,6.183700539,21.09733125,0,0,340.7388087,2.448,26.08159793,5.026746505
GM0613,706334.6466,607006.3369,356698.9966,251631.7179,211900.394,108.7768675,173.2666371,133.6263,22.69863036,0.0365241,14.59503036,18.24378795,3.2652,2.20077,0.816354,0,0,8.887276,5.702697,2.1153594,0,0,14.0315436,0,19.10990588,3.771644603
GM0484,3002497.439,2580271.237,1516261.207,1069639.713,900749.2317,476.8789086,528.8656655,616.3521,92.2320288,38.591478,27.4428288,34.303536,37.0584,30.7057716,18.1034028,0,2.000376,110.5208496,67.7280989,39.9308987,0,4.412254,162.3780984,1.6596,81.23266181,17.91372714
GM0489,1635843.432,1405802.95,826100.9334,582769.2228,490753.0297,210.6849929,352.7865778,216.70755,33.61489002,0.06972495,27.86209002,34.82761253,8.8416,2.952,5.886,0,0.09,106.6212,2.257911,4.50205425,0,0.06883875,17.066946,1.1304,44.25779506,6.22479832
GM0501,697131.5893,599097.4595,352051.4526,248353.1287,209139.4768,84.75808689,75.16354372,171.841675,714.8268,0,585.6516,1044.0645,2.6928,0.1856196,0.27297,0,0,10.1506104,0.2388942,0.351315,0,0,5.4391158,0,18.86091688,12.35451316
GM0502,1596730.439,1372190.221,806348.8717,568835.2189,479019.1317,292.8414641,305.6496021,295.70595,0.73027524,0.1166619,0.19387524,0.24234405,33.8148,0.852642,18.9042912,0,1.096254,24.4088128,1.11993525,24.8305644,0,1.43991675,12.3022836,5.76,43.1995918,6.941093849
GM0503,4295526.988,3691468.505,2169241.129,1530281.489,1288658.096,418.3580482,718.5368649,849.58095,2.44732458,0.03123855,0.58252458,0.728155725,38.5632,2.246544,535.239108,0,0,43.644348,3.9240936,934.9153002,0,0,54.0921062,10.4472,116.2156166,20.91202613
GM0505,4711965.33,4049345.205,2379542.492,1678637.649,1413589.599,488.5732703,677.6012787,904.557,3.5964,7.69095,0,0,28.0692,74.3112936,10.3015656,0,1.6002432,692.4952976,129.9961716,18.0210036,0,2.7993792,118.5882456,0,127.4823689,19.65692423
GM1924,1845212.986,1585729.909,931832.5578,657357.1261,553563.8957,219.5498306,403.7953928,396.28965,175.4545036,21.0198411,110.0137036,137.5171295,10.5876,2.0192256,44.17056,0,0,51.0606144,1.6518768,36.134805,0,0,121.0013682,3.1716,49.92229484,11.11208906
GM0518,14619056.5,12563251.68,7382623.531,5208038.877,4385716.949,2111.261416,3265.033867,3320.62305,30.95208,0,10.48248,13.1031,225.0324,14.9630442,41.1214596,0,0.4305912,218.633505,18.34198825,50.4074785,0,0.527827,200.6734563,73.1016,395.5190292,77.18876694
