geo_id,input_percentage_of_apartments,input_percentage_of_corner_houses,input_percentage_of_semi_detached_houses,input_percentage_of_detached_houses,input_percentage_of_terraced_houses,input_households_apartments_heat_demand_reduction,input_households_corner_houses_heat_demand_reduction,input_households_semi_detached_houses_heat_demand_reduction,input_households_detached_houses_heat_demand_reduction,input_households_terraced_houses_heat_demand_reduction
GM0003,0.2736040609137056,0.10947546531302876,0.17969543147208122,0.18510998307952625,0.2521150592216582,0.17,0.13,0.13,0.11,0.13
GM0005,0.13540074252020093,0.13496396593142607,0.19545752347674164,0.29526097401179296,0.2389167940598384,0.17,0.21,0.13,0.11,0.21
GM0009,0.0903674280039722,0.13637868255544522,0.1903343263819927,0.4160873882820258,0.16683217477656406,0.27,0.13,0.18,0.11,0.21
GM0010,0.2157201646090535,0.13382716049382715,0.13901234567901236,0.27242798353909464,0.23901234567901236,0.17,0.21,0.13,0.11,0.21
GM0014,0.6317106212979718,0.07113827167818683,0.03140605377396738,0.029517339582900714,0.2362277136669732,0.17,0.21,0.18,0.17,0.21
GM0015,0.07809676771732584,0.10861272836779763,0.1224653683999197,0.5765910459747039,0.11423408954025295,0.27,0.21,0.18,0.11,0.21
GM0017,0.23025946310232506,0.12040885094911828,0.24980343704369315,0.195552061102999,0.20397618780186452,0.17,0.21,0.09,0.11,0.21
GM0022,0.13609398627428174,0.15633360474584154,0.15307665464696987,0.31580783994416656,0.23868791438874026,0.27,0.21,0.18,0.11,0.21
GM0024,0.08374918637448471,0.09698416142330224,0.18333694944673465,0.532002603601649,0.10392709915382946,0.17,0.21,0.13,0.11,0.21
GM0025,0.0661781543393634,0.09594687428440576,0.1561712846347607,0.570185482024273,0.11151820471719716,0.17,0.21,0.18,0.11,0.21
GM0034,0.2641190765492102,0.14127582017010934,0.029416767922235718,0.05438639125151883,0.5108019441069259,0.27,0.29,0.29,0.37,0.29
GM0037,0.2297271513070025,0.10519620937480123,0.12612096928067162,0.32621001081218604,0.21274565922533867,0.17,0.21,0.13,0.11,0.13
GM0047,0.20294624666980096,0.13837956433160947,0.15428616204356685,0.2660241341482526,0.2383638928067701,0.17,0.13,0.13,0.11,0.13
GM0050,0.1381704980842912,0.17863984674329506,0.0763888888888889,0.12320402298850575,0.4835967432950192,0.32,0.29,0.29,0.17,0.29
GM0053,0.0636042402826855,0.1393235739525492,0.23001850917045266,0.3513377082281676,0.21571596836614504,0.27,0.21,0.13,0.11,0.21
GM0056,0.0818193531761371,0.13258600695786624,0.2499677876562299,0.35794356397371474,0.17768328823605206,0.27,0.21,0.18,0.11,0.21
GM0058,0.10630712979890312,0.1522851919561243,0.1847349177330896,0.350091407678245,0.206581352833638,0.17,0.13,0.13,0.11,0.13
GM0059,0.11204996326230712,0.1645113886847906,0.14871418074944892,0.38765613519470976,0.1870683321087436,0.17,0.13,0.18,0.11,0.13
GM0060,0.15073313782991202,0.03695014662756598,0.26099706744868034,0.5120234604105571,0.03929618768328446,0.17,0.13,0.13,0.11,0.21
GM0072,0.21069265209375826,0.18396102185936267,0.1196997629707664,0.11258888596260204,0.3730576771135107,0.17,0.21,0.13,0.17,0.21
GM0074,0.24065962380829686,0.11281456669243325,0.15404105471098514,0.28880013742162675,0.20368461736665808,0.17,0.21,0.13,0.11,0.21
GM0079,0.08732907930720146,0.10082041932543302,0.23865086599817684,0.445943482224248,0.12725615314494074,0.17,0.13,0.13,0.11,0.13
GM0080,0.3433733949328379,0.13927297239531095,0.0929418147740164,0.10443417786034888,0.3199776400374858,0.17,0.13,0.13,0.17,0.13
GM0085,0.09392265193370164,0.12555694172161824,0.17287471039030475,0.4375334165032971,0.17011227945107826,0.27,0.21,0.13,0.11,0.21
GM0086,0.12378508669621335,0.090583935930332,0.18334499650104968,0.4732135914781121,0.12907238939429286,0.27,0.21,0.13,0.11,0.21
GM0088,0.08635578583765112,0.04145077720207254,0.3937823834196891,0.3471502590673575,0.13126079447322972,0.17,0.13,0.13,0.11,0.21
GM0090,0.20428711897738447,0.14257620452310718,0.13392330383480827,0.21254670599803346,0.30666666666666664,0.17,0.21,0.18,0.17,0.21
GM0093,0.10684326710816776,0.13200883002207506,0.17262693156732892,0.4101545253863135,0.17836644591611478,0.27,0.13,0.09,0.11,0.13
GM0096,0.14363636363636365,0.20363636363636364,0.18545454545454546,0.18,0.2872727272727273,0.08,0.13,0.13,0.11,0.21
GM0098,0.11001998783349266,0.12131745893803772,0.16129312592335102,0.4204397323368385,0.18692969496828016,0.17,0.21,0.13,0.11,0.21
