geo_id,input_industry_chemical_fertilizers_scaling_factor,input_industry_chemical_refineries_scaling_factor,input_industry_chemical_other_electricity_demand,input_industry_chemical_other_network_gas_demand,input_industry_chemical_other_steam_hot_water_demand,input_industry_chemical_other_wood_pellets_demand,input_industry_chemical_other_crude_oil_demand,input_industry_chemical_other_coal_demand,input_industry_chemical_other_network_gas_non_energetic_demand,input_industry_chemical_other_wood_pellets_non_energetic_demand,input_industry_chemical_other_crude_oil_non_energetic_demand,input_industry_chemical_other_coal_non_energetic_demand,input_industry_food_electricity_demand,input_industry_food_network_gas_demand,input_industry_food_steam_hot_water_demand,input_industry_food_wood_pellets_demand,input_industry_food_crude_oil_demand,input_industry_food_coal_demand,input_industry_ict_electricity_demand,input_industry_metal_steel_scaling_factor,input_industry_metal_aluminium_scaling_factor,input_industry_metal_other_electricity_demand,input_industry_metal_other_network_gas_demand,input_industry_metal_other_steam_hot_water_demand,input_industry_metal_other_wood_pellets_demand,input_industry_metal_other_crude_oil_demand,input_industry_metal_other_coal_demand,input_industry_other_electricity_demand,input_industry_other_network_gas_demand,input_industry_other_steam_hot_water_demand,input_industry_other_wood_pellets_demand,input_industry_other_crude_oil_demand,input_industry_other_coal_demand,input_industry_other_network_gas_non_energetic_demand,input_industry_other_wood_pellets_non_energetic_demand,input_industry_other_crude_oil_non_energetic_demand,input_industry_other_coal_non_energetic_demand,input_industry_paper_electricity_demand,input_industry_paper_network_gas_demand,input_industry_paper_steam_hot_water_demand,input_industry_paper_wood_pellets_demand,input_industry_paper_crude_oil_demand,input_industry_paper_coal_demand
GM1708,0,0,0,0,0,0,0,0,0,0,0,0,91.68818401,71.69695973,0,0,0,0,0,0,0,0,0,0,0,0,0,70.29049535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0180,0,0,0,0,0,0,0,0,0,0,0,0,63.85585543,161.3659574,0,0,0,0,0,0,0,0,0,0,0,0,0,48.95352392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0148,0,0,0,0,0,0,0,0,0,0,0,0,4.811471959,134.6946883,0,0,0,0,0,0,0,0,0,0,0,0,0,3.688596857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0166,0,0,17.62880064,23.15324008,0,0,0,0,0,0,0,0,100.9369808,385.8459234,0,0,0,0,4.408521005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.234294402,4.203046418,0,0,0,0
GM0193,0,0,46.96556964,34.041788,0,0,0,0,0,0,0,0,268.9101146,567.3022472,0,0,0,0,11.74491132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.616608813,6.179662744,0,0,0,0
GM1773,0,0,4.860812312,5.504576911,0,0,0,0,0,0,0,0,27.83148604,91.7331032,0,0,0,0,1.215567276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891796235,0.999255059,0,0,0,0
GM1896,0,0,48.1955748,33.0290077,0,0,0,0,0,0,0,0,275.9527382,550.4243869,0,0,0,0,12.05250477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.842273558,5.995811041,0,0,0,0
GM0150,0,0,708.1955769,522.7308266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7562773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.9301658,94.89220174,0,0,0,0
GM0177,0,0,211.4761817,139.3707397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.809186195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.79879547,25.30020361,0,0,0,0
GM0160,0,0,228.7116371,40.72902403,0,0,0,0,0,0,0,0,187.0196549,64.85848013,114.0593471,0,0,0,0,0,0,0,0,0,0,0,0,881.5963933,135.1848531,0,0,0,0,0,0,0,0,41.96092421,7.393607892,0,0,0,0
GM0175,0,0,24.39177626,35.4645965,0,0,0,0,0,0,0,0,19.94538466,56.47520122,99.31661312,0,0,0,0,0,0,0,0,0,0,0,0,94.0210225,117.7115431,0,0,0,0,0,0,0,0,4.475073887,6.437947553,0,0,0,0
GM0163,0,0,189.5922476,270.6854296,0,0,0,0,0,0,0,0,105.1144515,144.4629018,0,0,0,0,0,0,0.003995348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.153814914,3.176777628,0,0,0,0
GM1742,0,0,95.76149046,94.02854273,0,0,0,0,0,0,0,0,53.09244801,50.1823691,0,0,0,0,0,0,0.002001645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.118425089,1.103523641,0,0,0,0
GM1700,0,0,118.7464115,110.6392049,0,0,0,0,0,0,0,0,65.83583491,59.04736219,0,0,0,0,0,0,0.002479801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.106940148,1.298467197,0,0,0,0
GM0141,0,0,115.2515998,186.9894466,0,0,0,0,0,0,0,0,227.7486046,242.8017854,0,0,0,0,8.601713553,0,0.002437346,0,0,0,0,0,0,904.6218288,68.26746235,0,0,0,0,0,0,0,0,4.956638393,2.19451742,0,0,0,0
