geo_id,interconnector_capacity
GM0003,60000
GM0005,60000
GM0009,60000
GM0010,60000
GM0014,60000
GM0015,60000
GM0017,60000
GM0022,60000
GM0024,60000
GM0025,60000
GM0034,60000
GM0037,60000
GM0047,60000
GM0050,60000
GM0053,60000
GM0056,60000
GM0058,60000
GM0059,60000
GM0060,60000
GM0072,60000
GM0074,60000
GM0079,60000
GM0080,60000
GM0085,60000
GM0086,60000
GM0088,60000
GM0090,60000
GM0093,60000
GM0096,60000
GM0098,60000
GM0106,60000
GM0109,60000
GM0114,60000
GM0118,60000
GM0119,60000
GM0141,60000
GM0147,60000
GM0148,60000
GM0150,60000
GM0153,60000
GM0158,60000
GM0160,60000
GM0163,60000
GM0164,60000
GM0166,60000
GM0168,60000
GM0171,60000
GM0173,60000
GM0175,60000
GM0177,60000
GM0180,60000
GM0183,60000
GM0184,60000
GM0189,60000
GM0193,60000
GM0197,60000
GM0200,60000
GM0202,60000
GM0203,60000
GM0209,60000
GM0213,60000
GM0214,60000
GM0216,60000
GM0221,60000
GM0222,60000
GM0225,60000
GM0226,60000
GM0228,60000
GM0230,60000
GM0232,60000
GM0233,60000
GM0236,60000
GM0243,60000
GM0244,60000
GM0246,60000
GM0252,60000
GM0262,60000
GM0263,60000
GM0267,60000
GM0268,60000
GM0269,60000
GM0273,60000
GM0274,60000
GM0275,60000
GM0277,60000
GM0279,60000
GM0281,60000
GM0285,60000
GM0289,60000
GM0293,60000
GM0294,60000
GM0296,60000
GM0297,60000
GM0299,60000
GM0301,60000
GM0302,60000
GM0303,60000
GM0304,60000
GM0307,60000
GM0308,60000
GM0310,60000
GM0312,60000
GM0313,60000
GM0317,60000
GM0321,60000
GM0327,60000
GM0331,60000
GM0335,60000
GM0339,60000
GM0340,60000
GM0342,60000
GM0344,60000
GM0345,60000
GM0351,60000
GM0352,60000
GM0353,60000
GM0355,60000
GM0356,60000
GM0358,60000
GM0361,60000
GM0362,60000
GM0363,60000
GM0370,60000
GM0373,60000
GM0375,60000
GM0376,60000
GM0377,60000
GM0383,60000
GM0384,60000
GM0385,60000
GM0388,60000
GM0392,60000
GM0393,60000
GM0394,60000
GM0396,60000
GM0397,60000
GM0398,60000
GM0399,60000
GM0400,60000
GM0402,60000
GM0405,60000
GM0406,60000
GM0415,60000
GM0416,60000
GM0417,60000
GM0420,60000
GM0431,60000
GM0432,60000
GM0437,60000
GM0439,60000
GM0441,60000
GM0448,60000
GM0450,60000
GM0451,60000
GM0453,60000
GM0457,60000
GM0473,60000
GM0479,60000
GM0482,60000
GM0484,60000
GM0489,60000
GM0498,60000
GM0501,60000
GM0502,60000
GM0503,60000
GM0505,60000
GM0512,60000
GM0513,60000
GM0518,60000
GM0523,60000
GM0530,60000
GM0531,60000
GM0532,60000
GM0534,60000
GM0537,60000
GM0542,60000
GM0545,60000
GM0546,60000
GM0547,60000
GM0553,60000
GM0556,60000
GM0569,60000
GM0575,60000
GM0576,60000
GM0579,60000
GM0584,60000
GM0585,60000
GM0588,60000
GM0589,60000
GM0590,60000
GM0597,60000
GM0599,60000
GM0603,60000
GM0606,60000
GM0610,60000
GM0611,60000
GM0613,60000
GM0614,60000
GM0617,60000
GM0620,60000
GM0622,60000
GM0626,60000
GM0627,60000
GM0629,60000
GM0632,60000
GM0637,60000
GM0638,60000
GM0642,60000
GM0654,60000
GM0664,60000
GM0668,60000
GM0677,60000
GM0678,60000
GM0687,60000
GM0689,60000
GM0703,60000
GM0707,60000
GM0715,60000
GM0716,60000
GM0717,60000
GM0718,60000
GM0733,60000
GM0736,60000
GM0737,60000
GM0738,60000
GM0743,60000
GM0744,60000
GM0748,60000
GM0753,60000
GM0755,60000
GM0756,60000
GM0757,60000
GM0758,60000
GM0762,60000
GM0765,60000
GM0766,60000
GM0770,60000
GM0772,60000
GM0777,60000
GM0779,60000
GM0784,60000
GM0785,60000
GM0786,60000
GM0788,60000
GM0794,60000
GM0796,60000
GM0797,60000
GM0798,60000
GM0809,60000
GM0815,60000
GM0820,60000
GM0823,60000
GM0824,60000
GM0826,60000
GM0828,60000
GM0840,60000
GM0845,60000
GM0847,60000
GM0848,60000
GM0851,60000
GM0852,60000
GM0855,60000
GM0856,60000
GM0858,60000
GM0861,60000
GM0865,60000
GM0866,60000
GM0867,60000
GM0870,60000
GM0873,60000
GM0874,60000
GM0879,60000
GM0880,60000
GM0881,60000
GM0882,60000
GM0888,60000
GM0889,60000
GM0893,60000
GM0899,60000
GM0907,60000
GM0917,60000
GM0928,60000
GM0935,60000
GM0938,60000
GM0944,60000
GM0946,60000
GM0951,60000
GM0957,60000
GM0962,60000
GM0965,60000
GM0971,60000
GM0981,60000
GM0983,60000
GM0984,60000
GM0986,60000
GM0988,60000
GM0994,60000
GM0995,60000
GM1507,60000
GM1509,60000
GM1525,60000
GM1581,60000
GM1586,60000
GM1598,60000
GM1621,60000
GM1640,60000
GM1641,60000
GM1651,60000
GM1652,60000
GM1655,60000
GM1658,60000
GM1659,60000
GM1663,60000
GM1667,60000
GM1669,60000
GM1674,60000
GM1676,60000
GM1680,60000
GM1681,60000
GM1684,60000
GM1685,60000
GM1690,60000
GM1695,60000
GM1696,60000
GM1699,60000
GM1700,60000
GM1701,60000
GM1702,60000
GM1705,60000
GM1706,60000
GM1708,60000
GM1709,60000
GM1711,60000
GM1714,60000
GM1719,60000
GM1721,60000
GM1722,60000
GM1723,60000
GM1724,60000
GM1728,60000
GM1729,60000
GM1730,60000
GM1731,60000
GM1734,60000
GM1735,60000
GM1740,60000
GM1742,60000
GM1771,60000
GM1773,60000
GM1774,60000
GM1783,60000
GM1842,60000
GM1859,60000
GM1876,60000
GM1883,60000
GM1884,60000
GM1891,60000
GM1892,60000
GM1894,60000
GM1895,60000
GM1896,60000
GM1900,60000
GM1901,60000
GM1903,60000
GM1904,60000
GM1911,60000
GM1916,60000
GM1924,60000
GM1926,60000
GM1927,60000
GM1930,60000
GM1931,60000
GM1940,60000
GM1942,60000
GM1945,60000
GM1948,60000
GM1949,60000
GM1950,60000
GM1952,60000
GM1954,60000
GM1955,60000
GM1959,60000
GM1960,60000
GM1961,60000
GM1963,60000
GM1966,60000
GM1969,60000
GM1970,60000
GM1978,60000
