non_energetic_emissions_co2_other_industry,0.001884126,New attribute (added to ETM in April 2021). Set to zero.
non_energetic_emissions_co2_agriculture_manure,4.74e-05,New attribute (added to ETM in April 2021). Set to zero.
non_energetic_emissions_co2_agriculture_soil_cultivation,3.12e-05,New attribute (added to ETM in April 2021). Set to zero.
indirect_emissions_co2,0.001195092,New attribute (added to ETM in April 2021). Set to zero.
non_energetic_emissions_other_ghg_chemical_industry,0.0,New attribute (added to ETM in April 2021). Set to zero.
non_energetic_emissions_other_ghg_waste_management,0.001940874,New attribute (added to ETM in April 2021). Set to zero.
non_energetic_emissions_other_ghg_other_industry,0.001764184,Schatting Quintel op basis van emissiegegevens. URL: http://www.emissieregistratie.nl
non_energetic_emissions_other_ghg_agriculture_manure,0.003539774,New attribute (added to ETM in April 2021). Set to zero.
non_energetic_emissions_other_ghg_agriculture_soil_cultivation,0.003202221,New attribute (added to ETM in April 2021). Set to zero.
non_energetic_emissions_other_ghg_agriculture_fermentation,0.009075763,New attribute (added to ETM in April 2021). Set to zero.
non_energetic_emissions_other_ghg_agriculture_other,0.0,Schatting Quintel op basis van emissiegegevens. URL: http://www.emissieregistratie.nl
total_land_area,40.96,Toevoeging totale oppervlakte op basis van CBS data.
areable_land,19.33,CBS (2016)
offshore_suitable_for_wind,30060.0,Schatting Quintel op basis van landelijke data
coast_line,0.0,Schatting Quintel. Zie refman.energytransitionmodel.com/publications/2098 voor een overzicht van onze schattingsmethoden.
lv_net_total_costs_present,1898130.565,"Schatting Quintel. Gebaseerd op het totaal elektriciteitsgebruik in dit gebied (Klimaatmonitor) en de kosten van het elektriciteitsnet volgens 'Net voor de Toekomst' (2017, CE Delft). URL: https://www.ce.nl/publicaties/2030/net-voor-de-toekomst"
mv_net_total_costs_present,1631205.954,"Schatting Quintel. Gebaseerd op het totaal elektriciteitsgebruik in dit gebied (Klimaatmonitor) en de kosten van het elektriciteitsnet volgens 'Net voor de Toekomst' (2017, CE Delft). URL: https://www.ce.nl/publicaties/2030/net-voor-de-toekomst"
hv_net_total_costs_present,958555.9354,"Schatting Quintel. Gebaseerd op het totaal elektriciteitsgebruik in dit gebied (Klimaatmonitor) en de kosten van het elektriciteitsnet volgens 'Net voor de Toekomst' (2017, CE Delft). URL: https://www.ce.nl/publicaties/2030/net-voor-de-toekomst"
lv_mv_trafo_total_costs_present,676209.0138,"Schatting Quintel. Gebaseerd op het totaal elektriciteitsgebruik in dit gebied (Klimaatmonitor) en de kosten van het elektriciteitsnet volgens 'Net voor de Toekomst' (2017, CE Delft). URL: https://www.ce.nl/publicaties/2030/net-voor-de-toekomst"
mv_hv_trafo_total_costs_present,569439.1695,"Schatting Quintel. Gebaseerd op het totaal elektriciteitsgebruik in dit gebied (Klimaatmonitor) en de kosten van het elektriciteitsnet volgens 'Net voor de Toekomst' (2017, CE Delft). URL: https://www.ce.nl/publicaties/2030/net-voor-de-toekomst"
offshore_net_costs_present,0.0,Standaardwaarden op basis van Nederlandse gemiddelden
interconnection_net_costs_present,0.0,Standaardwaarden op basis van Nederlandse gemiddelden
annual_infrastructure_cost_gas,2502810.889,
lv_net_spare_capacity,0.25,Standaardwaarden op basis van Nederlandse gemiddelden
mv_net_spare_capacity,0.25,Standaardwaarden op basis van Nederlandse gemiddelden
hv_net_spare_capacity,0.25,Standaardwaarden op basis van Nederlandse gemiddelden
lv_mv_trafo_spare_capacity,0.25,Standaardwaarden op basis van Nederlandse gemiddelden
mv_hv_trafo_spare_capacity,0.25,Standaardwaarden op basis van Nederlandse gemiddelden
interconnector_capacity,60000.0,
lv_net_capacity_per_step,0.02,Standaardwaarden op basis van Nederlandse gemiddelden
lv_net_costs_per_capacity_step,18320.0,Standaardwaarden op basis van Nederlandse gemiddelden
mv_net_capacity_per_step,0.2,Standaardwaarden op basis van Nederlandse gemiddelden
mv_net_costs_per_capacity_step,138000.0,Standaardwaarden op basis van Nederlandse gemiddelden
hv_net_capacity_per_step,0.2,Standaardwaarden op basis van Nederlandse gemiddelden
hv_net_costs_per_capacity_step,72800.0,Standaardwaarden op basis van Nederlandse gemiddelden
lv_mv_trafo_capacity_per_step,0.02,Standaardwaarden op basis van Nederlandse gemiddelden
lv_mv_trafo_costs_per_capacity_step,4000.0,Standaardwaarden op basis van Nederlandse gemiddelden
mv_hv_trafo_capacity_per_step,0.2,Standaardwaarden op basis van Nederlandse gemiddelden
mv_hv_trafo_costs_per_capacity_step,50000.0,Standaardwaarden op basis van Nederlandse gemiddelden
