geo_id,name,country,lv_net_total_costs_present,mv_net_total_costs_present,hv_net_total_costs_present,lv_mv_trafo_total_costs_present,mv_hv_trafo_total_costs_present,households_final_demand_electricity_demand,input_buildings_electricity_demand,buildings_final_demand_network_gas_demand,agriculture_final_demand_electricity_demand,agriculture_final_demand_network_gas_demand,input_energy_chp_local_engine_network_gas_production,agriculture_final_demand_steam_hot_water_demand,input_industry_ict_electricity_demand,input_industry_chemical_other_electricity_demand,input_industry_food_electricity_demand,input_industry_metal_other_electricity_demand,input_industry_paper_electricity_demand,input_industry_other_electricity_demand,input_industry_chemical_other_network_gas_demand,input_industry_food_network_gas_demand,input_industry_metal_other_network_gas_demand,input_industry_paper_network_gas_demand,input_industry_other_network_gas_demand,energy_power_sector_own_use_electricity_demand,energy_power_hv_network_loss_demand,energy_distribution_greengas_demand
GM1959,Altena,nl2019,1955649.673,1680636.438,987603.0849,696700.196,586694.9019,256.7279476,218.522862,229.0827,100.755855,82.3928625,41.103855,51.37981875,11.1312,5.7345264,114.8455152,0,0.4649616,179.6057968,5.7217503,114.5896479,0,0.4639257,62.9894761,0.4356,52.91016287,10.36409904
GM1954,Beekdaelen,nl2019,1033043.18,887771.483,521686.806,368021.633,309912.954,195.682371,140.435221,168.99645,12.6734309,9.7302228,0.31103088,0.3887886,6.7572,2.19132,56.6091,0,0,31.85118,4.246164,109.69257,0,0,36.557016,0.2268,27.9490154,7.64471158
GM1979,Eemsdelta,nl2019,17727389.1,15234475,8952331.493,6315382.365,5318216.728,203.0762325,178.3720438,337.8321,49.4632989,59.57590275,0.3628989,0.453623625,8.2116,3124.754725,6.2935644,0,0,844.510711,13978.77797,28.15463842,0,0,85.61024604,0,479.6150646,101.023774
GM1963,Hoeksche Waard,nl2019,2606765.976,2240189.51,1316416.818,928660.379,782029.7928,398.8833125,344.7028155,392.0802,207.3344265,20.61918375,141.7100265,177.1375331,15.0876,30.899304,148.8540384,0,13.1657904,107.4144672,34.00618425,163.8210963,0,14.48959155,114.7086779,2.3148,70.52613474,16.61425295
GM1966,Het Hogeland,nl2019,7748974.234,6659274.732,3913231.988,2760572.071,2324692.27,206.3057071,2146.332003,302.7639,116.4794156,61.9310109,14.05581564,17.56976955,421.3476,1.2814416,407.4984288,0,0,68.5945296,4.7108493,1498.050077,0,0,79.4046233,0,209.6487394,19.82807448
GM1978,Molenlanden,nl2019,1555316.681,1336600.273,785434.924,554081.5677,466595.0043,186.3572701,159.3713606,171.44805,49.25494236,30.2242941,0.58294236,0.72867795,5.436,20.6325144,70.1123406,0,0,168.886945,33.02478,112.223095,0,0,177.402425,1.746,42.07914129,8.272262533
GM1970,Noardeast-Fryslan,nl2019,1615136.554,1388007.976,815643.9595,575392.3972,484540.966,185.1517206,160.9030771,246.90165,82.53779832,75.7051542,0.36779832,0.4597479,34.8444,4.0226904,75.057516,0,0,152.5581936,9.2853356,173.250774,0,0,58.9375904,5.9292,43.6975698,9.812614867
GM1961,Vijfheerenlanden,nl2019,2655082.027,2281711.117,1340816.424,945872.972,796524.608,239.6632864,274.0181248,306.59355,38.18088342,29.31464145,0.03528342,0.044104275,13.5216,1.0667016,57.0685356,0,0,523.9291628,3.5774628,191.3942598,0,0,1629.031877,1.0476,71.833327,19.85976898
GM1960,West Betuwe,nl2019,2500930.817,2149237.421,1262970.063,890956.6036,750279.2451,243.7468605,366.938735,387.2061,546.9414894,299.0105265,382.9344894,478.6681118,14.9112,2.938032,150.329304,0,0,122.683464,12.5151696,640.3595112,0,0,410.5724692,0.4428,67.66276122,23.58070239
GM1969,Westerkwartier,nl2019,3163550.942,2718676.59,1597593.226,1127015.023,949065.2825,275.359693,665.0606767,292.66755,87.65133144,120.5268714,3.79653144,4.7456643,10.11384,1.8467352,146.1229227,0,0,101.4302421,2.622114,207.4747703,0,0,139.3792658,1.584,85.58996934,13.93289889
