geo_id,has_merit_order,has_mountains,has_offshore_solar,has_solar_csp,has_weather_curves
GM0362,TRUE,FALSE,TRUE,FALSE,TRUE
GM0363,TRUE,FALSE,TRUE,FALSE,TRUE
GM0373,TRUE,FALSE,TRUE,FALSE,TRUE
GM0375,TRUE,FALSE,TRUE,FALSE,TRUE
GM0376,TRUE,FALSE,TRUE,FALSE,TRUE
GM0377,TRUE,FALSE,TRUE,FALSE,TRUE
GM0383,TRUE,FALSE,TRUE,FALSE,TRUE
GM0384,TRUE,FALSE,TRUE,FALSE,TRUE
GM0385,TRUE,FALSE,TRUE,FALSE,TRUE
GM0388,TRUE,FALSE,TRUE,FALSE,TRUE
GM0392,TRUE,FALSE,TRUE,FALSE,TRUE
GM0394,TRUE,FALSE,TRUE,FALSE,TRUE
GM0396,TRUE,FALSE,TRUE,FALSE,TRUE
GM0397,TRUE,FALSE,TRUE,FALSE,TRUE
GM0399,TRUE,FALSE,TRUE,FALSE,TRUE
GM0400,TRUE,FALSE,TRUE,FALSE,TRUE
GM0402,TRUE,FALSE,TRUE,FALSE,TRUE
GM0405,TRUE,FALSE,TRUE,FALSE,TRUE
GM0406,TRUE,FALSE,TRUE,FALSE,TRUE
GM0415,TRUE,FALSE,TRUE,FALSE,TRUE
GM0417,TRUE,FALSE,TRUE,FALSE,TRUE
GM0420,TRUE,FALSE,TRUE,FALSE,TRUE
GM0431,TRUE,FALSE,TRUE,FALSE,TRUE
GM0432,TRUE,FALSE,TRUE,FALSE,TRUE
GM0437,TRUE,FALSE,TRUE,FALSE,TRUE
GM0439,TRUE,FALSE,TRUE,FALSE,TRUE
GM0441,TRUE,FALSE,TRUE,FALSE,TRUE
GM0448,TRUE,FALSE,TRUE,FALSE,TRUE
GM0450,TRUE,FALSE,TRUE,FALSE,TRUE
GM0451,TRUE,FALSE,TRUE,FALSE,TRUE
GM0453,TRUE,FALSE,TRUE,FALSE,TRUE
GM0473,TRUE,FALSE,TRUE,FALSE,TRUE
GM0479,TRUE,FALSE,TRUE,FALSE,TRUE
GM0482,TRUE,FALSE,TRUE,FALSE,TRUE
GM0484,TRUE,FALSE,TRUE,FALSE,TRUE
GM0489,TRUE,FALSE,TRUE,FALSE,TRUE
GM0498,TRUE,FALSE,TRUE,FALSE,TRUE
GM0502,TRUE,FALSE,TRUE,FALSE,TRUE
GM0503,TRUE,FALSE,TRUE,FALSE,TRUE
GM0505,TRUE,FALSE,TRUE,FALSE,TRUE
GM0512,TRUE,FALSE,TRUE,FALSE,TRUE
GM0513,TRUE,FALSE,TRUE,FALSE,TRUE
GM0518,TRUE,FALSE,TRUE,FALSE,TRUE
GM0523,TRUE,FALSE,TRUE,FALSE,TRUE
GM0531,TRUE,FALSE,TRUE,FALSE,TRUE
GM0532,TRUE,FALSE,TRUE,FALSE,TRUE
GM0534,TRUE,FALSE,TRUE,FALSE,TRUE
GM0537,TRUE,FALSE,TRUE,FALSE,TRUE
GM0542,TRUE,FALSE,TRUE,FALSE,TRUE
GM0546,TRUE,FALSE,TRUE,FALSE,TRUE
GM0547,TRUE,FALSE,TRUE,FALSE,TRUE
GM0553,TRUE,FALSE,TRUE,FALSE,TRUE
GM0556,TRUE,FALSE,TRUE,FALSE,TRUE
GM0569,TRUE,FALSE,TRUE,FALSE,TRUE
GM0575,TRUE,FALSE,TRUE,FALSE,TRUE
GM0579,TRUE,FALSE,TRUE,FALSE,TRUE
GM0589,TRUE,FALSE,TRUE,FALSE,TRUE
GM0590,TRUE,FALSE,TRUE,FALSE,TRUE
GM0597,TRUE,FALSE,TRUE,FALSE,TRUE
GM0599,TRUE,FALSE,TRUE,FALSE,TRUE
GM0603,TRUE,FALSE,TRUE,FALSE,TRUE
GM0606,TRUE,FALSE,TRUE,FALSE,TRUE
GM0610,TRUE,FALSE,TRUE,FALSE,TRUE
GM0613,TRUE,FALSE,TRUE,FALSE,TRUE
GM0622,TRUE,FALSE,TRUE,FALSE,TRUE
GM0626,TRUE,FALSE,TRUE,FALSE,TRUE
GM0627,TRUE,FALSE,TRUE,FALSE,TRUE
GM0629,TRUE,FALSE,TRUE,FALSE,TRUE
GM0632,TRUE,FALSE,TRUE,FALSE,TRUE
GM0637,TRUE,FALSE,TRUE,FALSE,TRUE
GM0638,TRUE,FALSE,TRUE,FALSE,TRUE
GM0642,TRUE,FALSE,TRUE,FALSE,TRUE
GM0654,TRUE,FALSE,TRUE,FALSE,TRUE
GM0664,TRUE,FALSE,TRUE,FALSE,TRUE
GM0668,TRUE,FALSE,TRUE,FALSE,TRUE
GM0677,TRUE,FALSE,TRUE,FALSE,TRUE
GM0678,TRUE,FALSE,TRUE,FALSE,TRUE
GM0687,TRUE,FALSE,TRUE,FALSE,TRUE
GM0703,TRUE,FALSE,TRUE,FALSE,TRUE
GM0715,TRUE,FALSE,TRUE,FALSE,TRUE
GM0716,TRUE,FALSE,TRUE,FALSE,TRUE
GM0717,TRUE,FALSE,TRUE,FALSE,TRUE
GM0718,TRUE,FALSE,TRUE,FALSE,TRUE
