geo_id,lv_net_total_costs_present,mv_net_total_costs_present,hv_net_total_costs_present,lv_mv_trafo_total_costs_present,mv_hv_trafo_total_costs_present,households_final_demand_electricity_demand,input_buildings_electricity_demand,buildings_final_demand_network_gas_demand,agriculture_final_demand_electricity_demand,agriculture_final_demand_network_gas_demand,agriculture_chp_engine_network_gas_demand,input_industry_ict_electricity_demand,input_industry_chemical_other_electricity_demand,input_industry_food_electricity_demand,input_industry_metal_other_electricity_demand,input_industry_paper_electricity_demand,input_industry_other_electricity_demand,input_industry_chemical_other_network_gas_demand,input_industry_food_network_gas_demand,input_industry_metal_other_network_gas_demand,input_industry_paper_network_gas_demand,input_industry_other_network_gas_demand,energy_power_sector_own_use_electricity_demand,energy_power_hv_network_loss_demand,energy_distribution_greengas_demand
GM0888,722241.6123,620676.3855,364732.0142,257298.5744,216672.4837,82.59948133,146.8231271,142.9662,3.321799038,1.7786034,0.2153466,8.8308,0.1782,2.1681,0,0,57.5433,0.8579682,10.4386131,0,0,137.7432687,0,16.20707093,2.710496528
GM1954,1091596.443,938090.6934,551256.2039,388881.2329,327478.933,200.4988951,158.9946363,205.9157,11.09492361,8.122023,0.518427,5.2092,1.515456,48.557736,0,0,35.722008,3.156138,101.1279218,0,0,37.15979025,0,24.49537757,5.095896022
GM0889,569324.0071,489262.8186,287508.6236,202821.6775,170797.2021,70.90696071,40.78660777,96.4059,51.31228049,5.626607,34.563443,2.9088,0.8752084,18.3793764,0,20.9254372,41.551578,1.39364445,29.26653345,0,33.32077185,64.42310025,2.4228,12.7756064,2.178150134
GM0893,621080.735,533741.2566,313645.7712,221260.0118,186324.2205,70.55855057,74.27848,77.51085,223.5355933,107.5315713,402.0967287,2.2716,0.313746,5.8984248,0,0,59.7266292,0.485511,9.1276068,0,0,98.2477322,0,13.93702517,3.978374964
GM0899,863396.3248,741981.2166,436015.144,307584.9407,259018.8974,150.8588076,141.6167075,181.4105,1.371837146,0.46560315,1.02194685,3.9924,0.2196024,5.1057558,0,0,60.4803618,0.1822234,4.23669405,0,0,45.37803255,0,19.37457665,3.437901144
GM1711,1166878.957,1002786.603,589273.8731,415700.6283,350063.687,170.4859405,148.7783125,233.7036,28.93412507,12.22699635,0.21145365,7.1748,17.403012,20.856528,0,10.631412,83.171448,46.89279825,56.198373,0,28.64657325,158.1202055,1.17,26.18471395,5.193425132
GM1903,997493.3017,857220.8061,503734.1173,355356.9887,299247.9905,134.2423529,112.6388305,176.40655,16.77204584,10.8581655,1.9917345,3.9996,135.1549584,9.8893872,0,0,11.2208544,601.6134344,44.0204952,0,0,25.1096204,0.1296,22.38370709,5.941148313
GM0907,1336264.612,1148352.401,674813.6289,476044.2679,400879.3835,87.60470621,115.006828,206.38965,13.68399105,6.206565,0.503235,1.8324,3.306046,56.202782,0,226.1335464,60.4254256,1.1632525,19.7752925,0,79.566471,19.090534,0,29.98572082,2.808025639
GM1729,489336.3367,420523.4143,247114.85,174326.0699,146800.901,75.84902082,69.97912569,135.43035,11.9656053,4.19679,0.55071,3.4092,0.4031424,32.3185824,0,0,14.0846752,0.989379,79.3152165,0,0,4.8655545,0,10.9806865,2.344762364
GM0917,3961742.264,3404622.258,2000679.843,1411370.682,1188522.679,442.1911728,679.2512933,1210.49856,5.503825529,4.25366505,0.08238495,37.062,197.415,36.32436,0,38.69334,194.8681,74.16902,13.64709968,0,14.53712792,60.5121424,29.3976,88.90132721,13.12579278
GM1507,2630182.81,2260313.352,1328242.319,937002.6259,789054.8428,222.6662685,261.029261,410.9436,1341.431087,645.2085128,2197.119737,7.2756,1.9176762,123.777282,0,3.3123498,89.156892,2.96880155,191.6226455,0,5.12792995,81.703773,0.7308,59.02118992,17.97380232
GM0928,2441976.526,2098573.577,1233198.146,869954.1375,732592.9578,236.7191652,225.816005,340.55985,2.521814202,0.5343786,3.4535214,14.3244,52.302675,61.0572,0,7.407675,117.42825,186.6256838,217.8634592,0,26.4319638,375.7761432,0.0864,54.79784896,9.139290393
GM0882,1011608.773,869351.2892,510862.4303,360385.6254,303482.6319,189.6775403,163.7750964,181.2279,2.154814206,2.3374158,0.0046842,6.1668,10.88784,18.8904024,0,0.544392,37.4237656,23.41467,40.62445245,0,1.1707335,58.32009405,0.0468,22.70045766,4.563549627
GM1640,1540938.945,1324244.406,778174.1671,548959.4991,462281.6834,200.2932789,196.2298886,278.3934,133.1452106,208.2562404,40.2595596,7.4196,1.5510456,75.762612,0,1.5510456,55.2548968,2.345265,114.557175,0,2.345265,73.843095,0,34.57860411,6.367838171
GM1641,1016313.93,873394.7835,513238.5347,362061.8376,304894.179,127.9354255,107.1820406,157.83855,7.131678486,6.4759698,2.6708802,4.3668,0.49392,17.682336,0,0.098784,124.92936,1.274862,45.6400596,0,0.2549724,218.436906,42.7392,22.80604118,4.181560611
