geo_id,households_final_demand_electricity_households_final_demand_for_cooking_electricity_parent_share,households_final_demand_electricity_households_final_demand_for_cooling_electricity_parent_share,households_final_demand_electricity_households_final_demand_for_space_heating_electricity_parent_share,households_final_demand_electricity_households_final_demand_for_hot_water_electricity_parent_share,households_final_demand_electricity_households_final_demand_for_lighting_electricity_parent_share,households_final_demand_electricity_households_final_demand_for_appliances_electricity_parent_share,households_final_demand_network_gas_households_final_demand_for_cooking_network_gas_parent_share,households_final_demand_network_gas_households_final_demand_for_hot_water_network_gas_parent_share,households_final_demand_network_gas_households_final_demand_for_space_heating_network_gas_parent_share,households_final_demand_network_gas_households_final_demand_for_cooling_network_gas_parent_share,input_households_final_demand_steam_hot_water_households_final_demand_for_hot_water_steam_hot_water_parent_share,input_households_final_demand_steam_hot_water_households_final_demand_for_space_heating_steam_hot_water_parent_share,households_final_demand_crude_oil_households_final_demand_for_space_heating_crude_oil_parent_share,households_final_demand_crude_oil_households_final_demand_for_hot_water_crude_oil_parent_share,households_final_demand_wood_pellets_households_final_demand_for_hot_water_wood_pellets_parent_share,households_final_demand_wood_pellets_households_final_demand_for_space_heating_wood_pellets_parent_share,households_final_demand_wood_pellets_households_final_demand_for_cooking_wood_pellets_parent_share,households_final_demand_coal_households_final_demand_for_space_heating_coal_parent_share,households_final_demand_coal_households_final_demand_for_hot_water_coal_parent_share
AT,0.119169,0.000525,0.161922,0.208586,0.027902,0.481896,0.00647,0.109525,0.884005,0,0.133701,0.866299,0.899542,0.100458,0.100589,0.895244,0.004167,0.960031,0.039969
BE,0.055989,0.003268,0.11974,0.18888,0.041708,0.590415,0.01077,0.145239,0.843991,0,0,1,0.937929,0.062071,0.007305,0.992695,0,0.993837,0.006163
BG,0.149298,0.011022,0.114228,0.24549,0.033961,0.446001,0.056422,0.143763,0.799815,0,0.403225,0.596775,0.628314,0.371686,0.020976,0.948386,0.030638,0.982333,0.017667
CY,0.07,0.25,0.13,0.061129,0.023988,0.464883,0,0,1,0,0,1,0.908832,0.091168,0.01005,0.98995,0,1,0
CZ,0.169602,0.004878,0.203467,0.23697,0.027943,0.35714,0.115048,0.228255,0.656697,0,0.325661,0.674339,1,0,0.041596,0.952992,0.005412,0.971388,0.028612
DE,0.317086,0.010347,0.061163,0.117958,0.026966,0.46648,0.004604,0.211055,0.784341,0,0.090115,0.909885,0.844601,0.155399,0.119,0.881,0,1,0
DK,0.082606,0,0.099447,0.050738,0.051873,0.715336,0.003547,0.273443,0.72301,0,0.380234,0.619766,0.539409,0.460591,0.066668,0.933332,0,1,0
EE,0.119429,0,0.216,0.038,0.0326,0.593971,0.138522,0.128848,0.73263,0,0.205859,0.794141,0.9,0.1,0.075822,0.893281,0.030897,0.9,0.1
ES,0.092895,0.023343,0.073653,0.074681,0.040099,0.695329,0.109001,0.427849,0.46315,0,0,1,0.774913,0.225087,0.020499,0.96895,0.010551,0.927811,0.072189
FI,0.028144,0.004879,0.483066,0.116193,0.021567,0.346151,0.016129,0.189516,0.794355,0,0.3006,0.6994,0.801619,0.198381,0.033875,0.966125,0,0.666667,0.333333
FR,0.070222,0.012441,0.308918,0.146136,0.023621,0.438662,0.062309,0.114934,0.822757,0,0.230509,0.769491,0.875491,0.124509,0.004926,0.995074,0,0.947031,0.052969
EL,0.141602,0.135484,0.047856,0.148907,0.03205,0.494101,0.006765,0.029112,0.964123,0,0.061616,0.938384,0.959769,0.040231,0,0.95031,0.04969,1,0
HR,0.103059,0.084407,0.040246,0.195156,0.029185,0.547947,0.073746,0.173172,0.753082,0,0.068627,0.931373,0.8985,0.1015,0.015583,0.971221,0.013196,0.959357,0.040643
HU,0.035227,0.013614,0.033652,0.29526,0.037479,0.584768,0.069184,0.102651,0.828165,0,0.261732,0.738268,0.47343,0.52657,0.017032,0.982601,0.000367,1,0
IE,0.07262,0,0.097787,0.122162,0.03283,0.674601,0.024457,0.267546,0.707997,0,0,1,0.773577,0.226423,0.148652,0.851348,0,0.907675,0.092325
IT,0.061706,0.050615,0.016779,0.1008,0.044697,0.725403,0.087146,0.151515,0.761339,0,0.12723,0.87277,0.83892,0.16108,0.036378,0.95567,0.007952,1,0
LT,0.057988,0,0.055996,0.047001,0.049389,0.789626,0.227944,0.104984,0.667072,0,0.145024,0.854976,0.77828,0.22172,0.044986,0.936015,0.018999,0.94359,0.05641
LU,0.100165,0.026823,0.164376,0.023419,0.051058,0.634159,0.030116,0.087561,0.882323,0,0,1,0.91929,0.08071,0.055992,0.944008,0,1,0
LV,0.088742,0,0.041062,0.198351,0.030168,0.641677,0.289864,0.188725,0.521411,0,0.272134,0.727866,0.744257,0.255743,0.122913,0.827258,0.049829,0.870735,0.129265
MT,0.036115,0.163553,0.086181,0.29975,0.024486,0.389915,0,0,1,0,0,1,1,0,0,1,0,1,0
NL,0.037048,0.012432,0.078915,0.035658,0.056366,0.779581,0.020029,0.217451,0.76252,0,0.316097,0.683903,1,0,0,1,0,1,0
PL,0.10819,0,0.044398,0.072329,0.047384,0.727699,0.20072,0.264922,0.534358,0,0.327303,0.672697,0.702703,0.297297,0.083333,0.896199,0.020468,0.909618,0.090382
PT,0.427,0.022,0.041,0.013,0.028434,0.468566,0.321,0.623,0.056,0,0,1,0.192063,0.807937,0.061938,0.705295,0.232767,1,0
RO,0.000485,0.022715,0.008605,0.019229,0.043406,0.90556,0.18718,0.22743,0.58539,0,0,1,0.006529,0.993471,0.1279,0.8564,0.0157,0.751059,0.248941
SE,0.036979,0,0.383992,0.110494,0.027221,0.441314,0.039122,0.143553,0.817325,0,0.224003,0.775997,0.829146,0.170854,0.112996,0.887004,0,1,0
SI,0.078456,0.027277,0.14413,0.183302,0.029601,0.537234,0.042098,0.23959,0.718312,0,0.179323,0.820677,0.86498,0.13502,0.108523,0.879833,0.011644,0.714286,0.285714
SK,0.062168,0.006822,0.226114,0.131634,0.039912,0.53335,0.070343,0.122216,0.807441,0,0.173496,0.826504,0.683333,0.316667,0.083266,0.914131,0.002603,0.70297,0.29703
EU27,0.125115,0.019078,0.155624,0.121563,0.032727,0.545893,0.058676,0.189629,0.751695,0,0.225876,0.774124,0.841617,0.158383,0.060236,0.927215,0.012549,0.922463,0.077537
UK,0.054384,0,0.172475,0.044526,0.042093,0.686522,0.023926,0.220825,0.755249,0,0,1,0.809314,0.190686,0.054223,0.945777,0,0.959893,0.040107
NO,0.020795,0.001248,0.56627,0.166362,0.013876,0.231449,0,0,1,0,0.2,0.8,1,0,0,1,0,1,0
