geo_id,area_per_building_residence_equivalent
BEGM35013,293.627703981492
UKNI01,293.627703981492
BEGM13040,293.627703981492
SK,293.627703981492
AT,293.627703981492
BE,293.627703981492
BG,293.627703981492
CY,293.627703981492
CZ,293.627703981492
DE,293.627703981492
DK,293.627703981492
ES,293.627703981492
EE,293.627703981492
FI,293.627703981492
FR,293.627703981492
UK,293.627703981492
EL,293.627703981492
HR,293.627703981492
HU,293.627703981492
IE,293.627703981492
IT,293.627703981492
LT,293.627703981492
LU,293.627703981492
LV,293.627703981492
PL,293.627703981492
PT,293.627703981492
RO,293.627703981492
SE,293.627703981492
SI,293.627703981492
MT,293.627703981492
GB,293.627703981492
CH,293.627703981492
NO,293.627703981492
RS,293.627703981492
EU27,293.627703981492
SG,293.627703981492
VUNH5,293.627703981492
BEGM11002,293.627703981492
